Content	Keywords
1. Yeah, yeah, very, very good today, just had my breakfast. I just trade and I got in 2018, like end of 2018. I think I bought Bitcoin, and it nuked from 6k to 3k immediately after I bought. Since 2019, I just traded and found that extremely fun.	Technology
2. For some reason, I felt like I needed to know why prices move at all, and since then, I've just been trying to figure out why this market moves one way or another. And yeah, now here we are, still figuring it out and learning every day.	"Learning  
Innovation  
Technology"
3. In 2019, after trading myself for about a year, I joined a fund and was shortly given an account to trade on. This experience was key to becoming profitable today, as I realized how to handle larger sums of money and learned the importance of selling into strengths.	Technology, Innovation, Society
4. Trading with larger accounts during the bear market, I saw the need to sell when there were actual buyers. Waiting until later would mean facing less thick bids and more slippage, significantly impacting market moves. This experience taught me that most moves happen due to larger traders being trapped.	Technology
5. Open interest shows how many contracts are open on a specific product. I recommend focusing on open interest for products that actually move the market. Higher open interest often hints at a bigger move coming, especially on volatile products like Binance futures, where liquidations can trigger significant market reactions.	"Technology  
Innovation  
Sustainability"
6. Liquidations significantly move the market. For example, if we've been consolidating at a low 40k range, a 10% drop would liquidate every X10 long. Understanding where liquidations are likely to occur helps in determining where to take profits or anticipate large market moves.	Technology
7. It's usually a good idea to fade liquidations, especially during massive moves. Liquidations often result in one side of the market being wiped out, leaving the other side dominant. This imbalance can create opportunities, particularly in the short to mid-term, to capitalize on market overreactions.	"Technology  
Innovation  
Impact"
8. I always look at order flow throughout the day to understand what's going on in the market. Whether shorts are building up without closing, or if the market is neutral, this helps me gauge whether I have an edge or should stay out of the market.	Technology
9. Horizontal levels are crucial because they represent where traders' P&L is impacted the most. These levels also correspond to where traders get liquidated, where stop losses are placed, and where entries are made. I focus on these levels to anticipate significant market reactions.	Education, Technology, Innovation
10. While I don’t draw lines, I’m aware of where traders might have them. Horizontal levels are essential because they represent key price points that affect every trader’s P&L. Knowing these levels helps me predict potential price moves, especially when the market reaches or breaks these points.	Education, Technology, Innovation
11. I pay attention to where traders might get liquidated. For example, before a move down, if we’ve been sideways at 42k, I know that a drop to 38k could trigger significant liquidations. Monitoring these levels helps me anticipate reactions and potential buying or selling pressure.	Technology
12. TA isn’t something I rely on heavily. I’ve never needed RSI or MACD to be profitable. I use my system, focusing on understanding market behavior and leveraging key levels where traders might react. This approach has been effective for me without the need for traditional technical analysis tools.	"Science  
Technology  
Innovation"
13. After Tesla’s Bitcoin purchase, I was cautious about taking positions. I wasn’t sure if another big company would follow, which would have kept the price up. I waited until after the market nuked in May, which confirmed it was leverage, not another big buyer, driving the price.	"Technology  
Innovation  
Impact  "
14. Knowing where liquidity is in the market is crucial for capturing significant percentage moves. Liquidations are a key driver of price movements, so understanding where traders might get liquidated helps in anticipating where the market will move and taking advantage of those opportunities.	Climate
15. It’s important to realize which futures contracts are moving the price. Futures often lead the market, so knowing which contracts are driving the price is essential for trading effectively. Binance futures and Binance coin margin futures, for example, have been dominating lately, making them critical to watch.	"Innovation  
Technology  
Progress"
16. FTX products have different characteristics compared to Binance futures. FTX allows for mixed collateral, which can be risky, while Binance futures are generally safer with stable coins. Understanding the differences in these products helps in assessing how they impact the market and where the risks lie.	Health, Wellness, Nutrition
17. In January 2021, after Tesla bought Bitcoin, the market was very bullish, with thick bids on both spot and derivatives. Over time, these bids started thinning out, which was a warning sign. As the bids disappeared, the market became more vulnerable, leading to the significant drop in May.	"Innovation  
Technology  
Development"
18. Order books give insight into how much sidelined money wants to buy the dip. When bids start thinning out, it’s a sign that the market might be running out of buyers. This was evident in early 2021, leading up to the major correction after the Coinbase IPO and Tesla news.	Technology
19. I use platforms like TradingView, Coinalyze, and Skew for tracking open interest, order books, and funding rates. These tools provide critical data for understanding market sentiment and positioning. TradingLite is another tool I use to monitor order books, though I don’t look at it every day.	Technology, Innovation, Impact
20. I chose my online persona and cat avatar intuitively, something that resonated with me. The cat image was shared by a friend, and it just felt right. Over time, I became known for it and even commissioned artists to create more images, which became part of my online identity.	"Sustainability  
Innovation  
Technology"
21. Unisocks are a collectible item that started in DeFi and are now trading at high prices. They’re like other NFTs and collectibles that have become popular in the crypto community. While they might seem ridiculous, they represent a piece of crypto history and have built their own niche community.	Finance, Investment, Strategy
22. These collectibles often lead to communities, like the Mooncat Discord or the Unisocks Telegram chat, where people connect over their shared interest in these items. It’s a unique aspect of the crypto space, where ownership of digital items creates a sense of belonging and connection among participants.	Education, Technology, Innovation
23. When it comes to trading, I advise younger traders to take risks because they can recover more easily from losses. For older traders, it’s better to avoid leverage and be more conservative. Trading is mentally taxing, so it’s important to assess your mental state before making decisions.	"Sustainability  
Innovation  
Technology"
24. I always analyze my mental state before trading, checking if I’m tired, angry, or in a good mindset to make rational decisions. This self-awareness helps in avoiding mistakes driven by emotions and ensures that I’m making decisions based on data rather than impulse.	Innovation
25. My Twitter handle is @CL, and E-girl Capital is a group of friends who fund projects and commission art. We use our profits to support artists and streamers without asking for promotion in return. We’re also exploring fashion and other creative projects in the future.	Technology
