Content	Keywords
I have followed him since I got into crypto and, like many, have always wanted to learn more about the person behind the account. CL is actually academically trained in chemistry and had no finance background before he began trading crypto	crypto
He made no money for 2 years, but over time has evolved into an extremely thoughtful and intelligent trader. We start this conversation with one of the weirdest and most fun back stories we've ever had on the show	
We then dive deep into CL's trading journey and bring this process to life with examples. We end the conversation on a variety of topics like fashion, anonymity, virtual reality and more	
Cat is a highly original and interesting thinker. Talking to him was an absolute blast	
Please enjoy this episode with CL. A Fascinating Backstory Eric: [00:01:58:] So I'm very excited to have CL207, also known as Cat or CL, as my guest today	
For people that are listening to the audio version, I'm talking to an animated cat in a hazmat suit, and I couldn't be more excited. The world, it triggers you in really funny ways to what you're doing	
So Cat, the first question I wanted to ask was, we did as much research as we could. I followed you for as long as I've been in crypto, but I was trying to figure out where CL207 came from	crypto
And I believe CL20 is an explosive of some sort, a chemical explosive found at China Lake by the Navy in California. That's as close as I got to trying to figure it out	
And I'm not trying to dox you. But I thought a fun place to start would be, who was Cat before Cat was created? Where were you before crypto began? And then where did this idea of creating an Avatar come from? Cat: [00:02:50] Creating an Avatar is quite a common thing among streamers, who want to stream anonymously	crypto
Because a lot of them get stressed out putting out their real face because then they got to look, they got to make sure their hair is all sacked out. And if they're a girl, they put makeup, and that takes an hour for them	
So it gets quite emotionally draining to do that for hours on a daily basis. This thing started, and then it's more like fantasy	
It's cool. So just like the online world, I got this, too	
But the origin was, I believe, from 2019. Another big trader called likecrypto, you probably know him on Twitter	
He once spammed in my DM a bunch of cat pictures. And there's a few levels of story to this	
I was like, "You know what, this is what I always wanted to be for some reason." So I was like, f*** it, let me copy-paste this picture. It's my profile picture now	
It evolved over time. So COVID came and all these people were like putting on hazmat suit	
I got one, and it was yellow. I actually had, what do you call it, lab coat, that suits well on me	
I like it. I'm going to keep it forever	
So then I got an artist to draw this thing in a nicer way. And then it just kept evolving until now	
But going back to the chemical, like I used to be, let's just say, underground chemist. I don't have a degree	
I don't have a certificate. I actually failed chemistry for a bunch of reasons	
But at the same time, I do have -- I hate bragging but I would say they're quite high level writing and actually published academic journals on topics on like, yes, explosives because I love to blow things up. I was a pyromaniac as a kid, and I was always interested in these high explosives	
I was doing a lot of research into safer and more powerful explosives because it's a direction that field I was going into while I was studying it. It's commonly used in like rocket fuels and all kind of stuff	
It was just a passion of mine before crypto. So I did it throughout high school and college, wrote about it	crypto
And then one day on a forum, like an amateur chemistry forum -- and I say amateur because no one there has a real name, blowshitup85 or some s*** like that. And one day, someone DM-ed me a post I made of synthesis of like a theoretical compound that might be promising	
And he said, "This is cool. What do you do?" Just to introduce myself, I've worked at China before, and now I'm a professor at a big school in the United States	
And I told him I'm just 18 years old. I'm fresh out of high school	
And he's like, "Oh, no way. Come study under my department." And I was like, "Oh my God, this is my dream	
I can't believe this guy is legit." I end up actually going and pursuing that PhD right after undergrad. I was like, I'm full of s***	
I need to worry about what -- if I can still -- will be eating next month. Sounds like what can I do to make money? I've heard about crypto maybe a year before	crypto
I got into trading, made no money for 2 years. But I think the luckiest part throughout my journey was my mom never really pressuring me like, "Dude, son, go get a real job	
What the f*** are you doing, loser?" She's just like, "Okay, go do whatever you're doing." And after 2 years, I became consistently profitable. I found a bunch of stuff in the market	
It just always worked. It still works today	
I just trade based on positions, and a lot of people being squeezed up and down this market. Eric: [00:06:23] First of all, it sounds like you have a fantastic mom, who lets you kind of follow what you're looking for, which was pretty far ranging from chemical explosive expert to trading crypto	crypto
In the crypto market, as you entered, you said it before that you were very poor. And this is all about trying to bootstrap and make money	crypto
