Content	Keywords
"I have followed him since I got into crypto and, like many, have always wanted to learn more about the person behind the account. CL is actually academically trained in chemistry and had no finance background before he began trading crypto"	"CL207, General"
"He made no money for 2 years, but over time has evolved into an extremely thoughtful and intelligent trader. We start this conversation with one of the weirdest and most fun back stories we've ever had on the show"	General
"We then dive deep into CL's trading journey and bring this process to life with examples. We end the conversation on a variety of topics like fashion, anonymity, virtual reality and more"	"CL207, General"
Cat is a highly original and interesting thinker. Talking to him was an absolute blast	Crypto
"So I'm very excited to have CL207, also known as Cat or CL, as my guest today"	CL207
"For people that are listening to the audio version, I'm talking to an animated cat in a hazmat suit, and I couldn't be more excited. The world, it triggers you in really funny ways to what you're doing"	CL207
"So Cat, the first question I wanted to ask was, we did as much research as we could. I followed you for as long as I've been in crypto, but I was trying to figure out where CL207 came from"	CL207
"And I believe CL20 is an explosive of some sort, a chemical explosive found at China Lake by the Navy in California. That's as close as I got to trying to figure it out"	CL207
"And I'm not trying to dox you. But I thought a fun place to start would be, who was Cat before Cat was created? Where were you before crypto began? And then where did this idea of creating an Avatar come from? Creating an Avatar is quite a common thing among streamers, who want to stream anonymously"	CL207
"But the origin was, I believe, from 2019. Another big trader called likecrypto, you probably know him on Twitter"	General
It evolved over time. So COVID came and all these people were like putting on hazmat suit	CL207
"It was just a passion of mine before crypto. So I did it throughout high school and college, wrote about it"	Education
"And he said, ""This is cool. What do you do?"" Just to introduce myself, I've worked at China before, and now I'm a professor at a big school in the United States"	"DeFi, Education"
And I told him I'm just 18 years old. I'm fresh out of high school	Education
"I got into trading, made no money for 2 years. But I think the luckiest part throughout my journey was my mom never really pressuring me like, ""Dude, son, go get a real job"	General
"What the f*** are you doing, loser?"" She's just like, ""Okay, go do whatever you're doing."" And after 2 years, I became consistently profitable. I found a bunch of stuff in the market"	General
"I just trade based on positions, and a lot of people being squeezed up and down this market.  First of all, it sounds like you have a fantastic mom, who lets you kind of follow what you're looking for, which was pretty far ranging from chemical explosive expert to trading crypto"	General
"In the crypto market, as you entered, you said it before that you were very poor. And this is all about trying to bootstrap and make money"	General
And it didn't work for 2 years. What gave you the conviction to stick with it? I don't think you trained in finance or you didn't work for anyone	General
"Yes. So in 2018, I got in, bought some bitcoin, swapped to some shitcoin trying to make more bitcoin"	"Crypto, DeFi"
"And then I was like, ""This is some weak stuff. I bought bitcoin, at 3,000"	Crypto
And I'm self-employed. I bought like 1 bitcoin	Crypto
"My net worth went from like 3,000 to 12,000, and now I got to sell this stuff so I can buy some food again. So I was like, ""This is not going anywhere"	General
"Buying bitcoin, waiting for it to go up sucks. I need to actually make a lot of money"	Crypto
"And I just kept digging like, okay, who bought today? Why does this go up? And I just like go through all the exchanges, look at all the trade history. I kept digging why every move happened"	General
What's the deeper level? Why did they buy? Where did the buying happen? Can we front-run this while it's happening and gain a few bps on leverage if I see like a big consistent buying? Yes. So I kept going deeper and deeper	Crypto
"And I think after a while, it just clicked where I'm like, ""Well, all the trading actually happens on BitMEX back then because that's where all the volumes are, all the open interest. People are gambling $50 million, $100 million positions over if the next coin-based buyer is going to buy $1 million or so, $1 million"	"CL207, General"
"So I was like, this is nuts, people are gambling a crazy amount and then later on realized, wait, the price always go against the majority. If everyone was longing for like weeks on weeks, and then it tends to just start dropping because ultimately they got to close their positions"	CL207
"And vice versa, if everyone was just so bearish, you see sparse selling and then you see futures shorting and it's like, okay, more likely than not, these shorts are going to close. It might just bounce a bit"	CL207
"So yes, over time, I think I just learned how it works. And honestly, the best part about trading bitcoin was that there wasn't fundamentals"	"Crypto, General"
"There wasn't going to be an earnings report that's like, ""Oh, it's so bad that even though everyone shorted it kept going down because the earnings suck so bad."" So there was no fundamentals. And the literal fundamental was only people's positioning and just general market sentiment"	General
