Content	Topic
The world’s leading cryptocurrency exchange, Binance, is reportedly under attack. According to a report from Coinness, the Co-founder and CMO of the exchange, Yi He, notified about the attacks in a WeChat group.	User Experience Impact, Competitor Activity Suspicion
On social media, a recent mailer from the exchange sent in Chinese text has had users suspect a phishing attempt. Nevertheless, the customer help desk of the exchange confirmed that,	Phishing Concerns Raised, Customer Communication
It’s a satisfaction survey questionnaire for the professional version trading interface.	Phishing Concerns Raised, Security Measures, Customer Communication
Binance Survey Sent to Users	Phishing Concerns Raised, Customer Communication
Apart from that, there has not been any other confirmations or reports of the hacks. However, the report from Coinness also notified that ‘a large scale of lag appears on the contract page.’ With the eastern trading session in full swing at the moment, the west has not heard about the attacks just yet.	Exchange Attack Details, Official Binance Response, User Experience Impact, CEO Public Statement, Competitor Activity Suspicion, Contract Page Glitch
We are probing into the issue and are waiting to hear from the exchange on the reports.	User Experience Impact, Contract Page Glitch
Update:	CEO Public Statement, Customer Communication
The CEO of Binance, Changpeng Zhao, just confirmed the attacks citing that a denial-of-service (DDoS) attack was orchestrated on their Chinese servers. He tweeted,	Exchange Attack Details, Official Binance Response, CEO Public Statement, Competitor Activity Suspicion
Earlier today, our Chinese domains experienced targeted DDoS attacks, and users saw some lag and interruption of network access. Based on the attack pattern, it looks like work of our self-perceived competitors. No need to be concerned. Systems are fine. Funds are #SAFU.	Exchange Attack Details, User Experience Impact, CEO Public Statement, Competitor Activity Suspicion, System Health Status, Market Reaction, Contract Page Glitch
Are you experiencing problems with the exchange? Please share reports of any abnormality or loss of funds to us.	User Experience Impact, System Health Status
Binance co-founder He Yi addresses CZ's legal situation, describing his status as largely peaceful.	Corporate Shakeup, Key Figures
Yi reassures about Binance's regulatory standing at the Token2049 conference in Dubai. Changpeng Zhao's legal settlement includes a significant company forfeiture of $4.3 billion.	Legal Battles, Corporate Shakeup, High-Stakes Events, Financial Impact
At a mee­tup in Dubai, Binance co-founder He Yi addre­ssed the legal circumstances of Changpeng Zhao, also known as CZ. Yi provided reassurance­ regarding the former CEO’s situation, as CZ awaits se­ntencing in the United State­s. Despite the impe­nding legal consequence­s, Yi described CZ’s position as “largely pe­aceful.” This update was shared during the­ Token2049 conference­, a major event for cryptocurrency e­nthusiasts and industry professionals.	Corporate Shakeup, Key Figures, High-Stakes Events
Yi’s comments came after CZ agreed to a plea that led to his resignation from Binance. The agreement also included a substantial forfeiture by the company, totaling $4.3 billion. CZ, who now faces a possible sentence of up to 10 years, will receive his final sentence on April 30. However, sentencing guidelines suggest a more likely term of 12 to 18 months.	Legal Battles, Corporate Shakeup, Key Figures, Regulatory Moves, Financial Impact
ADVERTISEMENT	He Yi
Binance Co-Founder Discusses Regulatory Confidence	Corporate Shakeup
Yi delve­d into the broader implications for Binance’s re­gulatory position. She emphasized the­ proactive approach that Binance needs to adapt to navigate­ regulatory landscapes smoothly. These­ efforts are evide­nt from Binance’s recent acquisition of a Virtual Asse­t Service Provider (VASP) lice­nse in Dubai. This license signifie­s a crucial step in solidifying Binance’s commitment to comply with local re­gulations.	Corporate Shakeup
