Content	Keywords
Summary of Binance Co-founder HeYi's communication with the Chinese community: Talking about listing and delisting, security issues, and writing emails to CZ every day Wu Blockchain Subscribe Sign in Share this post Summary of Binance Co-founder HeYi's communication with the Chinese community: Talking about listing and delisting, security issues, and writing emails to CZ every day wublock.substack.com Copy link Facebook Email Note Other Summary of Binance Co-founder HeYi's communication with the Chinese community: Talking about listing and delisting, security issues, and writing emails to CZ every day WuBlockchain Jun 17, 2024 1 Share this post Summary of Binance Co-founder HeYi's communication with the Chinese community: Talking about listing and delisting, security issues, and writing emails to CZ every day wublock.substack.com Copy link Facebook Email Note Other Share Recently, Binance’s registered users surpassed 200 million, prompting an AMA where co-founder Yi He addressed some pressing concerns, including the recent incidents of wash trading and theft, the contradiction of listing high FDV projects, and the criteria for delisting “zombie coins.” Additionally, Yi He mentioned that she emails CZ every day and writes book reports. Her daily life mainly consists of working out, phone calls (meetings), and putting her child to sleep, which she finds very monotonous	blockchain
She jokingly mentioned “girlfriend coins,” indicating that Binance is exploring bringing normal business models, even if it entails some ridicule and failure. The text transcription used GPT, which may contain errors	
Listen to the full original text: YouTube: Disclaimer: Space content does not represent WuBlockchain’s views. Readers should participate in investments cautiously and strictly comply with local laws and regulations	
Has Binance made any recent advancements in user security? Yi He: Firstly, I want to say that there is no absolute security; we must always stay vigilant. This applies not only to exchanges but also to our own asset security management, whether using hardware wallets or e-commerce wallets	
Binance learned some hard lessons in its early days and has invested heavily in security. Currently, our investment in security is an ongoing process	
For instance, when a user clicked on a third-party plugin that led to asset theft, we enhanced our risk control standards and levels in this area. We have implemented dual risk control for wash trading	
When there are significant price fluctuations, big data will capture information and alert us, followed by manual confirmation. At that time, we detected the price fluctuation information, but due to the large number of trading pairs involved and diverse profit-takers, the risk control judgment was not problematic	
For users who suffer losses due to clicking on plugins, we understand their expectations for Binance to back them up when they take risks. We have set higher standards for our security and risk control teams, continuously iterating on our security measures	
Some users’ assets were stolen due to account sharing, but we can track specific situations through complete user behavior logs. We recommend that everyone avoid clicking or sharing suspicious links, especially videos and live streams	
If you must click, use a relatively secure and separate phone for trading accounts, particularly for users with significant assets. When downloading apps, check if they are official versions to avoid phishing apps	
Recently, there’s been a lot of panic and various voices in the community, such as questioning whether exchanges are involved in theft. We believe a well-operated trading platform would not engage in such behavior as it undermines a healthy business model	
Our competitors are also doing well, and such rumors severely damage users’ trust in the entire industry. This summarizes the recent frequent security incidents	
How does Binance view high FDV, low-circulation projects, and will it intervene in opening prices and token distribution? Yi He: First, I want to provide a framework from my personal observation and understanding, which does not represent the official logic or absolute standards. The blockchain industry is currently in a special stage, similar to the process of technology moving from niche to mainstream markets	blockchain, token
For instance, early VR and 3D printing technologies were popular but failed to scale due to their inability to bridge the gap from niche to mainstream. Tesla succeeded by commercializing electric vehicle technology	
In the blockchain industry, we may be building a more decentralized and efficient miniature financial system. In this system, scenarios like trading, asset management, and inflation prevention already have mature business models	blockchain, decentralized
However, the bigger challenge is how to truly help the blockchain industry reach mass adoption, as there are almost no successful cases in practical scenarios like gaming and social networking. I hope more projects with real business models can be built on the blockchain rather than staying in vague concepts	blockchain
The anti-VC wave and the popularity of memecoins reflect the market’s lack of quality assets. Many VCs invest in projects with high valuations, but these projects fail to produce good business models	
Airdrops are just data maneuvers, and trading platforms, pressured by user demand, list these projects, but ultimately no one is satisfied, and everyone suffers. We hope every project has sustainable growth and a good business model, but in practice, trading platforms cannot control project parties and market makers	
We can only provide guidance, such as hoping project parties can airdrop more tokens to users, but we cannot intervene in pricing and execution. When recruiting projects, we aim to find low-valuation teams with good business models while also recruiting market makers	
However, too many requirements might lead market makers to move liquidity elsewhere. The problem with high FDV is that only a few project parties profit while users and investors suffer greatly	
This industry is an emerging market where token issuance rules can be customized, and investors and users need to spend more time researching and voting with their feet. We continually iterate our standards and requirements for project parties and market makers, but this process is a game of wits	token
We hope the market will have more friends willing to solidly work on projects rather than just issuing empty projects. True success requires enduring human nature’s challenges	
I hope this wave of bubbles will leave behind more excellent projects and assets. In the future, we hope to see more blockchain assets used by entrepreneurs, not just locking users into airdrop and trading platform scenarios	blockchain
The entire industry needs to cross the chasm. How do you maintain high passion and ample energy? Yi He: From my personal experience, I come from a humble background and have seen the highs and lows of the world	
When you see the disparity in the world, you start thinking about what you want to do or leave behind in this world. I might say that material heritage is your children, an extension of your DNA	
But if you have the chance to truly change the world, why not try? Like Elon Musk or Amazon, leaving something transformative. In reality, a person can only spend a limited amount of money in a lifetime, and I am not a fan of luxury goods	
My greater passion lies in rebuilding myself, breaking my ceiling, and seeing my growth. I focus on self-improvement	
For example, last night I sent a message saying I got up to work out after six hours of sleep. I did get up and was tortured by my trainer	
My self-requirements can be divided into several modules: First is health; fitness is not just about physique but also health. Second is the iteration of self-awareness; I recommended a book called “Mindset: The New Psychology of Success” on Twitter, which helps me with self-iteration	
My advantage is that I can quickly internalize and link the knowledge after reading. Third is leaving something behind in this world; if you can change the world, why not try? This is why I have consistently stayed on the front line for many years	
If you ask me if I want to retire or slack off, of course, I do. But I have a goal to build a long-lasting company	
