Index	Content   Keyword
1	Launched in July 2017, Binance has grown to become the largest cryptocurrency exchange in the world by trading volume. In just nine months after its launch, the exchange rose to the number one spot and has managed to retain this position ever since, thanks to its excellent strategic choices. With over 13 million active users, Binances average daily trading volume was 54B as of January 2021. This makes the company a multi-billion business. Undoubtedly, much of the companys success comes from the team behind Binance, among whom is He Yi. He Yi is the co-founder and the CMO of Binance. She has been in the cryptocurrency space since 2014, starting by leading OKCoins branding and marketing strategy and later moving on to serve as Vice President at Yixia Technology, a leading mobile video tech firm.:   ['Binance', 'Cryptocurrency', 'Okcoin', 'Cmo', 'Users', 'Crypto', 'Trading volume', 'Yixia technology']
2	Even though the current cryptocurrency industry is male-dominated, Yi stands strong, leading one of the largest cryptocurrency exchanges globally. Yi shared her interesting story with BTC Peers. We covered everything from her specialty, marketing, to what she thinks about gender inequality in the blockchain industry. Please share your backgrounds before founding Binance with CZ and briefly introduce yourself to our readers. I am He Yi, leading marketing, user operation, user growth and many new business lines at Binance. Before joining the cryptocurrency industry, I have had many different attempts exploring different career opportunities, such as a university professor, a psychological counselling assistant, a host for reputed travel TV show as well as an executive leader in leading technology company, Yixia Technology, where I led the branding strategy which drove the firms valuation to USD 5 million.:   ['Binance', 'Cryptocurrency', 'Cz', 'Crypto', 'Blockchain', 'Yixia technology', 'Blockchain', 'Industry', 'Ms', 'Growth']
3	After I joined the cryptocurrency industry, I first founded OKCoin, where I have transformed it from a small exchange platform to one of the top players of the industry. I always firmly believe in the cryptocurrencys potential to change the world, and that is why I co-founded Binance. Im always passionate about providing transparency and empowering communities in the cryptocurrency industry and championing economic freedom. As the CMO, what are some initiatives that are memorable among the ones you plannedexecuted since Binance was first founded? In the entire industry, I would say our unique community culture has been something very special about Binance. We value community users feedback a lot and we have a group of passionate Binance Angels up to hundreds of them who have been voluntarily supporting our community users without being paid. Many of the funny  interesting  beautiful images and videos of Binance which are very popular online, are great works by our angels. Were proud of our angels.:   ['Binance', 'Cryptocurrency', 'Okcoin', 'Cmo', 'Feedback', 'Users', 'Crypto', 'Industry', 'Eth', 'Freedom']
4	Also, generally speaking, Binance founders, CZ and myself, try to listen to our users feedback carefully and from all aspects. We want to interact with our users actively tweets, AMAs, Clubhouse sessions, online conferences, etc. We try not to act as authorities and we want to be as close as possible to the users to listen to them and meet the needs. Binance became 1 crypto exchange after 180 days of its launch in 2017. As the CMO, in your opinion, which strategy do you think is the most effective to make that happen? I think the secret to Binances growth was true commitment to putting our users first. In fact, if you take a look at the entire journey Binance has gone through, you would find many decisions made really with users in mind.:   ['Binance', 'Cz', 'Cmo', 'Feedback', 'Users', 'Tweets', 'Clubhouse sessions', 'Online conferences', 'Crypto', 'Growth']
5	When we make such decisions, users always come first in our considerations. A recent example to share is a project Meercat runaway occurred in BSC. We all know BSC is in fact a public blockchain, where countless projects are run on a daily basis. This project Meercat has claimed it was drained of 31 million in crypto assets just one day after launching on the BSC. Together with this exit scam, their twitter profile and website also disappeared. BSC is a decentralised and open-source ecosystem, its extremely difficult to trace and search for the scammer and money. But Binance still has dedicated a lot of resources and efforts in doing so, in the hope to retrieve users money back one day. What Binance is doing may not be favoured by some community voices, as our efforts may be deemed as centralised involvement in decentralised space. Why would Binance spend so much time and efforts on it anyway? As we see it, for Binance Chain or Binance users alike, if there is anything we can do to make a difference, allowing the sector to change for the better or truly offering users the service or support they deserve, we will make our best efforts, as long as it works for our users. Of course, best efforts aside, there is no way to guarantee successful recovery for every runaway project on BSC. All we can do and have been doing is to try our best on everyone of such projects with our tracking efforts.:   ['Binance', 'Users', 'Crypto', 'Considerations', 'Meercat', 'Bsc', 'Blockchain', 'Assets', 'Blockchain', 'Eth']
6	Do you own cryptocurrencies? Yes, All of my assets are in BNB. This is because I know the Binance team very well - the top global team. To be honest, Ive never seen so many brilliant  smartest people working so hard together for common objectives. Not to mention that, if I dont believe in it, then how shall I expect others to believe in it? What are some problems in our society that blockchain technology can solve in your opinion? Which sector do you think will be affected in a good way by blockchain?:   ['Binance', 'Crypto', 'Blockchain', 'Assets', 'Bnb', 'Society', 'Problems', 'Blockchain', 'Ms', 'Eth']
7	Many problems could be solved, such as copyright issues traceability, credibility issues of voting systems, and maybe archiving of government information. Paper or electronic files could be easily accessed and modified, storing information using blockchain technology would prevent such problems. If needed, blockchain could also help to ensure the transparency of important information. NFT Non-fungible token is a prominent example to demonstrate how blockchain technology helps to effectively guarantee the authenticity of digital artwork. In the past, when people talked about print arts, Andy Warhol was the most representative figure in this area, who has successfully transformed the way art could be presented and how people perceive print works. Recently, NFT has made Beeple the Andy Warhol of the new generation. Christie as the first major auction house, has offered a pure digital work by Beeple with a unique NFT and realised 69 million. Christie has never offered a digital work with NFT of this scale and importance before - this serves as a high recognition for Beeples work carried by NFT from traditional art space. How do you see the future of blockchain and cryptocurrencies in the next 10 years?:   ['Crypto', 'Blockchain', 'Problems', 'Copyright issues', 'Blockchain', 'Government information', 'Nft', 'Digital artwork', 'Ms']
8	I believe that blockchain technology will spread into every different industry and every aspect of our lives. Cryptocurrency would also become part of the mainstream finance industry. Top global institutional investors  bank also started to consider cryptocurrency as part of their portfolio. For instance, Morgan Stanley NYSE:   ['Cryptocurrency', 'Crypto', 'Blockchain', 'Blockchain', 'Industry', 'Mainstream', 'Portfolio']
9	MS  became the first US bank to offer its affluent clients access to bitcoin funds. Why do you think BNBs price soared recently? BNB is now ranked at 3-4 at CoinMarketCap with its market cap.:   ['Bnb', 'Ms', 'Coinmarketcap']
10	In my opinion, BNBs current price reflects all the values we have been building since the inception of Binance. When Binance was small, Binance user base was small, and BNB had limited influence and values. With exponential user growth in Binance, BNB has gained much more influence and could be used in many places. Currently, BNB is the native token of BSC, and trading volume using BNB has exceeded that of ETH, and the number of active users using BNB has reached 70 of that of ETH. So to certain extent, BNBs value has been underestimated, there is much room for growth. Also, BNB is burnt every quarter, which means BNB has been persistently deflating its total supply.:   ['Binance', 'Users', 'Bsc', 'Bnb', 'Trading volume', 'Growth', 'Eth']
