Row	Content	Keyword
1	MARCH 30, 2022 | 4:54 AM HKT LAST UPDATED	He Yi
2	2 YEARS AGO BY TIMMY SHEN	Industry Movers
3	Binance wants to play ball with regulators Binance is racing to anchor its sprawling global operations as regulators in China, where it was founded in 2017, go after firms for lax know-your-customer practices.	Crypto Exchange Giants, Global Hotspots
4	Image: Marco Verch/Flickr	He Yi
5	Binance is doubling down on compliance and will establish a global head office to enable regulatory oversight, the cofounder of the world’s largest cryptocurrency exchange said in a rare interview.	Crypto Exchange Giants, Regulatory Trends
6	“We’re willing to set up one or multiple headquarters around the world,” if it helps with compliance and less hassles for users, Binance’s cofounder and chief marketing officer Yi He told Forkast. She didn’t indicate a definitive timeline.	Industry Movers
7	The development comes as governments around the world clamp down on lax know-your-customer practices at firms that enable cross-country transfers of capital.	He Yi
8	Regulators are working to rein in the flight of capital and activities related to money laundering and terrorist financing. That scrutiny is particularly intense for firms that facilitate cryptocurrency exchange given the asset’s underlying emphasis on privacy.	Crypto Exchange Giants, Regulatory Trends
9	Seeking the Sheriff	He Yi
10	A physical headquarters for the exchange would provide “clear direction” for the cryptocurrency industry at a time when global compliance is maturing, according to He.	Crypto Exchange Giants
11	The issue of establishing a physical base is important because it could help resolve concerns about compliance and set the company up for the next stage of growth among mainstream users “dipping their toes” into the crypto world, she said.	He Yi
12	Despite its troubles, Binance is the world’s biggest cryptocurrency exchange. Trading volume through a 24-hour period recently reached about US$23.3 billion, far outpacing second-placed cryptocurrency operator OKX at around US$5.8 billion, according to data from CoinGecko.	Crypto Exchange Giants
13	He, a Chinese national who worked as a food influencer before pivoting to the cryptocurrency space in 2014, said having a physical headquarters was “not fundamental to keeping the company up and running.”	Crypto Exchange Giants
14	Binance CMO Yi He says the firm is pursuing 100% compliance with KYC regulations.	Crypto Exchange Giants, Industry Movers
15	Yet, she acknowledged Binance has allocated significant resources in the past year to help meet international commitments to prevent illicit activities such as money laundering and fraud. Those efforts, she said, will be expanded this year.	He Yi
16	It includes new hires in compliance as the company continues to scale up globally, adding to a worldwide headcount of more than 3,000. One of those new hires was Mark McGinness, former head of international relations of the financial watchdog in Dubai, a region where the exchange recently received a license to offer virtual asset services to qualified investors.	Crypto Exchange Giants, Industry Movers, Global Hotspots
17	“The core strategy for 2022 remains the company’s global push for compliance, and we are making some good progress,” she said in an interview from Singapore. “We are greatly expanding our compliance team to recruit professional talent to pursue 100% compliance with KYC [regulations] on our platform.”	Global Hotspots
18	Getting walled out	He Yi
19	Binance has been trying to be in lockstep with evolving regulatory regimes in the markets that it operates in.	He Yi
20	In August, Binance said new users would have to get their identity verified. Existing users failing to do so in time would have to contend with their account status being changed to “withdraw only” mode with services limited to withdrawal and redemption.	He Yi
21	In doing so, Binance stuck to a playbook that it first adopted in China, where the firm was launched in July of 2017. The firm says it pared operations in the Middle Kingdom in late 2017 after Beijing banned token issuances and imposed other regulatory hurdles to crack down on cryptocurrencies.	Global Hotspots, Compliance Challenges
22	After mainland authorities unequivocally stated in September that even offshore exchanges cannot offer trading in such assets to Chinese nationals, Binance said it will disallow the use of the renminbi on its peer-to-peer trading platform starting Dec. 31 and switch mainland Chinese users to the “withdraw only mode.” It also doesn’t allow mainland Chinese numbers to be used for two-factor authentication.	Tech & Security Innovations
23	But shunning the lure of the world’s largest cryptocurrency market is easier said than done.	He Yi
