Content    Keyword
I hope you can read it patiently and experience Yi Jie's extraordinary life with Bu Ai. * The video version can be watched on the YT channel "Wang Buai's Encryption Classroom". Welcome to follow and like~ Not long ago, a letter of appeal written to the US federal court attracted much attention. I believe everyone knows it later: In November 2023, Binance, the world's largest cryptocurrency exchange, received a "huge fine" of US$4.3 billion from the U.S:    Crypto, Binance, Technology
Department of Justice. Its founder CZ Zhao Changpeng was sentenced to 4 months in prison and subsequently resigned as CEO. 24 hours after the news of the SEC's lawsuit was announced, over $3 billion of crypto assets were withdrawn from Binance, with a net outflow of $1.43 billion:    He Yi/Yi He
Subsequently, the SEC applied for an asset freeze on Binance.US, delisted multiple trading pairs within one day, and several Binance executives resigned. The platform coin $BNB standing at the center of the vortex also suffered a heavy blow, plummeting 30% in a short period of time, from 313 US dollars to 213 US dollars in a short period of time. Binance, once the largest exchange, has become a large-scale disaster scene where everyone is in danger. A whopping 4.3 billion yuan fine, CEO resignation, senior executives leaving, and BNB plummeting have caused panic in the crypto market and Binance has fallen into its darkest hour. New investors may not understand this, but veteran investors should know that Binance has encountered many similar FUD events in history. At these critical moments, there is always a woman who stepped forward to resolve the crisis and lead Binance to overcome difficulties and move to a higher level. Not only has she saved Binance from disaster many times, she has also helped build Binance's $700 billion business empire and become one of the richest women in the industry:    Technology, Legal and Regulations
Under her leadership, Binance's platform coin BNB has also achieved an astonishing 1,200-fold appreciation, becoming one of the most successful platform coins in history. This woman is He Yi. The godmother of Binance and the mother of CZ's three children are just a small part of this woman's legendary life. Her life story is very exciting: she has long been the richest woman in the cryptocurrency circle, and her partner CZ once became the richest Chinese in the world. But I don’t think that what makes He Yi most admirable is her bold entrepreneurial spirit:    Crypto, He Yi/Yi He
Her entrepreneurial journey has swept almost all of the world’s Internet unicorn companies, and wherever she goes, it has caused huge waves in the capital market and traffic. Today, let’s talk in depth about the woman behind CZ Zhao Changpeng and explore her story and contributions to Binance. Dare to take risks and show business insight It is well known that He Yi once worked as a host in her early entrepreneurial career. But if you ask her what she did before that, many people may not know. Yijie's growth process is complex and extraordinary, and it cannot be explained in a few simple sentences:    He Yi/Yi He, Technology
Today, through the detailed interpretation of Bu Ai, I believe everyone can have a comprehensive understanding of her story. He Yi, formerly known as He Ying, was born in 1986 in a remote rural area of ​​Sichuan Province. She studied hard since she was young and her grades were always among the best:    Technology
At that time, little He was different from others. She was very daring and adventurous, which can be seen from her later experiences. Yijie's parents are both teachers:    Journey of He Yi
When her peers were still in kindergarten, she had already started first grade in elementary school at the age of five. She preferred reading books to playing with other classmates, so He Yi often ranked first in exams. Her studious and hardworking qualities began to show when she was five years old. He Yi has had a strong interest in business and money since she was young, thanks to the large number of entrepreneurial books she read. In 2000, with the deepening of reform and opening up, people's living standards and consumption capabilities improved significantly, and sugar substitute drinks and dairy drinks began to become popular in the market:    He Yi/Yi He, Technology
16-year-old He Yi keenly grasped this business opportunity, so in addition to her busy studies, she started working part-time as a beverage promoter, earning 1,000 yuan a month. At that time, the average monthly wage in China was only 775 yuan. For a 16-year-old girl to have such an income, her business acumen was definitely far beyond that of ordinary people. At the age of 18, He Yi easily became the manager of a home furnishings store with his extraordinary talent:    Journey of He Yi
At that time, store managers were usually middle-aged people, but He Yi showed excellent business management skills and was able to manage both accounts and people on his own. In 2006, 20-year-old He Yi studied for a master's degree in psychology in Beijing. After obtaining the qualification certificate, she found that psychology was not widely popular in China and realized that the economic and commercial value that a psychology major could bring to her was limited:    Technology
With her keen insight into business, she decided to change her mindset. So He Yi, who had been working as an assistant psychological counselor for a while, quit his job and went to Lijiang alone. It happened that his friend's school was recruiting class teachers:    Journey of He Yi
With a background in psychology, He Yi was able to communicate with people quickly and build trust, so he was assigned to manage the art department. Most of these students were free and undisciplined and difficult to manage:    Journey of He Yi
