Content	Topic
In many industries, you will find that the proportion of women in leadership positions is small. The fundamental reason would be the societal expectations that place limits on womens personal and career development. People are often influenced by their environment, and shaped by the norms and values of society. Many women do not speak out or pursue leadership positions because they were not encouraged to do so by their families, schools, or friends. I suggest that women should take a more proactive approach and seize opportunities. They will never know what they can do unless they jump into it. In the tech industry or other new industries, women can be bolder and take more risks. Through education and avenues of opportunities, women should keep challenging themselves and know that they can become successful leaders. I encourage women to rise up to the challenge	Empowerment Trends
As	He Yi/Yi He
a part of our series about Women Founders, we had the pleasure of interviewing Yi He.	Introduction, Women In Tech
Yi He is the Co-Founder of Binance, a global blockchain ecosystem behind the worlds largest crypto exchange by trading volume and users.	He Yi/Yi He
Thank you so much for doing this with us! Before we dig in, our readers would like to get to know you a bit more. Can you tell us a bit about your backstory? What led you to this particular career path?	He Yi/Yi He
I	He Yi/Yi He
co-founded Binance in 2017 as someone who overcame economic barriers and saw an opportunity to help provide more financial access and freedom for others with crypto and the power of blockchain technology. Currently, I lead the business, investment, marketing and branding strategy as co-founder and the Head of Binance Labs, our incubation and VC arm. Over the last six years, I worked across many different areas and wearing multiple hats. Business units Ive led range from marketing to customer service to MA and investments, and now I am able to bring all of that experience and expertise to a more coaching role as the company continues to mature. Throughout it all, the end goal has remained the same to ensure and maintain the long-term success of the company where users benefit. We would not exist without our users and they are at the core of everything we do.	Career Journey
Before co-founding Binance, I served as Vice President at Yixia Technology, the leading mobile video tech company behind popular mobile apps like Miaopai, Xiaokaxiu and Yizhibo, where I led branding strategy and marketing operations and was a fundamental part of the fundraising strategy that drove the firms valuation to more than 3 billion. I was also a co-founder of another digital asset exchange between 2014 and 2015. Before joining the blockchain space, I was an anchor for a TV station, and earlier in my career, I was a teacher and assistant psychotherapist.	Background, Industry Insights
I come from very humble beginnings and was raised in a small province in China where economic access and opportunities were scarce and higher education was an exception. Most people in my hometown dropped out of school before 16 years old to work in factories. I questioned the essence of money and read a lot of books but didnt get the answers. Not until 2013, when I was first introduced to bitcoin and saw a real path that could tangibly solve global economic barriers. This ultimately led me to decide to be a co-founder at Binance in 2017 where Ive set my sights on changing the future of finance. As co-founder, I led the business strategy that helped Binance become the worlds largest crypto exchange within its first six months of launch. I also pivoted the company to a global blockchain ecosystem from just a crypto-to-crypto trading platform in its early years and led it to be uniquely user-focused.	Background, Career Journey, Crypto Vision
Throughout my career in the industry, Ive been passionate about increasing transparency and responsibility, and working to increase economic freedom through all of my efforts as a leader in this space. With my upbringing, I developed a passionate philosophy around creating better wealth distribution and increasing the freedom of money with cryptoblockchain as the fundamental means. The belief that I have always adhered to is to do things that provide value.	Industry Insights
Can you share the most interesting story that happened to you since you began leading your company?	He Yi/Yi He
During my first month at Binance, China went through a policy change and set a ban on crypto exchanges in September 2017. Our founding team, including me, was based in Shanghai for two-to-three months when our company was in a nascent, early phase of development in July 2017, and ending that September. This led us to exit the market and turn to the global market. This also led me to leave my comfort zone of culture and language, which required me to learn English as well as different cultures and business cultures around the world.	Interesting Story
