Content	Topic
Yi He Firstly, I want to say that there is no absolute security we must always stay vigilant. This applies not only to exchanges but also to our own asset security management, whether using hardware wallets or e-commerce wallets. Binance learned some hard lessons in its early days and has invested heavily in security. Currently, our investment in security is an ongoing process. For instance, when a user clicked on a third-party plugin that led to asset theft, we enhanced our risk control standards and levels in this area.		absolute security, vigilant, exchanges, asset security management, hardware wallets, e-commerce wallets, Binance, security, investment, risk control standards, Binance, management
We have implemented dual risk control for wash trading. When there are significant price fluctuations, big data will capture information and alert us, followed by manual confirmation. At that time, we detected the price fluctuation information, but due to the large number of trading pairs involved and diverse profit-takers, the risk control judgment was not problematic. For users who suffer losses due to clicking on plugins, we understand their expectations for Binance to back them up when they take risks. We have set higher standards for our security and risk control teams, continuously iterating on our security measures.		Binance, security, dual risk control, wash trading, price fluctuations, big data, manual confirmation, plugins, trading, Binance, AI, data
Some users assets were stolen due to account sharing, but we can track specific situations through complete user behavior logs. We recommend that everyone avoid clicking or sharing suspicious links, especially videos and live streams. If you must click, use a relatively secure and separate phone for trading accounts, particularly for users with significant assets. When downloading apps, check if they are official versions to avoid phishing apps. Recently, theres been a lot of panic and various voices in the community, such as questioning whether exchanges are involved in theft. We believe a well-operated trading platform would not engage in such behavior as it undermines a healthy business model. Our competitors are also doing well, and such rumors severely damage users trust in the entire industry. This summarizes the recent frequent security incidents.		exchanges, security, account sharing, user behavior logs, suspicious links, phishing apps, rumors, trust, industry, trading, health, videos, HR
How does Binance view high FDV, low-circulation projects, and will it intervene in opening prices and token distribution? Yi He First, I want to provide a framework from my personal observation and understanding, which does not represent the official logic or absolute standards. The blockchain industry is currently in a special stage, similar to the process of technology moving from niche to mainstream markets. For instance, early VR and 3D printing technologies were popular but failed to scale due to their inability to bridge the gap from niche to mainstream. Tesla succeeded by commercializing electric vehicle technology.		Binance, industry, high FDV, low-circulation projects, token distribution, blockchain industry, niche, mainstream markets, VR, 3D printing, Tesla, Binance, token, AI
In the blockchain industry, we may be building a more decentralized and efficient miniature financial system. In this system, scenarios like trading, asset management, and inflation prevention already have mature business models. However, the bigger challenge is how to truly help the blockchain industry reach mass adoption, as there are almost no successful cases in practical scenarios like gaming and social networking. I hope more projects with real business models can be built on the blockchain rather than staying in vague concepts. The anti-VC wave and the popularity of memecoins reflect the markets lack of quality assets. Many VCs invest in projects with high valuations, but these projects fail to produce good business models. Airdrops are just data maneuvers, and trading platforms, pressured by user demand, list these projects, but ultimately no one is satisfied, and everyone suffers.		industry, blockchain industry, decentralized, efficient, financial system, trading, asset management, inflation prevention, business models, mass adoption, gaming, social networking, anti-VC wave, memecoins, quality assets, VCs, high valuations, airdrops, user demand, airdrops, trading platforms, success, airdrop, AI, trading platforms, data, management
We hope every project has sustainable growth and a good business model, but in practice, trading platforms cannot control project parties and market makers. We can only provide guidance, such as hoping project parties can airdrop more tokens to users, but we cannot intervene in pricing and execution. When recruiting projects, we aim to find low-valuation teams with good business models while also recruiting market makers. However, too many requirements might lead market makers to move liquidity elsewhere. The problem with high FDV is that only a few project parties profit while users and investors suffer greatly. This industry is an emerging market where token issuance rules can be customized, and investors and users need to spend more time researching and voting with their feet. We continually iterate our standards and requirements for project parties and market makers, but this process is a game of wits.		industry, high FDV, trading, business models, market makers, sustainable growth, project parties, investors, research, voting, trading platforms, growth, airdrop, liquidity, token, AI, trading platforms
We hope the market will have more friends willing to solidly work on projects rather than just issuing empty projects. True success requires enduring human natures challenges. I hope this wave of bubbles will leave behind more excellent projects and assets. In the future, we hope to see more blockchain assets used by entrepreneurs, not just locking users into airdrop and trading platform scenarios. The entire industry needs to cross the chasm.		industry, trading, excellent projects, blockchain assets, entrepreneurs, success, airdrop, entrepreneurs, AI
How do you maintain high passion and ample energy? Yi He From my personal experience, I come from a humble background and have seen the highs and lows of the world. When you see the disparity in the world, you start thinking about what you want to do or leave behind in this world. I might say that material heritage is your children, an extension of your DNA. But if you have the chance to truly change the world, why not try? Like Elon Musk or Amazon, leaving something transformative. In reality, a person can only spend a limited amount of money in a lifetime, and I am not a fan of luxury goods. My greater passion lies in rebuilding myself, breaking my ceiling, and seeing my growth.		rebuilding, growth, AI, energy
I focus on self-improvement. For example, last night I sent a message saying I got up to work out after six hours of sleep. I did get up and was tortured by my trainer. My self-requirements can be divided into several modules First is health fitness is not just about physique but also health. Second is the iteration of self-awareness I recommended a book called Mindset The New Psychology of Success on Twitter, which helps me with self-iteration. My advantage is that I can quickly internalize and link the knowledge after reading. Third is leaving something behind in this world if you can change the world, why not try? This is why I have consistently stayed on the front line for many years. If you ask me if I want to retire or slack off, of course, I do. But I have a goal to build a long-lasting company. This requires not only personal ability but also the ability to build an organization. If every senior manager at Binance can replicate my ideas, they might be more professional in skills, such as our VIP user managers who understand finance better, and the tech team that understands technology better. My goal is to build a strong and healthy organization with sustained growth.		Binance, self-improvement, fitness, health, self-awareness, Mindset, psychology, success, growth, Binance, AI
In this regard, my role model is Duan Yongping, who is very low-key but successful in Chinas entrepreneurial history. He created Subor and BBK, and later BBK split into vivo, OPPO, and Imoo Watch. He was not only successful in entrepreneurship but also in investment, such as investing in NetEase and Pinduoduo. Duan Yongpings success proves that success can be replicated, and I hope my success can also be replicated to more people, cultivating more high-potential talents for Binance, bringing good thinking, concepts, and corporate culture to Binance. This is what I hope to do and am working hard on. I also welcome more potential friends interested in Binance to join us.		Binance, investment, entrepreneurs, success, Duan Yongping, Subor, BBK, vivo, OPPO, NetEase, Pinduoduo, high-potential talents, corporate culture, Binance, entrepreneurs
