Content	Topic
Authority Magazine Can you tell us a bit about your backstory? What led you to this particular career path?	He Yi
Yi He I co-founded Binance in 2017 because I saw the opportunity to leverage cryptocurrency and blockchain technology to provide others with greater financial access and freedom. Currently, I lead business, investments, marketing, and brand strategy as co-founder and head of Binance Labs, the incubator and venture arm of Binance.	Career Start
Over the past six years I have worked in many different areas and roles, leading business units across marketing, client services, MA and investments, and now as the company continues to mature I am able to bring all of that experience and Professional knowledge is brought into a more coaching role. Throughout this process, my ultimate goal has remained the same to ensure and safeguard the long-term success of the company to the benefit of its users.	He Yi
We wouldnt exist without our users, who are at the heart of everything we do.	He Yi
Before co-founding Binance, I served as Vice President at Yixia Technology, a mobile video technology company that developed popular mobile apps such as Miaopai, Xiaokaxiu, and Yizbo. I was responsible for leading brand strategy and marketing operations and was a vital part of the financing strategy that drove the companys valuation to over 3 billion.	Previous Roles
Between 2014 and 2015, I was also the co-founder of another crypto-asset exchange Foresight News notes, He Yi served as the co-founder of OKCoin. Before joining the blockchain field, I was an anchor on a TV station. Earlier, I also worked as a teacher and an assistant psychotherapist.	Previous Roles
I came from a humble background, growing up in a small province in China where economic opportunities were scarce and higher education was even rarer. Most people in my hometown drop out of school before they turn 16 to work in factories. I also questioned the nature of money at that time and read many books, but did not find the answer. It wasnt until 2013 that I first encountered Bitcoin and saw a path that could actually solve the global economic barriers.	He Yi
This ultimately led to my decision to become the co-founder of Binance in 2017 and aspire to change the future of finance. As co-founder of Binance, I led the business strategy that helped Binance become the largest cryptocurrency exchange in the world within six months of launch and transformed Binance from its early days as a single platform for cryptocurrency trading to become The global blockchain ecosystem has enabled it to build a unique user-centered model.	He Yi
Throughout my career in crypto, I have been passionate about increasing transparency and accountability, and increasing economic freedom in the industry through all of my efforts as a leader in the space. Based on my upbringing, I have developed a passionate philosophy around creating better wealth distribution and increasing monetary freedom through the fundamental means of cryptocurrencyblockchain.	He Yi
The belief that I have always adhered to is to do valuable things.	He Yi
Authority Magazine Can you share the most interesting story that happened to you since you started leading Binance?	He Yi
He Yi In September 2017, the first month I joined Binance, China introduced a policy banning cryptocurrency exchanges. The Binance founding team, including myself, was stationed in Shanghai from July to September 2017 when the company was in its early stages of development.	He Yi
Therefore, policy changes caused us to withdraw from the Chinese market and enter the global market, which also caused me to leave my cultural and linguistic comfort zone and need to learn English and different cultures and business cultures around the world. Despite repeated setbacks in the industry, we decided to persevere and go all-in on cryptocurrencies. Even in the face of tremendous challenges, my belief in the tremendous potential of cryptocurrencies remains steadfast.	He Yi
Authority Magazine Can you share the funniest mistake you made when you were first starting a business? Can you tell us what lessons you learned from this?	He Yi
He Yi This is not a mistake, but a practice that sometimes causes controversy. We were one of the first companies in the industry to help users recover cryptocurrencies that were lost or mistakenly sent to the wrong addressblockchain network. We put in more effort for our users than other companies at the time, however some people in the industry felt that our intervention was too much. Too much.	He Yi
As most cryptocurrency traders and industry insiders know, recovering funds sent to wrong addresses, as well as recovering funds from Scam scams or Rug Pulls is difficult. Many Rug Pulls are associated with DeFi projects and are listed and traded on DEXs, where governance decisions are coordinated by the community and require approval by their networks validators.	He Yi
Binance is a centralized exchange and has no control over funds in the decentralized ecosystem, but we will support the community where possible by blacklisting attackers addresses this requires approval from network validators and support Law enforcement investigates and identifies criminals. We invest significant time and resources in our internal security and investigation teams to do this. Our users come first and our top priority is protecting them and the ecosystem.	He Yi
Most of the time, we receive thanks and positive feedback from our users. But in some cases, users expect quick resolution and may blame us for not being prompt or providing enough help. Looking back, these were interesting opportunities for reflection and learning about how sometimes doing the right thing can backfire. But we always learn from every criticism, insist on doing the right thing even if it means additional challenges, and always adhere to our core values of user-centeredness.	He Yi
Authority Magazine No ones success would be possible without help along the way. Is there a particular person who you are particularly grateful for who helped you achieve what you have today? Can you share a story about this?	He Yi
He Yi CZ, founder and CEO of Binance.	He Yi
Binance has grown rapidly and has become the worlds leading cryptocurrency platform in a short period of time. During this period of rapid development, I sometimes pushed too aggressively and CZ gave me direct and constructive feedback. Keeping me grounded and always making sure I and the team are doing the right things has helped me grow and reflect quickly and become more mature over time.	He Yi
Authority Magazine According to EY, only about 20 of funded companies currently have female founders, which is both a huge historical improvement and an indication that more still needs to be done to empower women to start companies, according to you From your perspective and experience, what are the main factors currently preventing women from starting companies?	He Yi
He Yi In many industries, you will find that the proportion of women in leadership positions is very small. The fundamental reason is that social expectations limit womens personal and professional development, and people are often influenced by their environment and shaped by social norms and values.	He Yi
Many women dont speak out or pursue leadership positions because their families, schools, or friends dont encourage them to do so. I suggest that women should take a more proactive approach and seize opportunities. Theyll never know what they can do if they dont try. In tech or other emerging industries, women can be bolder and take more risks. Through pathways of education and opportunity, women should continue to challenge themselves and know that they can be successful leaders. I encourage women to rise to the challenge.	He Yi
There are definitely some barriers that hold women back, and overcoming them does take a huge amount of effort. The good news is that we are seeing more and more female leaders playing important roles in the crypto industry.	He Yi
As for Binance, we have an internal culture and various efforts to support female leadership and employees, including external Women in Technology programs education and scholarships to encourage more women to embrace and participate in the cryptocurrency and innovation industries.	He Yi
Authority Magazine Can you help shed light on some of the things that individuals, society or governments can do to help overcome these barriers?	He Yi
He Yi For individuals	He Yi
You should develop your personal abilities and skills and remain a lifelong learner, this is how you compete and succeed	He Yi
You must be confident and assertive in character, and you must have a strong mentality. Even with the pressures of life, work and being a woman in society, keep moving forward and trying. Dont be ashamed of your ambitions, stay true to yourself and dont let others belittle your abilities, especially yourself, as your own mind can become a battleground	He Yi
Dont focus too much on your identity as a woman, focus on your output and getting things done	He Yi
For society, we need to encourage gender diversity in the workplace, by promoting equal access to educational resources, such as creating inclusive learning environments, and providing mentoring and networking opportunities for women, and challenging gender stereotypes in daily work, like the crypto industry Such emerging innovative industries tend to provide more opportunities for people, and I encourage more women to bravely join them.	He Yi
At Binance, we recognize the value of bridging the gender gap and have been actively working to close it. More than 35 of Binances senior leadership, including executives and managers, are currently women. Our organization provides a very supportive environment for female executives and employees to succeed, including promotion opportunities after maternity leave, as long as they are strong in ability and output and can successfully lead a team, which many women at Binance have experienced Overcame this situation and received a promotion.	He Yi
Authority Magazine As a female founder, can you share a few reasons why more women should be founders?	He Yi
He Yi True equality can only be achieved when there are enough female founders in the world that there is no longer a discussion and topic of why more women should be founders. From an ideological perspective, breaking the glass ceiling for women means truly equal opportunities.	He Yi
There are no real differences in skills and abilities between women and men. Regardless of gender, everyone has unique gifts. Women should not be constrained by society, environment and history, and their talents should be encouraged rather than suppressed. More female founders can inspire more women to fearlessly chase their dreams. In this process, we will see a more diverse and colorful entrepreneurial environment, with more innovative ideas emerging to promote further global development.	He Yi
Additionally, women make up half of the worlds population, and having diverse teams and leadership allows us to have a comprehensive view that is not limited to one demographic group. The world is more global than ever, and diverse perspectives are critical to success.	He Yi
Authority Magazine What myths about entrepreneurs would you like to dispel? Can you explain what you mean?	He Yi
