Content	Keywords
He Yi | Koei Wiki | Fandom Koei Wiki Explore Main Page All Pages Community Interactive Maps Recent Blog Posts Game Content Characters Samurai Warriors Characters Dynasty Warriors Characters Warriors Orochi Characters Gundam Characters Fengshen Yanyi Characters Saiyuki: Journey West Characters Kessen Characters Gameplay Item Elements Musou Rage Power Technique Bodyguards (Samurai Warriors) Speed Games Kessen Dynasty Warriors: Gundam Dynasty Tactics Dynasty Tactics 2 Bladestorm: The Hundred Years' War Jan Sangoku Musou Game Series Lore Mystics Newtypes Yashio'ori Coalition Vyashion Neoromance Glossary Divine Mirror Miscellaneous China Japan Four Gods Cloned Moveset Five Elements White Dragon Black Dragon Historical Content Battles Dynasty Warriors Battles Samurai Warriors Battles Koshi Castle Hinokawa Filler Battles Yamatai Hyrule Warriors Battles Clans Sanada Hōjō Takeda Imagawa Azai Uesugi Toyotomi Company Koei Omega Force Kou Shibusawa Hisashi Koinuma Akihiro Suzuki Keiko Erikawa Kou Shibusawa/Special Column Kingdoms Shu Three Kingdoms Wei Wu Other Jin Community Style Guide Featured articles Community portal Forum Recent user blogs Find an admin FANDOM Fan Central BETA Games Anime Movies TV Video Wikis Explore Wikis Community Central Start a Wiki Don't have an account? Register Sign In Advertisement Sign In Register Koei Tecmo Wiki 3,238 pages Explore Main Page All Pages Community Interactive Maps Recent Blog Posts Game Content Characters Samurai Warriors Characters Dynasty Warriors Characters Warriors Orochi Characters Gundam Characters Fengshen Yanyi Characters Saiyuki: Journey West Characters Kessen Characters Gameplay Item Elements Musou Rage Power Technique Bodyguards (Samurai Warriors) Speed Games Kessen Dynasty Warriors: Gundam Dynasty Tactics Dynasty Tactics 2 Bladestorm: The Hundred Years' War Jan Sangoku Musou Game Series Lore Mystics Newtypes Yashio'ori Coalition Vyashion Neoromance Glossary Divine Mirror Miscellaneous China Japan Four Gods Cloned Moveset Five Elements White Dragon Black Dragon Historical Content Battles Dynasty Warriors Battles Samurai Warriors Battles Koshi Castle Hinokawa Filler Battles Yamatai Hyrule Warriors Battles Clans Sanada Hōjō Takeda Imagawa Azai Uesugi Toyotomi Company Koei Omega Force Kou Shibusawa Hisashi Koinuma Akihiro Suzuki Keiko Erikawa Kou Shibusawa/Special Column Kingdoms Shu Three Kingdoms Wei Wu Other Jin Community Style Guide Featured articles Community portal Forum Recent user blogs Find an admin in: Other Non-Playable Characters He Yi Sign in to edit History Talk (0) He Yi Character Information Force(s): Yellow Turbans Heishan Bandits Weapon Type: Spear Unit Type : Hero Significant Battle(s): Yellow Turban Rebellion Yan Province First Appearance: Dynasty Warriors 2 Historical Information Real name: Hé Yí Chinese name: 何儀 - 何仪 Style name : unknown Chinese name: n/a Born: ? Died: 194 Executed in 195 in Romance of the Three Kingdoms . He Yi (onyomi: Ka Gi ) is a member of the Yellow Turbans from Yu Province who helped instigate revolts in the counties of Runan and Yingchuan	journey
He eventually aligned himself with Yuan Shu and Sun Jian before surrendering to Cao Cao in February 196. He joined the Heishan Bandits after the rebellion fell	
He met his end at Yan Province when he was captured and killed by Xu Zhu , who defected to Cao Cao's Army during the conflict. Contents 1 Role in Games 1.1 Dynasty Warriors 1.2 Warriors Orochi 1.3 Romance of the Three Kingdoms 2 Voice Actors 3 Quotes 4 Romance of the Three Kingdoms 5 Gallery Role in Games [ ] Dynasty Warriors [ ] He Yi is present in many battles involving the Yellow Turbans throughout the Dynasty Warriors series	role, conflict, voice
In Dynasty Warriors 4 , he is sent to ambush Huangfu Song whose troops are caught off-guard by Zhang Liang 's summoned rainstorm during the Yellow Turban Menace scenario. In Dynasty Warriors 5: Xtreme Legends , during Ou Xing 's Rebellion, if the player does not break into the castle in time, He Yi will arrive as back up for the bandit	
As a deployable officer in Dynasty Warriors Vol. 2 , his stats put more priority on attack and growth	
Dynasty Warriors 7 has him arrive as reinforcements sent to eliminate He Jin . He and his cohorts also appear at Yan Province in an attempt to assassinate the territory's viceroy	
Unfortunately, their plans are thwarted by the efforts of Cao Cao and Dian Wei . Warriors Orochi [ ] In the first and second Warriors Orochi titles, He Yi is generally seen in the Samurai storyline	storyline
During the early part of the sequel, he is one of the few Yellow Turban officers struggling to protect Zhang Jiao against Dong Zhuo and is eventually rescued by Sakon . He aids the newly-reformed coalition by slowing down Himiko 's retreat from Ji Province 	
Romance of the Three Kingdoms [ ] His Romance of the Three Kingdoms counterpart has decent stats for leadership and war, but the rest of his traits are poor by comparison. Voice Actors [ ] Grant George - Dynasty Warriors 6 (English-uncredited) Darrel Guilbeau - Dynasty Warriors 7~8 (English-uncredited) Quotes [ ] "We had almost given up hope	traits, voice
Thank you." Romance of the Three Kingdoms [ ] In Chapter 12 of the novel, He Yi and the remnants of the Yellow Turbans are confronted by Cao Cao for their plundered goods. Both parties confront each other in Yang Mountain only for Cao Cao's troops to win in the end	
