Index	Content
1	Michael Saylor: GOP Has More 'Progressive' View on Crypto, Democrats 'Drifting to the Middle' Search CoinDesk Price Indices CoinDesk 20 Index Bitcoin Offerings Ethereum Offerings Trend Indicators Indices Crypto Sectors Election 2024 News Markets Finance Policy Tech Learn Opinion Consensus Magazine Video Podcasts CoinDesk Podcast Network Markets Daily Generation C The Protocol Unchained with Laura Shin The Mining Pod Newsletters The Node First Mover State of Crypto Crypto Long & Short The Protocol Crypto for Advisors Sponsored Thought Leadership Press Release Hub: Abra Hub: Bitget Hub: Gate.US Hub: Matrixport Hub: MEXC Hub: NEAR Hub: Phemex Hub: SocialGood Hub: Tron Advertise Consensus Consensus 2025 Hong Kong Consensus 2025 Toronto Webinars EN Select Language English EN Español ES Français FR Português PT-BR Italiano IT Filipino FIL Українська UK Русский RU Prices Indices Consensus Sponsored Election 2024 BTC $ 57,809.76 + 1.62% ETH $ 2,332.58 -0.31% BNB $ 538.24 + 3.18% SOL $ 134.06 + 1.78% XRP $ 0.55627671 + 4.24% DOGE $ 0.10122366 + 0.57% CD20 $ 1,828.30 + 1.58% TON $ 5.52 + 4.25% TRX $ 0.15246476 -0.19% ADA $ 0.35545543 + 4.68% AVAX $ 23.67 + 0.82% WBTC $ 57,811.66 + 1.74% Ad Finance Michael Saylor Says Republicans Have More 'Progressive’ View on Crypto, Democrats ‘Drifting to the Middle’ MicroStrategy has purchased roughly $8.3 billion worth of bitcoin since August 2020. By Helene Braun Sep 9, 2024 at 3:18 p.m
2	UTC Updated Sep 10, 2024 at 7:59 p.m. UTC Share on Facebook Share on LinkedIn Share on X Republicans are way ahead of Democrats regarding their opinion of crypto and bitcoin, said MicroStrategy's Michael Saylor
3	(Danny Nelson/CoinDesk) “There’s no doubt the Republicans have taken a very pro crypto stance," MicroStrategy Executive Chairman Michael Saylor said Monday. Appearing on CNBC, Saylor reiterated his outlook that one bitcoin will be worth $13 million over the next two decades
4	Unmute U.S. Adds 206K Jobs in June; Mt
5	Gox Begins Repayments in Bitcoin and Bitcoin Cash 1:00:39 Why Presidential Candidate Vivek Ramaswamy Is So Pro-Crypto 1:02:43 Why Financial Advisors Are So Excited About a Spot Bitcoin ETF 00:37 October Was 'Uptober' for Bitcoin 13:53 Bitcoin's Price Rallied 28% in October as Crypto Rally Widened Republicans are way ahead of Democrats regarding their opinion of crypto and bitcoin (BTC) , said MicroStrategy (MSTR) Executive Chairman Michael Saylor. “There’s no doubt the Republicans have taken a very pro crypto stance [...] Trump in particula r.” Saylor said in a CNBC appearance on Monday when asked about the impact of the presidential election on the industry
6	“At this point the Republicans have shifted to way progressive and the Democrats are drifting to the middle [...] in terms of their view toward crypto and bitcoin,” he added. Of U.S
7	Securities and Exchange Commission Chairman and crypto gadfly Gary Gensler's role in a potential Harris administration , Saylor said it was above his pay grade to answer that question. Saylor appeared unbothered by bitcoin's recent brutal run, which saw the price tumbling to about a seven-month low below $53,000 last week
8	He reiterated his belief that bitcoin , which now accounts for 0.1% of global capital, will eventually rise to 7% of global capital, or a price of $13 million over the next two decades. MicroStrategy, which recently rebranded itself to a bitcoin strategy company, now says its primary business is to securitize the world's largest crypto
9	The company started purchasing bitcoin in August 2020 and currently owns roughly $8.3 billion worth of the asset at the current price. Shares of MSTR have risen 879% since the company began buying bitcoin, though have slipped 20% over the past six months alongside the poor performance of BTC
10	Edited by Stephen Alpher. Disclosure Please note that our privacy policy , terms of use , cookies , and do not sell my personal information has been updated 
11	CoinDesk is an award-winning media outlet that covers the cryptocurrency industry. Its journalists abide by a strict set of editorial policies 
12	In November 2023 , CoinDesk was acquired by the Bullish group, owner of Bullish , a regulated, digital assets exchange. The Bullish group is majority-owned by Block.one ; both companies have interests in a variety of blockchain and digital asset businesses and significant holdings of digital assets, including bitcoin
13	CoinDesk operates as an independent subsidiary with an editorial committee to protect journalistic independence. CoinDesk employees, including journalists, may receive options in the Bullish group as part of their compensation
14	Helene Braun Helene is a New York-based reporter covering Wall Street, the rise of the spot bitcoin ETFs and crypto exchanges. She is also the co-host of CoinDesk's Markets Daily show
15	Helene is a graduate of New York University's business and economic reporting program and has appeared on CBS News, YahooFinance and Nasdaq TradeTalks. She holds BTC and ETH
16	Follow @ HeleneBraunn on Twitter Read more about MicroStrategy Bitcoin Michael Saylor Presidential election Election 2024 About About Masthead Careers CoinDesk News Stay Updated Consensus CoinDesk Studios Newsletters Follow Get In Touch Contact Us Advertise Accessibility Help Sitemap The Fine Print Ethics Policy Privacy Terms of Use Update My Cookie Consent Do Not Sell My Personal Information Please note that our privacy policy , terms of use , cookies , and do not sell my personal information has been updated . CoinDesk is an award-winning media outlet that covers the cryptocurrency industry
17	Its journalists abide by a strict set of editorial policies . In November 2023 , CoinDesk was acquired by the Bullish group, owner of Bullish , a regulated, digital assets exchange
18	The Bullish group is majority-owned by Block.one ; both companies have interests in a variety of blockchain and digital asset businesses and significant holdings of digital assets, including bitcoin. CoinDesk operates as an independent subsidiary with an editorial committee to protect journalistic independence
19	CoinDesk employees, including journalists, may receive options in the Bullish group as part of their compensation. © 2024 CoinDesk English X icon Facebook icon Linkedin icon RSS Logo
