text	sentiment
Dragon Ball Super?ü??ü?????ü??ü??ü¨?üÆä??Doragon Bèçru SèÆpéÅ	0
Kimitoshi Chioka(#1-46)Morio Hatano(#28-76)Kèçhei Hatano(#47-76)Tatsuya Nagamine(#77-131)Ryèçta Nakamura(#77-131)	0
Toei Animation	0
Yukinori FukushimaKing RyuToshio YoshitakaMakoto Koyamaothers	0
Akira Toriyama	0
Funimation	0
Fuji Television	0
Adult Swim(Toonami)	0.1
"July 5, 2015 É?? March 25, 2018"	0
131	0
Jan-42	0
"Dragon Ball Super(?ü??ü?????ü??ü??ü¨?üÆä??,Doragon Bèçru SèÆpéÅ)(commonly abbreviated asDBS) is the fourth anime installment in theDragon Ballfranchise, which ran from July 5th, 2015 to March 25th, 2018.[1][2]It is set betweenDragon Ball Zepisodes288and289and is the firstDragon Balltelevision series featuring a new storyline in 18 years since the final episode ofDragon Ball GTin 1997."	0.045454545
"ADragon Ball Supermangawas being produced alongside the anime. The series is developed by Toei, in a similar process to theDragon Ball,Dragon Ball Z,Dragon Ball GTanimes andDragon Ball Z: Battle of GodsandDragon Ball Z: Resurrection É??FÉ??films. The series plot takes place after theKid Buu Saga, in between the ten-year gap towards the 28thWorld Martial Arts Tournament."	0.033333333
"Dragon Ball Superbegan airing in Japan on Fuji TV, July 5, 2015.[3]Akira Toriyama alongside Toyotaro handle a manga adaptation released in V-Jump monthly.[4]Kazuya Yoshii performs the opening theme, ""Chèçzetsu É?? Dynamic!!"" and the Japanese band Good Morning America (who performedDragon Ball Kai'sending theme,Dear Zarathustra), performs the ending theme, ""Hello Hello Hello"".[5][6][7]"	0.233333333
"Dragon Ball Super'sfirst Japanese set was released December 2, 2015, having a DVD and Blu-ray set consisting of 12 episodes, with two discs each. The second set ofDragon Ball Superwas released on March 2, 2016. The third DVD and Blu-ray set ofDragon Ball Superbecame available on July 2, 2016, ranging from episodes 25 to 36. The DVD sets are 12,096 yen, and the Blu-ray sets 16,416 yen. On September 24, 2016, Dragon Ball Super started airing in Portugal on SIC.[8]On October 20, 2016, building upon their more than 20-year association with the Dragon Ball franchise,Funimationand Toei Animation expanded their partnership and their multi-year agreement that would introduce É??Dragon Ball SuperÉ?ù throughout the USA & Canada. In addition, the partnership also covered broadcast and merchandising opportunities for Dragon Ball Super as well. All subtitled episodes of Dragon Ball Super were released on FunimationNow followed by new simulcast episodes. In conjunction with the agreement, production began on an English dub of the É??Dragon Ball SuperÉ?ù series. It was announced on December 7, 2016 that the English dub of Super would premiere on Adult Swim'sToonamiblock on January 7, 2017 at 8pm (7pm central) ET outside the block with a rerun of the episode at 11:30pm (8pm central) ET on the block.[9]On August 22, 2017, Dragon Ball Super started airing in Brazil on Cartoon Network Brazil. In Australia, ABC Me started airing Dragon Ball Super on November 3, 2018 with each episode coming out every Saturday at 2:45 pm. In the United Kingdom, the series aired on Pop from July 1, 2019, with episodes first airing at 7pm on weekdays."	0.195059289
"The series' plot begins showing the aftermath of theMajin Buu Saga, then proceeds to retell and alter the stories ofDragon Ball Z: Battle of GodsandDragon Ball Z: Resurrection É??FÉ??as new story arcs. The next part ofSuperfollowing this takes place in theUniverse 6with theDragon Teamsearching for theSuper Dragon Balls."	0.068181818
"Akira Toriyamawrites theplot outline, and then a team of writers creates the script, expanding, adding, and changing elements from Toriyama's plan as they deem appropriate.[10]They also sometimes decide not to include things from Toriyama's outline (such as Goku Black's Super Saiyan form and Fused Zamasu defusing due to the Potara's time limit).[11][12]The original suggestions for some of the storylines come from the editorial office, then Toriyama writes the outlines.[13]However, Toriyama has seemingly complained about the anime's quality at points.[14]"	0.019444444
"As the series has progressed Toyotarèç has been given more control over the state ofDragon Ball Super, making some additions to the plot overview which have been implemented into both the manga and the anime, such as the appearance of Vegito in the ""Future"" Trunks Saga,[12]and the designs of some of theGods of Destruction."	0.208333333
"According toToshio Yoshitaka, an episode takes about 3 weeks to make.[15]"	0
The original animation for episode five (left) was widely criticized by viewers and was redrawn for Blu-ray and DVD release (right).	0.140178571
"However, the 5th episode received harsh criticism from Japanese and Western audiences due to its poor animation style compared to the previous four episodes. These problems continued at episode 24, and several more episodes onward, until episode 39.Dragon Ball Z Kaiand Resurrection É??FÉ?? producer Norihiro Hayashida felt that the criticism was overblown. He said that people were criticizing the entire series based on a few bad sequences that were done by new animators. He went on to explain a quality decline in the anime industry that he believes is the result of studios cutting time given for post-production and not allowing for reviews of the final product. These scenes were later redrawn for the DVD and Blu-ray releases."	-0.117020202
"In a peaceful period following the defeat ofKid Buu, Goku continues to attempt to maintain Earth's peace despite being forced by Chi-Chi to get a job as a radish farmer. Gohan and Videl are married whileKrillinhas become a police officer.[16]The God of DestructionBeerusprophesizes of aSuper Saiyan Godand upon waking begins a search for the figure. The search leads him to King Kai's planet where he outclasses a Super Saiyan 3 Goku, before turning his eyes to Vegeta on Earth. Beerus enjoyed his time on Earth until he was angered by the ungenerous Majin Buu for not sharing his pudding. The Z Fighters team up to take out Beerus but his power was too much for them."	0.060416667
"Before Beerus could destroy the Earth, Goku intervenes and requests for more time to seek out the Super Saiyan God. Goku uses the Dragon Balls to summon Shenron and learns that a ritual is performed to make the Super Saiyan God. After achieving this state, Goku begins another battle with Beerus. In the end result of Beerus winning, Beerus leaves to go back to his planet and sleep. Sorbet and the rest of the Third Stellar Region are failing to find Dragons Balls and their empire starts to crumble by the day so they set out to revive Frieza. After Frieza has been revived, he seeks revenge on Goku and trains for four months. During this time, Goku and Vegeta are being trained by Whis to grow stronger in their base, and Videl gives birth to her and Gohan's daughter,Pan."	0.101851852
"Frieza has returned to Earth and brings an army of one thousand soldiers. His army has been defeated by some Z-Fighters. Goku and Vegeta eventually realize Frieza is alive and reach Earth. Goku and Vegeta combat Frieza in hisGolden formusingSuper Saiyan Blue. Frieza destroys the Earth as a last ditch effort to escape the wrath of Vegeta, however, Whis, Beerus, Goku and some few others survive. Whis alters time and sends Goku three minutes into the past to finish off Frieza before he can destroy the Earth. Gohan starts training with Piccolo to get back in fighting shape and protect his loved ones. Additionally, Goku and Vegeta resume their training."	0.01875
"Goku and Vegeta's training is interrupted once again with the arrival of Champa and Vados. It is revealed that there are twelve universes in all, and Goku and Vegeta are from Universe Seven, and Champa is the God of Destruction of Universe 6. Upon being stunned by the delicacies of Earth, Champa and Beerus arranges aTournament of Destroyers. If Champa wins, he will swap the Earth of Universe 7 with the extinct Earth of his universe. If Beerus wins, he will obtain the sixSuper Dragon BallsChampa has been secretly collecting throughout the two universes. Team Universe 7, consisting of Goku, Vegeta,Piccolo,Majin Buuand the mysteriousMonakaface off against Team Universe 6,Frost,Hit,Botamo,CabbaandAuta Magetta. Team Universe 7 wins after Goku surrenders in his final match with Hit, stating that he wants to fight him in full power, prompting Hit to intentionally eliminate himself against the shockingly useless Monaka in the final match. As Champa is about to incur his wrath against his own tournament candidates,Zeno, the King of All Gods, appears and says that he has been observing the event, and hopes to set up a similar tournament, with contestants from all twelve universes. Zeno leaves, and Beerus utilizes the Super Dragon Balls to resurrect Universe 6's planet Earth along with its inhabitants."	0.083333333
"After that event, Goku, Vegeta,Goten,Trunksand Monaka are stranded on an outer space adventure, where Goku faces off againstDuplicate Vegeta. Some time later,Future Trunksuses his time machine to escape from his dystopian timeline, whereFuture Bulmaand millions have perished from the mysterious threat known asGoku Black, a mysterious but sinister doppelganger of Goku. Arriving in the present, Trunks reunites with the Z Fighters and meets Beerus and Whis. Goku Black invades their timeline to seek Future Trunks, and ends up fighting with Goku. However, a distortion pulls him back to Future Trunks' timeline. Realizing that Black was using a mystical artifact known as theTime Ring, which only belongs to theSupreme Kais, along with Goku, Beerus & Whis travel toUniverse 10, to apprehendGowasu, who has the Time Ring, and his apprenticeZamasu, who possesses identicalkito Black. Zamasu despises all mortals due to their aggressive nature and their inevitable drive to start conflict and wars, which he believes is something that can never be prevented as long as they aren't destroyed. After he is easily defeated by Goku, Zamasu becomes fanatically obsessed with the Universe 7's imprudent warrior, who he realizes, has divineki, which makes him believe that the power of the mortals are going unchecked."	-0.082843137
