Content	Keywords
1. I'm like typically usually a homebody so I don't travel all that much um but last year is like I wanted to meet a lot more crypto people in person because like I've been like following crypto forever but really the only crypto events I had done over like the past five years was like whenever they did what's it called um consensus I think in New York so like whenever that would happen I would like go back it's like it's right there in New York but I never went to like the actual conference I would just see like who's in the city or whatever but last year I wanted like let me be more active like try and meet people and the avax conference was actually my first one like ever um but actually my first time in Europe too but it was funny because it was my first time being at a crypto event after I had like a ton of followers like out of nowhere 	Analysis
2. over the years and like well right before the Apex conference I had like 100k it's like I walked to the conference and like I'm walking through the events and stuff and everybody like recognized me 	"Technology  
Innovation  
Society"
3. went to break point and then Bitcoin Miami uh and now kind of reside in Miamias a full- time crypto degent uh I I like the sunshine too much so uh I decided to stay but uh no I'm curious like so my co-founder is super good at Twitter. 	Education
it was weird dude because I mean I don't have I didn't have a game plan for like oh let me grow my Twitter like I'm not one of those people who was like trying to growth hack their social media accounts which a lot of people are like really good at and do but I wasn't doing that um for me literally all I was doing was just like tweeting from like my personal Twitter and also my crypto Twitter at the same time so like there was always an overlap there for me most people on crypto Twitter like their Anon accounts and they only tweet about crypto but for me it was like my actual Twitter account that I had in college so I was like I tweeted about all my life stuff and then tweet charts in between and like tweet what I'm looking at um it was like a mix of all that I think people saw I was like this is like a actual person there's not like actual people online in crypto um like that common and then like for the thing that got me a ton of followers.	"Sustainability  
Innovation  
Technology"
I think was just posting charts and like my thoughts on the market because when markets were going crazy like late 2020 2021 it's like everybody was always looking for like oh what's the next trade gonna be like what are people looking at now like where are all the Traders and I was doing a lot of that like posting trades like posting charts like what I think is going to happen next um and that's like how I ended up getting a lot of followers.	"Sustainability  
Innovation  
Technology"
I'm not one of the people who was like super early in crypto like I didn't have Bitcoin like 2013 2014 and then like lost it on a hard drive or something like that I wasn't that one of those guys um but I actually had a class like emerging technology class I went to um Georgia Tech and like I was studying computer science my minor was in business and for like one of my courses um the focus was on emerging Technologies and then one of the classes was on bitcoin uh and my like professor at the time was like really big on it and told us what it was like what the technology underneath of it like why it was important um I was like 26 2016.	Education, Innovation, Technology
7. honestly I like a lot of us and like my friends we like paid attention but none of like oh we're gonna go buy a ton of Bitcoin right now like we need to have a lot of it um so that didn't really happen and then when I graduated the next year um I actually had a mentor at the job I was working at so in software engineering and he was like a big crypto guy so that's like when I really got into crypto um was like on bittrex I think I put all	"Innovation.  
Sustainability.  
Technology."
that trading like Monaco and like what all those all those old like Library coin I don't know if you remember those but like all the all that stuff um and I follow Kobe and all those guys like carplay knocked them like Ledger status um I was just like learning trading like learning what crypto was like why it's important and alts and like that's when I really figured out the cycle of like Bitcoin than all this Bitcoin alts um and just like how like money flows in the market um and that was like invaluable to have like that knowledge like to this next bull market but that's how I got started.	Technology
um well yeah I mean I've always been interested in like finance and like CS it's like in high school my um like my favorite class was physics so I was always like my my counselor told me oh you need to do engineering it's like oh I like picked electrical engineering and then I went to like some electrical engineering like we had some trips like my freshman year like before my freshman year um but I was like I don't want to do this like I don't want to be in a factory like doing all this and then I switched to computer science because I thought it was though.	Economy, Technology, Innovation
9. I've always been interested in like that intersection of like Tech and finance and just like trying to figure out where that like aligns for me like I worked at a bank um previously um and it's always been like interested in that area but yeah it is very different it's like two two different brains kind of people always say computer science people are usually not good Traders so yeah no it's uh I mean when I was I was in the Bay Area and um I mean worked in product and so it was pretty pretty close with a lot of Engineers and I I did not meet one that was good at trading so I think you have a rare skill set but uh yeah.	Innovation
