Rank	Title	Score
1	Sousou no FrierenTV (28 eps)Sep 2023 - Mar 2024883,804 members	9.33
2	Fullmetal Alchemist: BrotherhoodTV (64 eps)Apr 2009 - Jul 20103,409,868 membersManga StoreVolume 1$6.99Preview	9.09
3	Steins;GateTV (24 eps)Apr 2011 - Sep 20112,612,883 members	9.07
4	Gintama°TV (51 eps)Apr 2015 - Mar 2016643,459 members	9.06
5	Shingeki no Kyojin Season 3 Part 2TV (10 eps)Apr 2019 - Jul 20192,339,366 membersManga StoreVolume 1$10.99Preview	9.05
6	Gintama: The FinalMovie (1 eps)Jan 2021 - Jan 2021156,609 members	9.04
7	Gintama'TV (51 eps)Apr 2011 - Mar 2012567,765 members	9.03
8	Hunter x Hunter (2011)TV (148 eps)Oct 2011 - Sep 20142,903,583 members	9.03
9	Ginga Eiyuu DensetsuOVA (110 eps)Jan 1988 - Mar 1997329,660 members	9.02
10	Gintama': EnchousenTV (13 eps)Oct 2012 - Mar 2013331,425 members	9.02
11	Monogatari Series: Off & Monster SeasonONA (? eps)Jul 2024 -64,087 members	9.02
12	Bleach: Sennen Kessen-henTV (13 eps)Oct 2022 - Dec 2022574,869 members	9.01
13	Kaguya-sama wa Kokurasetai: Ultra RomanticTV (13 eps)Apr 2022 - Jun 2022968,492 members	9.0
14	Gintama.TV (12 eps)Jan 2017 - Mar 2017321,035 members	8.98
15	Fruits Basket: The FinalTV (13 eps)Apr 2021 - Jun 2021495,898 membersManga StoreVolume 1$9.99Preview	8.97
16	Clannad: After StoryTV (24 eps)Oct 2008 - Mar 20091,211,627 members	8.93
17	GintamaTV (201 eps)Apr 2006 - Mar 20101,084,360 members	8.93
18	Koe no KatachiMovie (1 eps)Sep 2016 - Sep 20162,387,863 membersManga StoreVolume 1$10.99Preview	8.93
19	3-gatsu no Lion 2nd SeasonTV (22 eps)Oct 2017 - Mar 2018409,155 members	8.91
20	Code Geass: Hangyaku no Lelouch R2TV (25 eps)Apr 2008 - Sep 20081,815,203 members	8.91
21	Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien NareMovie (1 eps)Jul 2013 - Jul 2013244,701 members	8.9
22	Kusuriya no HitorigotoTV (24 eps)Oct 2023 - Mar 2024472,112 members	8.89
23	MonsterTV (74 eps)Apr 2004 - Sep 20051,162,556 members	8.88
24	Gintama.: Shirogane no Tamashii-hen - Kouhan-senTV (14 eps)Jul 2018 - Oct 2018203,820 members	8.88
25	Shingeki no Kyojin: The Final Season - Kanketsu-henTV Special (2 eps)Mar 2023 - Nov 2023693,492 membersManga StoreVolume 1$10.99Preview	8.88
26	Owarimonogatari 2nd SeasonTV Special (7 eps)Aug 2017 - Aug 2017407,407 members	8.87
27	Violet Evergarden MovieMovie (1 eps)Sep 2020 - Sep 2020634,307 members	8.86
28	Kimi no Na wa.Movie (1 eps)Aug 2016 - Aug 20162,800,852 membersManga StoreVolume 1$6.99Preview	8.83
29	Kingdom 3rd SeasonTV (26 eps)Apr 2020 - Oct 2021108,659 members	8.82
30	Vinland Saga Season 2TV (24 eps)Jan 2023 - Jun 2023661,117 membersManga StoreVolume 1$17.99Preview	8.81
