Content	Keywords
Anthony Pompliano | People Directory | CryptoSlate CryptoSlate Alpha Search Top News Podcasts Insights Coins Research Reports Directory More Ad Newsletter X Telegram YouTube Instagram LinkedIn Close Window Overview News Podcasts Coins Directory Insights Reports Glossary Top News + Movers More X Newsletter Google News Telegram LinkedIn About Alpha Partnerships Disclaimers FAQ Media Support Bitcoin Bitcoin leads $305 million outflows as strong US economic data hits crypto 3 hours ago 2 min read Ethereum Ethereum Foundation disburses $8.5M in grants for Q2, backing 98 projects 3 days ago 2 min read Stablecoins USDC crosses $16 trillion in volume, driven by Solana’s market share 3 days ago 2 min read ETF Ethereum ETFs show positive flows after 9-day losing streak 4 days ago 2 min read Regulation Qatar launches digital assets framework to attract global firms 2 hours ago 1 min read Politics Trump’s pro-Bitcoin stance helps secure 12-point lead over Harris, FDU poll finds 3 days ago 2 min read DeFi Threshold Network proposes acquisition of BitGo’s WBTC to address centralization worries 4 days ago 2 min read Web3 Hoskinson hails Cardano’s Chang hard fork as ‘dwarfing’ Bitcoin 7 hours ago 2 min read AI Restoring trust and equity in the digital age through decentralized AI 18 hours ago 4 min read Popular Sectors Cannabis (166%) Zero Knowledge Proofs (8%) BRC-20 (8%) AMM (4%) Cat-Themed (3%) Yield Farming (3%) Transportation (3%) Bitcoin Ecosystem (2%) Staking (2%) DEX (2%) Topics Adoption AI Analysis Banking Bankruptcy BTC Halving CBDCs Censorship Crime Culture DAOs DeFi Derivatives DEX Earnings ETF Exchanges Gaming Governance Hacks Interviews Investments Layer2 Legal Lending Lightning Macro Memecoins Metaverse Mining NFTs Op-Eds Ordinals Partnerships People Politics Privacy Regulation RWA Sports Stablecoins Staking Trading Web3 Crypto News Bitcoin Bitcoin leads $305 million outflows as strong US economic data hits crypto 3 hours ago 2 min read Ethereum Polymarket vs BET: How crypto prediction markets differ in handling betting outcomes 4 days ago 5 min read Tether Tether expands fiat portfolio with new UAE Dirham stablecoin 2 weeks ago 2 min read Cardano Cardano Chang hard fork to redefine decentralized governance from Sept. 1 4 days ago 2 min read XRP Judge ends Ripple, SEC lawsuit with $125 million fine, XRP surges 18% 4 weeks ago 1 min read Solana Binance and Bybit tease possible Solana liquid staking products 4 days ago 2 min read Dogecoin Bitcoin climbs almost 5% to $61.5k as market reacts positively to Mt	bitcoin, defi, web3, crypto, research, digital, crypto
Gox distributions 3 weeks ago 2 min read Polkadot Polkadot sees 33% transaction growth as DOT hits seven-month low 2 months ago 2 min read Avalanche AVAX rebounds 7% as Grayscale and Franklin Templeton join network 2 weeks ago 2 min read Press Releases View All Submit PR › Nectar AI Raises $3.9M to Build Uncensored Immersive AI Companions 3 hours ago Staking Rewards to Host World’s Largest Staking Summit in Bangkok November 8-9th 3 hours ago Categories 📶 Coin Rankings ⛓ Token Rankings 📈 Biggest Gainers 📉 Biggest Losers 📊 Highest Volume 🆕 Recently Added Applications 🏢 CEX 🖥 Computing 💸 DeFi ⬇️ Deflationary 📱DApp 🏗️ DePIN 🕸 DEX 🔢 Derivatives 💶 EUR Stablecoin 🤖 EVM 🗃 Filesharing 🎮 Gaming 🗳 Governance 🆔 Identity 💰 Interest Earning 📀 Layer 1 ⛓️ Layer 2 🖼 NFT 🔮 Oracle 🕶 Privacy 📑 Smart Contracts 💵 Stablecoin ☁️ Storage 🚜 Yield Farming Sectors 📢 Advertising 🤖 AI 🌾 Agriculture 🎨 Art 📂 Business Service 🟠 BRC20 🌲 Cannabis ❤️ Charity 📡 Communication 🤩 Content Creation 👫 Crowdfunding 🔐 Cybersecurity 💳 Debit Cards 🛒 eCommerce 📚 Education ⚡️ Energy 🎥 Entertainment 💱 Exchange ⚽️ Fan Tokens 🎰 Gambling 🏥 Healthcare ☂️ Insurance 🏠 IoT 💼 Jobs 💰 Lending/Borrowing 💧 Liquid Staking 🏪 Marketplace 📰 Media 🐕 Meme 👾 Metaverse 👟 Move-to-Earn 🎮 Play-to-Earn 🔮 Prediction 🏡 Real Estate 🌎 Real World Assets 💬 Social ️⚽️ Sports ✈️ Transportation 🏝 Travel 😱 Virtual Reality 🌐 Web3 🎁 Wrapped Tokens ☠️ Abandoned People People Directory Athletes Bitcoin Maxis Celebrities Cosmos Eco Founders Economists Ethereum Eco Executives Influencers Investors Market Analysts NFT Artists Politicians Programmers Regulators Companies Company Directory Accelerators Advisory Asset Management Brokers Development Education Exchanges Legal Lending Manufacturing Marketing Media NFT Marketplaces Nonprofits Research Retail Software Venture Capital Products Product Directory ASIC Miners Blockchain Explorers Social App Games Hard Wallets Mining Cards Price Tracking Apps Trading Apps Wallets Bitcoin MicroStrategy tops Bitcoin-related equities in 2024 1 hour ago ETFs Ethereum ETFs showed no activity on Friday, a first since US spot crypto ETFs launched 4 hours ago Macro Market underwhelmed by NVIDIA’s Q2 revenue and EPS beats 4 days ago Insight Categories Alpha Bitcoin Crypto Equities DeFi Derivatives ETFs Ethereum Exchanges GBTC Gold Halving Highlight Litecoin Macro Mining Politics Solana Stablecoins Asia ?? China ?? India ?? Japan ?? Korea ?? Singapore ?? Thailand Europe ?? Estonia ?? France ?? Germany ?? Gibraltar ?? Iceland ?? Malta ?? Netherlands ?? Russia ?? Spain ?? Switzerland ?? U.K. Middle East ?? Israel ?? Turkey ?? U.A.E	bitcoin, blockchain, defi, web3, crypto, research, business, company, companies, crypto, capital, price, asset
North America ?? Canada ?? U.S. ? New York ? San Francisco ? Seattle ? Wyoming Other ? Africa ?? Australia ?? Venezuela Close Window Crypto Assets Bitcoin Cardano Chainlink Ethereum Solana USD Coin Tether Polygon TRON People Jameson Lopp Donald Trump Kamala Harris Brian Armstrong Charles Hoskinson Pavel Durov Vitalik Buterin Elon Musk Nayib Bukele Justin Sun Companies F2Pool AntPool Foundry Coinbase Meta Uniswap Labs Binance Bybit 21shares PayPal Circle Tether Limited Visa Cardano Foundation Input Output Telegram Ethereum Foundation Kaiko KuCoin FTX OpenAI Nvidia Microsoft Apple DappRadar Polymarket Fidelity Investments BlackRock Bitwise Grayscale Investments OKX OpenSea X BitGo CryptoSlate Newsletter Your daily dose of must-have crypto news and deep dives	bitcoin, crypto, companies, crypto
Direct to your inbox. Join 85k+ Subscribers Ad Directory ▸ People ▸ Founder Influencer Investor Podcaster Anthony Pompliano Co-Founder & Partner at Morgan Creek Digital Assets X Biography News Video Current Work Previous Work Education Anthony Pompliano Bio Recognized widely as “Pomp”, Anthony Pompliano Jr	work, digital
(born June 15, 1988) stands out as an influential American entrepreneur, Bitcoin advocate, investor, and a proud U.S. Army veteran	bitcoin
Spotlight on Digital Media and Investment Pomp’s digital prowess is showcased through “The Pomp Podcast” (previously known as “Off The Chain”), where he engages with renowned figures from the tech, crypto, and venture capital spaces. With over 50 million downloads, the podcast has featured notable personalities like Chamath Palihapitiya, Cathie Wood, and Mark Cuban	crypto, digital, crypto, capital, podcast, investment, tech
This multimedia venture extends to his YouTube channel, amassing 480,000 subscribers, and the widely-subscribed Pomp Letter, which delves into business, tech, and finance trends. In the investment sphere, Pompliano co-founded Morgan Creek Digital with a mission to offer institutional clients and affluent family offices access to blockchain technology and digital assets	blockchain, business, digital, investment, tech
Academic and Military Journey After completing his studies at Cardinal Gibbons High School, Pompliano pursued a double major in economics and sociology at Bucknell University. His early life saw unexpected turns, including a stint at fast-food joints like Chick-fil-A and Quiznos	military
But a visit to a U.S. Army recruiting office changed his trajectory	
He joined the Army and served from 2006 to 2012, with notable deployment during Operation Iraqi Freedom (2008-2009). His exemplary service led to accolades, including the Warrior Leader Course’s Distinguished Leader Graduate title	
