content,keywords
"Anthony ""Pomp"" Pompliano Jr. (born June 15, 1988), who is best known as Pomp, is an American entrepreneur, investor, Bitcoin Evangelist, and U.S.","Anthony Pompliano, Pomp, Crypto, General"
"Army veteran.He is the host of The Pomp Podcast (formerly Off The Chain) where he's interviewed several venture capital, cryptocurrency, and technology industry leaders including Chamath Palihapitiya, Cathie Wood, Michael Saylor, Mark Cuban, Codie Sanchez, Anthony Scaramucci, and David Sacks. The podcast has been downloaded more than 50 million times.","Anthony Pompliano, Pomp, Crypto, General"
"Pomp's YouTube channel where his own views in addition to interviews has over 480,000 subscribers.   In addition to his YouTube channel and podcast, Pomp also created the Pomp Letter, a regular newsletter business, tech, and finance newsletter with over 230,000 subscribers.","Anthony Pompliano, Pomp, General"
"Pomp is also the Co-founder and Partner of Morgan Creek Digital, a multi-strategy investment firm focused on providing access to blockchain technology and digital assets for institutional clients and wealthy family offices. .","Anthony Pompliano, Pomp, Crypto, General"
"Anthony Pompliano graduated from Cardinal Gibbons High School. After high school, he attended Bucknell University where he received his Bachelor of Arts double majoring in economics and sociology.","Education, Pomp, General"
"Anthony graduated from high school a few months early and join a college where he could play football. However his admission to start college in the spring semester didn't go to plan and he ended up working at Chick-fil-A and Quiznos, both fast food restaurants in the US.",Early life
"During this time, Anthony was not sure as to what he should do and visited a US Army recruiting office and signed as a reserve member. He left college when he was a junior to serve in the US Army.",Early life
Anthony served in the U.S. Army from March 2006 to August 2012.,Military Service
"During his service, Pomp was deployed in support of Operation Iraqi Freedom (2008-2009). He was a Distinguished Leader Graduate of the Warrior Leader Course and a Commandant’s List Graduate of Infantry Leadership School.","Military Service, Pomp"
"In January 2013, Pomp founded Digaforce, a social media intelligence platform for demographic information based on unfiltered, social content. The company was acquired in December 2013 by Strategic Link Partners.","Career, Pomp"
"He then joined Facebook in February 2014 to lead the Growth & Engagement team for Facebook Pages. In August 2015, Pomp was recruited to start and lead the Growth Team at Snapchat.","Career, Pomp"
"Full Tilt Capital, an early-stage venture capital fund, was founded by Pomp and Jason Williams in August 2016. They invested in 22 deals in the first 90 days of the fund.","Career, Pomp, General"
"Full Tilt Capital was acquired by Morgan Creek Capital Management in Q1 2018. In April 2018, Anthony became the Co-founder and Partner of Morgan Creek Digital, a multi-strategy investment firm focused on providing access to blockchain technology and digital assets for institutional clients and wealthy family offices, alongside Mark Yusko and Jason Williams.","Career, Crypto, General"
