content	keywords
They accused him of illegally operating a Cryptocurrency Derivatives Platform and included Anti-Money Laundering Violations. His actual crime, however, is that he refused to allow the CFTC to obtain the account information of all of Bitmex’s customers	Crypto
"As of the latest valuation Mr Hayes is estimated to be worth $3.6 billion and his company has facilitated the purchase of over $1 trillion in cryptocurrencies. In this article I will tell Mr Hayes’ story, and will explain why he is being targeted as a deterrent to crypto titans looking to stand up to regulators and the status quo. 

RELATED POSTS
Weaponising Public-Private Partnerships to Power the Nation
Weatherproofing Zambia’s Power
Africa’s Food System Champions Must Be Celebrated

 

How Humble Beginnings Shaped a Diamond

Arthur was born in 1985 Detroit, America (he is currently 35)"	Crypto
According to a report by Vanity Fair, he is the son of two middle class African Americans who worked for General Motors. Their occupations meant he spent the majority of his youth between Buffalo and Detroit, their fortunes were heavily dependent on the company which was struggling	Arthur Hayes
He was educated after his mother “moved mountains” to help him get a place at the prestigious private school ‘Nichols School’. He excelled in this environment becoming a sports star, top student and building the connection network crucial to his business	General
"His mother said : “Nichols gave him the setting, the stimulation, and at one point, the scholarship to thrive.” In return he now sponsors scholarships for young black and talented children like him so they may also benefit in the way he did. 

He was admitted on a scholarship to the prestigious University of Pennsylvania, Wharton School of Business which produced the most billionaires of any university in the world (18) with Elon Musk, Warren Buffet and Donald Trump included. He was awarded a graduate scheme contract at Deutsche Bank where he worked in the London office before moving to Hong Kong"	Arthur Hayes
Hayes was picked up by Citi Bank where he worked as a market maker for Exchange Traded Funds. Exchange Traded Funds are a security you can purchase made up of a collection of stocks in a specific underlying industry such as FANG, a compilation of high income tech stocks Facebook, Apple, Netflix, Google	Crypto, General
A market maker holds the shares which they anticipate investors will attempt to buy and sell ensuring market liquidity is maintained and trades can be made instantly. This is one of the most complex roles in investment banking and Mr Hayes became a specialist in the mathematics of large financial exchanges 	Crypto, General
"Despite this, around the time of the European recession in 2013 he was let go, struggling to find work he suddenly got an email from a friend about crypto. 

 

Arthur Hayes for Fortune Magazine, 40 under 40 list

 

ADVERTISEMENT

Mr GQ of Crypto

After taking his time and researching the mechanics of crypto currencies he partnered with Oxford Educated Mathematician / Software Developer / Philanthropist Ben Delo and Experienced Programmer / Crypto enthusiast Samuel Reed (Both of his colleagues were also indicted and Reed paid bail of $5 million in November). They looked to build the best peer-to-peer trading platform to compete directly with Coinbase, Binance and Coinmama"	Crypto
They built a complex system using leveraged contracts, quanto futures and perpetual swaps. This allows users to trade Bitcoin as they would be able to trade any other derivative, as he said in 2015 : “I wanted to create a more professional exchange for people to trade Bitcoin, when I started trading in 2013 there was nothing like this”	Crypto, General
Operating as a market maker Bitmex holds Bitcoin on behalf of companies which fear accepting the cryptocurrency on their balance sheet or method of payment exposes them to the risk of price volatility. After building one of the most complicated trading systems globally, investors flooded the Bitmex exchange	Ethereum, Crypto, General
"On its first day they made $50 million in trading and made more than $1 billion in income in the first year of trading (as stated in the indictment). 

“We’re moving from an analog society in terms of money transfer to a digital one, that’s going to be hugely disruptive. And I saw a chance with Bitcoin and crypto to actually create a company that could benefit from this hugely chaotic transformation"	Crypto
