1. Doctor Strange	Challenge accepted, Beyoncé.”
2. Dr. West	No time for theatrics, Strange.”
3. Dr. Strange	I harbor no faith in fairytales of chakras or energy.”
4. Doctor Strange	Stealing the whole book might have been prudent, for the warnings follow the spells.”
5. Doctor Strange	Time for me to disappear.”
6. Dr. Strange	Gratitude for the books, the chilling tale, and the veiled threats.”
7. Doctor Strange	I could have done more.”
8. Doctor Strange	Educate me.”
9. Dr. Strange	Dormammu, negotiations have commenced!”
10. Doctor Strange	A sensible notion, to place warnings before spells.”
11. Doctor Strange	Wong. Just Wong? Like Adele? Or Aristotle. Drake. Bono… Eminem.”
12. Doctor Strange	Your desires fulfilled, eternal existence as part of the One. It won't suit you.”
13. Dr. Strange	I'm defying natural laws. Aware of the consequences.”
14. Doctor Strange	Do you ever laugh? Hand over the book.”
15. Mordo	Think there'll be no reckoning, Strange? No dues to pay? We flouted our laws, just as she did. Consequences are inevitable!”
16. Doctor Strange	Preparation is underway.”
17. Strange Tales Vol 1 118	Where mankind is menaced by magic... there must Doctor Strange go to combat it!
18. Strange Tales Vol 1 120	Whether there are ghosts inthat houseis not for me to say! But, there are far more dangerous things than ghosts... things which most of us do not even dream exist!
19. Strange Tales Vol 1 122	Be silent!Yourcowardly sniveling does not become you! Stand aside while I save your undeserving life!
20. Strange Tales Vol 1 126	The dreadDormammu!! Most powerful of the dwellers in the realms of darkness!! What does he seek of us?
21. Strange Tales Vol 1 147	These features are as a cooling draught to my eyes! Would that I had more than her wraith to gaze upon... would thatCleaherself were by my side!
22. Strange Tales Vol 1 154	But, no matter the danger, no matter the dread challenge that awaits me ... I ... must go forth...
23. Doctor Strange Vol 1 169	Charity Work!You've got to be joking, Dr. Benton!  These are the most talented hands in the annals of medicine!  They don't touch a band-aid for anything butcash!
24. Doctor Strange Vol 1 170	Nightmare!? That phantom fiend who stalks the misty byways of dreams? Could he have come back -- to menace us anew?
25. Doctor Strange Vol 1 171	Whatever befall, the world must never know the full mystic power of Doctor Strange
26. Doctor Strange Vol 1 174	By the dread Vipers of Valtorr!
27. Doctor Strange Vol 1 175	By the Hoary Hosts of Hoggoth!
28. Doctor Strange Vol 1 176	Before me lies a tombstone... newly-carved... icy cold... and carved upon it is... my name!
29. Doctor Strange Vol 1 177	For, many can be the forms --- and many the faces of the man calledDoctor Strange!
30. Doctor Strange Vol 1 181	In a thousand dimensions,Clea... the one constant is the creature called woman!
