Content	Keywords
"Among the top 10 influencers in Singapore," in her own words. But you might have heard of her for something else other than her job at influencing the masses. 	Among, top, 10, influencers, Singapore, words, might, heard, something, else, job, influencing, masses
In January this year, the name "Irene Zhao" entered mainstream consciousness after her photos generated S$7.5 million as NFTs . NFTs aside, the 28-year-old already has no problem earning good money by creating sponsored content to be published on her feed, thanks to her decent follower base. In fact, up until three months ago, Zhao was actively doing so, encouraging her followers to swipe up to Shopee links and such.	January, year, name, Irene, Zhao, entered, mainstream, consciousness, photos, generated, million, NFTs, NFTs, aside, already, problem, earning, good, money, creating, sponsored, content, published, feed, thanks, decent, follower, base, fact, three, months, ago, Zhao, actively, encouraging, followers, swipe, Shopee, links
"Over the six years, I've built good personal relationships with a lot of brands and also have a good network among the Southeast Asia influencer network," the influencer continues by way of introduction. Sitting in her living room and speaking with her, however, one clearly hears the labour in her tone at having to earn a living through sponsored content. Compared to Web3 (we'll get to that in a bit), Zhao feels that one of the "pain points" of a traditional social media platform (e.g. Facebook or Instagramâyes these have become "traditional") is that content creators have to constantly create advertisements for an income.	six, years, built, good, personal, relationships, lot, brands, also, good, network, among, Southeast, Asia, influencer, network, influencer, continues, way, introduction, Sitting, living, room, speaking, however, one, clearly, hears, labour, tone, earn, living, sponsored, content, Compared, Web3, get, bit, Zhao, feels, one, pain, points, traditional, social, media, platform, Facebook, become, traditional, content, creators, constantly, create, advertisements, income
There is no way for them to procure a stable, recurring income through these platforms, Zhao believes. "[...] We just have to keep making posts, get exploited by your fans, and [it's] like [an] exploitation of your fans right, by selling a lot of ads which, shit, I shouldn't have said that." 	way, procure, stable, recurring, income, platforms, Zhao, believes, keep, making, posts, get, exploited, fans, like, exploitation, fans, right, selling, lot, ads, shit, said
After pausing to our laughter, Zhao continues, "Anyway, yes. Selling something that you don't really believe in, right? I mean, so many influencers they post shampoo, like five different brands in a month. Do you think they tried all of them? No, no way they're going to try all the different brands. But because they need to make a living, right?"	pausing, laughter, Zhao, continues, Anyway, yes, Selling, something, really, believe, right, mean, many, influencers, post, shampoo, like, five, different, brands, month, think, tried, way, going, try, different, brands, need, make, living, right
However, it's not that Zhao disagrees with such means of making a living per se. "I just don't feel it's my thing," she emphasises. She adds elsewhere: "Life has been so good without advertisement[s]. Oh my goodness."	However, Zhao, disagrees, means, making, living, per, se, feel, thing, emphasises, adds, elsewhere, Life, good, without, advertisement, Oh, goodness
And despite having a feed that predominantly features self-portraits, the influencer confesses that she doesn't actually enjoy taking photos of herself. "So for the past four or five years, I've been posting every single day. So that's the dedication I put into being an influencer. And I just realised I really don't like to take pictures. I don't enjoy doing it." 	despite, feed, predominantly, features, influencer, confesses, actually, enjoy, taking, photos, past, four, five, years, posting, every, single, day, dedication, put, influencer, realised, really, like, take, pictures, enjoy
Even with a sizeable following (and by correlation, higher rates for sponsored content), being an influencer has always been a side hustle for the 28-year-old. Prior to her NFT venture, Zhao was mostly in traditional finance, a job she's since quit to focus on her new company, So-Col.	Even, sizeable, following, correlation, higher, rates, sponsored, content, influencer, always, side, hustle, Prior, NFT, venture, Zhao, mostly, traditional, finance, job, since, quit, focus, new, company
So here we are. But what's So-Col, and more importantly, what's an NFT? And what's Web3? 	importantly, NFT, Web3
Some technical explanations When we ask Zhao to explain these concepts to us in layman terms, she says, "Shit," before moving on to enlighten us. 	technical, explanations, ask, Zhao, explain, concepts, us, layman, terms, says, Shit, moving, enlighten, us
