Content	Keywords
It normally takes decades for an average Singaporean to save up $1 million. Yet, influencer Irene Zhao managed to rack up $7.5 million in 10 days from selling non-fungible tokens aka NFT memes of herself. ICYMI, NFT are digital ledgers such that you get to own digital content like images and videos through cryptocurrency.	nft, cryptocurrency
At the mere age of 28, Irene Zhao’s success suggests that she’s more than just a pretty face. Read on to find out more about her.	about her
Originally from Nanchang, Jiangxi province, Irene Zhao moved to Singapore when she was a teenager. According to her video uploaded on YouTube in 2020, she mentioned that she had been living in our Little Red Dot for 12 years ‒ meaning this year would be her 14th year.	youtube, singapore, about her, school
Through an interview with Nuyou in 2019 as well, she revealed that her parents and her were able to obtain Singapore permanent residency as her father had previously studied in Singapore.	singapore, about her, school
While Irene Zhao has been living in Singapore for the past 14 years, she spent 8 of those years studying. She graduated from the National University of Singapore in 2017, with a major in Communications and New Media.	singapore, about her, school
Through another post on her Instagram, Irene Zhao was also a graduate of Temasek Junior College. We stan a queen with both beauty and brains.	instagram, about her, school
2020 was no doubt a life-changing year ‒ thanks COVID ‒ but it was a rather fruitful year for Irene Zhao too. Based on a video on YouTube, she listed her car as one of her major purchases in 2020, after purchasing an apartment a year prior in 2019. With her new ride, Irene Zhao mentioned that she loves how convenient it is for her to travel around and explore the city.	youtube
No one deserves to experience sexual harassment and more so when you’re in a professional setting. In this video , Irene Zhao talked about an incident where she went to Beijing for a business trip and later became a victim of sexual harassment.	sexual harassment
According to her, she was drinking with a potential client for more than 5 hours and wanted to call it a day. Yet, instead of letting her go, the potential client persuaded her to stay longer ‒ guilt-tripping her that it was rude to leave first as she held the most junior role in the company.	sexual harassment
The longer she stayed, the more touchy and pushy the potential client became. He even threatened that her efforts for the past hours would go to waste if she didn’t stay till the end. Thankfully, Irene Zhao did the right thing by saying no and leaving the place.	sexual harassment
Everyone has their own interest and hobbies and not all influencers are just about the glitz and glam lifestyle. For Irene Zhao, she is a huge plant lover and revealed that she has about 70 to 80 different species of plants at home. Her plants total up to about 100 pots and she even showed a photo of them in a video .	plants
