Content	Keywords
"Among the top 10 influencers in Singapore," in her own words. But you might have heard of her for something else other than her job at influencing the masses. 	Irene Zhao
In January this year, the name "Irene Zhao" entered mainstream consciousness after her photos generated S$7.5 million as NFTs . NFTs aside, the 28-year-old already has no problem earning good money by creating sponsored content to be published on her feed, thanks to her decent follower base. In fact, up until three months ago, Zhao was actively doing so, encouraging her followers to swipe up to Shopee links and such.	Irene Zhao, Web 3, NFT, Crypto
"Over the six years, I've built good personal relationships with a lot of brands and also have a good network among the Southeast Asia influencer network," the influencer continues by way of introduction. Sitting in her living room and speaking with her, however, one clearly hears the labour in her tone at having to earn a living through sponsored content. Compared to Web3 (we'll get to that in a bit), Zhao feels that one of the "pain points" of a traditional social media platform (e.g. Facebook or Instagramâyes these have become "traditional") is that content creators have to constantly create advertisements for an income.	Web 2, Crypto
There is no way for them to procure a stable, recurring income through these platforms, Zhao believes. "[...] We just have to keep making posts, get exploited by your fans, and [it's] like [an] exploitation of your fans right, by selling a lot of ads which, shit, I shouldn't have said that." 	Irene Zhao
After pausing to our laughter, Zhao continues, "Anyway, yes. Selling something that you don't really believe in, right? I mean, so many influencers they post shampoo, like five different brands in a month. Do you think they tried all of them? No, no way they're going to try all the different brands. But because they need to make a living, right?"	Irene Zhao
However, it's not that Zhao disagrees with such means of making a living per se. "I just don't feel it's my thing," she emphasises. She adds elsewhere: "Life has been so good without advertisement[s]. Oh my goodness."	Irene Zhao
And despite having a feed that predominantly features self-portraits, the influencer confesses that she doesn't actually enjoy taking photos of herself. "So for the past four or five years, I've been posting every single day. So that's the dedication I put into being an influencer. And I just realised I really don't like to take pictures. I don't enjoy doing it." 	Irene Zhao
Even with a sizeable following (and by correlation, higher rates for sponsored content), being an influencer has always been a side hustle for the 28-year-old. Prior to her NFT venture, Zhao was mostly in traditional finance, a job she's since quit to focus on her new company, So-Col.	NFT, So-Col, Crypto
So here we are. But what's So-Col, and more importantly, what's an NFT? And what's Web3?  On Web3, the influencer says, "So Web2, [it's] social media like Instagram, YouTube, you don't really own your content. So for example, if Instagram one day wants to shut down your content, you have nothing left, right? The post doesn't belong to you. While in Web3, everything is [...] backed by blockchain technology, you own your content. Means if someone buy[s] your content as NFTs, they can buy, they can sell, they can trade, then you will make a profit. While nobody can like trade your Instagram post, right? Yeah, that's the main difference between Web2 and Web3."	Web 2, Web 3, NFT, So-Col, Crypto
"So NFT stands for Non-Fungible Tokens. The difference is like for example, think of Sing dollar, there's no difference between 101 S$1 and another S$1, right. But for non-fungible [tokens] there is like a number attached to it. So then S$1 of a single one and the other one is totally different, because [they] have different numbers." 	NFT, Crypto
So here it is, courtesy of a rather reliable source . An NFT is essentially a non-interchangeable unit of data stored on a blockchain (a decentralised network/database), as a digital ledger that can be sold and traded. NFTs are typically associated with digital files such as photos, videos, and audio.	Web 3, NFT, Crypto
And as Zhao also mentioned, each token is uniquely identifiable.  The lead-up to IreneDAO. With the technicalities out of the way, one can hopefully better appreciate how Zhao came to be associated with the S$7.5 million IreneDAO collection, the series of NFTs made from Telegram stickers of herself. In Jan. 2021, the influencer was introduced to the crypto space by "a group of best friends in university." Back then, Zhao was already the chief marketing officer (CMO) of a decentralised finance project, according to her LinkedIn page, and overlapping with that, a commodity broker.	IreneDAO, Web 3, NFT, So-Col, Crypto
She tells us that she's had this idea for NFTs since last year, and also credits it to her So-Col co-founder, Benjamin Tang. At the time of our conversation, Tang is in the U.S., "joining some big events in crypto." Tang and Zhao. 	Web 3, NFT, So-Col, Crypto
However, the two were busy with their respective jobs, and only rekindled the idea in Oct. 2021, when they realised that "no one in this industry is doing this thing." So Tang quit his travel startup (which Covid-19 had gotten its fingers into, anyway), while Zhao left both her CMO and broker jobs. The pivot was not too hard for Zhao, who already had her foot in the door.	Irene Zhao
"Because also I am already an influencer in the crypto space, and I'm also an influencer [on] Instagram. So I think there's a kind of connection between these two. So I think it's [an] easier transition for me to do crypto full-time." And we all know how that turned out, with the whopping success of IreneDAO.	IreneDAO, Web 2, NFT, So-Col, Crypto
Although the NFT collection generated S$7.5million in total, Zhao is quick to clarify that she did not take a single cent from the earnings, despite talk that she was to be apportioned 10 per cent in royalties. "Yeah, they wanted to, but then we changed the committee, the committee of IreneDAO. And then I took back control of the DAO. And I decided not to take any money from it. So not even 10 per cent."	IreneDAO, NFT, So-Col, Crypto
