Content	Keywords
The popular crypto influencer Irene Zhao now has a dedicated DAO called IreneDAO. While some have dismissed the project as a fad, it hints at a possible future where NFTs, DAOs, and social media converge. 	IreneDAO, Crypto, NFT
IreneDAO has become the talk of the crypto space after its first NFT collection soared in value on the secondary market. Irene Zhao launched the DAO to show the promise of her decentralized social media project SO-COL. Other similar NFTs have gained traction in recent months, while DAOs have also taken off. IreneDAO launched Friday and has quickly taken off.  NFT passes to enter the DAO are already trading at 1.25 Ethereum.	IreneDAO, So-Col, Crypto, NFT, Ethereum
It would appear that there's more to DAOs than acquiring valuable NFTs, the U.S  Constitution, or the Blockbuster chain-now they are starting to take the form of fan clubs. A new DAO called IreneDAO is causing a storm in the crypto world after launching Friday. The DAOis dedicated to Irene Zhao, a 28-year-old Instagram model, influencer, and cryptocurrency enthusiast who recently left her job as a commodity broker to pursue a career into the crypto industry. IreneDAO started out as a sticker collection featuring an assortment of photos of Zhao in various poses. Each photo features text overlay, often with popular crypto memes such as “WAGMI” (meaning “We’re All Going to Make It”) and “gm” (“good morning.”) The stickers were then tokenized into 1,107 NFTs, described as an access pass to the DAO’s “Genesis Tribe,” and distributed with a free mint. They’re already trading at 1.25 Ethereum on OpenSea, around $4,125 at press time. 	IreneDAO, Crypto, NFT, Ethereum,
The NFTs have become a hot topic of conversation this weekend as the prices and trading volumes have soared. Galaxy Digital CEO Mike Novogratz confirmed that he’d bought one of the tokens in a Sunday tweet amid the discussions. “Proud member of team @Irenezhao_ I love the hustle.  This young woman has created her own brand in less than a year.  And NFT’s allows her to pull her community together,” he wrote. The post drew criticism from several skeptics, including Do Kwon and Daniele Sestagalli. 	NFT
SO-COL Aims to Transform Social Media. While some have dismissed Zhao's drop as another throwaway NFT collection, IreneDAO seems to have big ambitions	IreneDAO, So-Col, NFT
On Saturday, Zhao posted a tweet storm promising that there would be “lots in store” for the DAO and that it was hoping to become a “grassroots movement” for the creator economy. She added that the DAO’s core values are “Simplicity, Integrity, Meaning, and Purpose,” which is likely a subtle reference to “simp”—Internet slang for a person, usually a male, who show an excessive amount of affection to another person, usually a female, in a bid to get their attention. 	IreneDAO, SIMP
Zhao rose to prominence in crypto in 2021 as the Chief Marketing Officer at Konomi Network and is currently building a decentralized social media platform called SO-COL on a StarkWare-powered Layer 2 solution. In fact, SO-COL appears to be the DAO’s core focus. SO-COL, short for “Social Collectables,” brands itself as a “decentralized version of OnlyFans, Discord, Twitch, and Patreon.” Zhao, who has a fair amount of experience in social media after building a following of 500,000 across Instagram and Twitter, told Crypto Briefing that SO-COL is aiming to be a decentralized alternative to the major social networks of Web2.	IreneDAO, So-Col, Crypto, Ethereum, OpenSea
“IreneDAO started off as a social experiment to prove SO-COL’s core concept of empowering creators by connecting them with their communities via NFTs,” she said. “The ultimate goal is to create hundreds or even thousands of such communities through the SO-COL platform. The communities could be large or small, and each community, together with the creator, will define the utility of that creators’ own “collectables.”” 	IreneDAO, So-Col, Crypto, NFT, Ethereum
In other words, NFTs can be used as membership cards for communities on SO-COL, and IreneDAO is the first project that showcases its potential. SO-COL is powered by StarkWare’s Layer 2 solution StarkEx and leverages the DID protocol. 	IreneDAO, So-Col, NFT
“We are working on the technology for  SO-COL by developing our own decentralised ID (DID) protocol,” Zhao said. “At the moment, we are letting the DAO community to discuss what they want—that is the whole idea. The community and the creator will form a conversation on what value they wish to instill into the “collectables”, in this case, the IreneDAO passes.”	IreneDAO, So-Col
An NFT and DAO Explosion. While most NFTs have taken the form of tokenized JPEGs with little to offer in the way of utility to date, the concept of using them as membership cards is nothing new. Arguably the most successful NFT collection of 2021,Bored Ape Yacht Club, marketed its cartoon ape NFTs as membership passes to an exclusive club	IreneDAO, NFT
Since launching, the club has grown a thriving community, attracted the interest of celebrities like Eminem and Steph Curry, and partnered with the global brands Adidas and Universal. The team behind the collection also says a token and play-to-earn game is on the horizon. Membership passes to Bored Ape Yacht Club were available for under $200 on launch in April and now go for around $274,000 on the secondary market.	NFT
While NFTs were without a doubt the big talking point of 2021 in crypto, DAOs also started to show early promise. DAOs, otherwise known as decentralized autonomous organizations, offer a way for groups to coordinate at scale, where the rules for the are encoded in smart contracts on the blockchain.	IreneDAO, Crypto, NFT
