Content	Keywords
In line with the celebration of the Philippine Web3 Festival, Axie Infinity, the popular blockchain game that popularized play-to-earn (P2E) gaming in the Philippines conducted one of the largest P2E Esports tournaments to date. The grand finals of Axie Open Manila 2022 were held on the last day of the festival, November 18, 2022, at Ayala Circuit Mall in Makati City	blockchain, web3, crypto, axie, gaming, game, community
The whole tournament was attended by a total of 256 players that went head-to-head for the $120,000 USD prize pool—paid in AXS and worth around ₱7 million.	tournament
The outside of the #AOM22 venue shows “AXIE IS BACK” and “7 MILLION PESOS TOTAL CASH PRIZES.” For the finals day, the people behind the tournament were all hands-on to see it through, such as Jeffrey “Jihoz” Zirlin, the co-founder of the game himself, and Nix Eniego, Sky Mavis Philippines Lead; together with the representatives of the convenors of the fest,  Luis Buenaventura, the country manager of Yield Guild Games (YGG) and Carlo Mendiola, BlockchainSpace’s Growth Lead. Advertisement “The energy here in the Philippines is amazing	axie, games, guild, game, people
We all know that Axie and the Philippines are inexplicably linked, we grew up together. The energy from the community is super strong, it’s been a hard time for the crypto (and) web3 space recently but, being honest, being here really allows us to push forward and gain that strength that we need,” Jihoz started when asked about his thoughts about the event	web3, crypto, axie, thoughts, community
Jeff Zirlin of Sky Mavis facing different outlets for an interview, including BitPinas. He also revealed that it is not his first time in the Philippines but actually his fourth	Jeff Zirlin
According to him, back in the “early days of Axie” he would only speak in front of 10 to 20 people. “Now (we have) thousands of really strong supporters, community members, cheering us on	axie, community, people, days
It’s amazing, it’s a totally different feeling and it gives me a lot of hope for the future,” he stated. Meanwhile, with the Philippines having the most Axie Infinity players in the world, Jihoz also explained that there was a supposed Philippine-based Axie Con–like the one held in Barcelona last September– but Sky Mavis “weren’t sure about the COVID restrictions in Manila” at the time	axie
“But of course, future big events like that in the Philippines will definitely make a lot of sense,” he told BitPinas. On the other hand, Buenaventura also expressed his pride and gratitude to all the people behind the fest as well as to those that participated and joined	people
“I am incredibly proud of the team… we’ve been waiting for this moment for 3, 4 years because we always knew that the Philippines would be the center of blockchain gaming, metaverse, and web3. It’s only a matter of time before the rest of the world will see that as well,” the country manager proclaimed	blockchain, web3, gaming
To him, “there is nothing like seeing your competition face-to-face” citing that it was always the Filipinos that traveled somewhere else to compete. “Now, we are the ones where the people are coming into	people
We are now the ones where the world is going to visit, challenge, and compete against. And that is just a great feeling,” he added	challenge
And when BitPinas asked Buenaventura about the best market cycle to conduct a P2E tournament, the country manager answered: “I don’t think the market cycle really matters as much. I think what matters is if the game is ready, if the community is ready, if the industry is ready	market, game, community
I think it does not matter so much what the prices are. It’s great nga that we can continue to enjoy events like this even (though) crypto prices are not great as they were before.” The tournament ended with Spamandrice taking home the grand prize of 1.5 million pesos, and his guildmate, Zaratustra, was in second place	crypto
The third placer of the tournament is Martinsuuuu the lone Filipino left competing since the quarterfinals who also celebrated his birthday a day prior to the grand finals match. (Read more: Event Recap – Axie Open Manila 2022) CHERISH THE MOMENT! The Axie Infinity Team and PH Web3 Fest Team awarding the AOM22 Champion, SpamAndRice	web3, axie
To end the event, Jihoz took the stage and gave a message to the Axie Infinity community: “I want to shout out the Philippines, the entire week has been so emotional to me. It really feels surreal to see how strong our community is here	axie, community
You see the numbers, you see the headlines, you watch the documentary, but everyone in the Axie Community needs to know how intense the hype is here. These have been hard times for crypto, hard times for web3, hard times for Axie but coming here gives us the strength to understand what we’re building for, who we’re building for, where we’re going; we need to keep pushing.” EMOTIONAL	web3, crypto, axie, community
Jihoz delivers his message to the community as the tournament comes to conclusion. This week has been so emotional to me	community
We need to keep pushing! @Jihoz_Axie on his closing remarks for the @AxieInfinity Open Manila 2022. Just last month, Axie Infinity hosted the Axie Infinity Cabanatuan Community Meetup—the Axie Capital of the Philippines—where 256 players from 84 guilds faced each other for a 3030 Axie Infinity Shards (AXS) prize pool (approximately ₱1.9 million)	axie, community
Axie Infinity Co-Founder: PH is the Beating Heart of Web3 Gaming as Pixels Goes Parabolic | BitPinas Skip to content Home News Articles About Contact BitPinas Crypto News Philippines Facebook Twitter Telegram Linkedin AI Crypto Event Feature Fintech Industry Jobs Learn Op-Ed Policy Newsletter Videos PR Newswire Search BitPinas Crypto News Philippines Toggle Menu Advertisement Axie Infinity Co-Founder: PH is the Beating Heart of Web3 Gaming as Pixels Goes Parabolic By Nathaniel Cajuday 2023-12-05 2023-12-05 Jeffrey Zirlin, also known as Jihoz, presented during the YGG Web3 Games Summit in front of the web3 gaming community in the country. He expressed his appreciation to the community, saying that the Philippines is the beating heart of web3 gaming	web3, crypto, axie, games, gaming, community
Zirlin also brought in the updates on the popular web3 game, including the return of the rewards system in the Classic version. Photos from BitPinas, YGG, and Jeff Zirlin In the recently concluded YGG Web3 Games Summit, a web3 gaming-focused event with a two-day conference, a three-day expo, a two-day tournament, a 24-hour hackathon, and dozens of both pre-event activities and side events, Jeffrey Zirlin, also known as Jihoz, the co-founder of Sky Mavis, talked in front of the Filipino community and discussed the things that are happening in the Ronin Network, the game’s own blockchain, and what has to with these updates in the Philippines’ gaming ecosystem	blockchain, web3, games, gaming, network, game, community
“It feels really special. Thank you to Gabby for inviting me, getting this really special group of people together	people
Being here really feels like being in my hometown. There’s so much love for the Axie and Ronin Nation,” the co-founder said	axie, nation
Axie Infinity Launches Play-to-Airdrop With Weekly 10K AXS Rewards 2018 Called: Updates from Axie Infinity, Sparkpoint, and Ownly List of Ronin Validators | Airdrops and Rewards Soon? The Ronin Expansion: The Entry of Pixels Pixels is a free-to-play blockchain game that lets its players create their own virtual world and earn crypto as a reward for being digital farmers. In September, Sky Mavis confirmed that the game has migrated to Ronin Network to benefit from lower gas fees, go-to-market and advisory support from the developer’s team members	blockchain, crypto, axie, market, network, game, soon
“All right. So let’s talk about what’s happening with Ronin what’s happening with Axie and also how that has to do? What that has to do with the Philippines, and I promise that I come bearing gifts I come with leaks.” Advertisement According to Zirlin, the game saw a 2,500% increase in daily active users since its migration to the Ronin Network	axie, network, game
The game also witnessed a total of 417,000 $RON, the blockchain’s native token, spendings from its players for VIP passes. “That’s over $350,000	blockchain, token, game
So it shows that there’s real demand here and the Pixels team is actually cash flow positive. Sustainability is so important especially during a hard time like this that we’re coming out of,” the game developer explained	game
But what the co-founder highlighted was that “there are so many Filipinos playing this game” and they are not bots: “In the last day, 82,000 Filipinos have played Pixels, I’m was looking directly at the Google Analytics data. So for all of the doubters, these are real people, these are Filipinos.” This is where he emphasized that as the hype in web3 gaming again rises, the Philippines still emerges as the center of enthusiasm.” “So Ronin is back	web3, gaming, game, people
The Philippines is back. And it’s clear that as we enter a new cycle, the Philippines will remain the beating heart of web3 gaming,” stressed Zirlin	web3, gaming
Part Evolution During his presentation, Zirlin emphasized that what their team is aiming for is to create an interconnected experience and system of progression between the games that involve Axies, the in-game NFT characters. “And a core foundation of Axie is the ability to upgrade your Axie, to evolve your Axie	nft, axies, axie, games, game, ability
When I think about my childhood, I think about my relationship with Charmander. Actually, the thing that got me so addicted to Pokemon was I really needed to level up my Charmander to Charmeleon to Charizard,” he added	level
“That’s actually what got me into it—that same experience, that same emotion is really needed in the Axie universe. It’s actually to be honest	axie
The thing that we didn’t have last cycle. That was the hole in the ship that prevented us from reaching the grand line.” Moreover, the new update is also part of boosting the comeback of Axie Infinity: Classic, the version of the game that boomed during its hype in the country, as part evolution involves AXP and this token can now be earned by playing the Classic version	token, axie, game
AXPs, or Axie Experience Points, are off-chain tokens that are used to upgrade an Axie’s body part. It can be gained by playing Axie-related games in the Ronin ecosystem	axie, games
Axie Infinity: CLASSIC is Back In August 2022, SLP rewards were removed in ‌Classic gameplay in light of the game’s gameplay transition to Axie Infinity: Origins. The Classic version became inactive since then, because no more rewards can be earned	axie, game
But now, Sky Mavis has introduced the integration of AXP and AXS into it, Zirlin called it the “Michael Jordan” moment. “You know when Michael Jordan went to go play baseball for a little bit and then he came back (to basketball)? Well today, classic has one thing to say	classic
Classic is back. So basically it isn’t just that classic is back	classic
We’ve actually also added a bit of an expansion pack to the game,” the co-founder explained. AXS is the governance token of the game, which can be earned by playing The Cursed Coliseum gameplay	token, game
The first players that will have 12 wins on this game mode will earn AXS tokens. The Classic version also has a regular Grand Tournament, which gives away Mystic Axies as reward	axies, game
“Classic is the game that Filipinos, we really know, that you guys all love it. So this is due to the voice of the community where we saw back in July that there were still around 10,000 people playing classic without any rewards and then so we decided to start up a little bit	game, community, people
We had a small tournament that actually attracted over 40,000 monthly active users. So it really is the voice of the community the data that you produced and the feedback that has inspired this momentum for classic,” Zirlin emphasized	community
Official Merchandise Earlier this month, Sky Mavis tapped Grab Rewards as its official merchandise partner. The merch store, which will also be accessible through adds in e-wallet app Grab in Southeast Asia, features figurines, plushies, and apparel	wallet, wallet
Axie Infinity Co-Founder: PH is the Beating Heart of Web3 Gaming as Pixels Goes Parabolic. Jeffrey Zirlin, also known as Jihoz, presented during the YGG Web3 Games Summit in front of the web3 gaming community in the country. He expressed his appreciation to the community, saying that the Philippines is the beating heart of web3 gaming	web3, crypto, axie, games, gaming, community
Zirlin also brought in the updates on the popular web3 game, including the return of the rewards system in the Classic version. Photos from BitPinas, YGG, and Jeff Zirlin In the recently concluded YGG Web3 Games Summit, a web3 gaming-focused event with a two-day conference, a three-day expo, a two-day tournament, a 24-hour hackathon, and dozens of both pre-event activities and side events, Jeffrey Zirlin, also known as Jihoz, the co-founder of Sky Mavis, talked in front of the Filipino community and discussed the things that are happening in the Ronin Network, the game’s own blockchain, and what has to with these updates in the Philippines’ gaming ecosystem	blockchain, web3, games, gaming, network, game, community
“It feels really special. Thank you to Gabby for inviting me, getting this really special group of people together	people
Being here really feels like being in my hometown. There’s so much love for the Axie and Ronin Nation,” the co-founder said	axie, nation
Axie Infinity Launches Play-to-Airdrop With Weekly 10K AXS Rewards 2018 Called: Updates from Axie Infinity, Sparkpoint, and Ownly List of Ronin Validators | Airdrops and Rewards Soon? The Ronin Expansion: The Entry of Pixels Pixels is a free-to-play blockchain game that lets its players create their own virtual world and earn crypto as a reward for being digital farmers. In September, Sky Mavis confirmed that the game has migrated to Ronin Network to benefit from lower gas fees, go-to-market and advisory support from the developer’s team members	blockchain, crypto, axie, market, network, game, soon
“All right. So let’s talk about what’s happening with Ronin what’s happening with Axie and also how that has to do? What that has to do with the Philippines, and I promise that I come bearing gifts I come with leaks.” Advertisement According to Zirlin, the game saw a 2,500% increase in daily active users since its migration to the Ronin Network	axie, network, game
The game also witnessed a total of 417,000 $RON, the blockchain’s native token, spendings from its players for VIP passes. “That’s over $350,000	blockchain, token, game
So it shows that there’s real demand here and the Pixels team is actually cash flow positive. Sustainability is so important especially during a hard time like this that we’re coming out of,” the game developer explained	game
But what the co-founder highlighted was that “there are so many Filipinos playing this game” and they are not bots: “In the last day, 82,000 Filipinos have played Pixels, I’m was looking directly at the Google Analytics data. So for all of the doubters, these are real people, these are Filipinos.” This is where he emphasized that as the hype in web3 gaming again rises, the Philippines still emerges as the center of enthusiasm.” “So Ronin is back	web3, gaming, game, people
The Philippines is back. And it’s clear that as we enter a new cycle, the Philippines will remain the beating heart of web3 gaming,” stressed Zirlin	web3, gaming
