Content	Keywords
Axie Infinity - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contact us Donate Contribute Help Learn to edit Community portal Recent changes Upload file Search Search Appearance Create account Log in Personal tools Create account Log in Pages for logged out editors learn more Contributions Talk Contents move to sidebar hide (Top) 1 Gameplay 2 Development and history 3 As an alternative source of income in low-income countries 4 Limitations and associated risks Toggle Limitations and associated risks subsection 4.1 High barrier to entry limiting availability 4.2 Sustainability of the project 4.3 Potential negative psychological effects 5 See also 6 References 7 Further reading Toggle the table of contents Axie Infinity 12 languages العربية Català Deutsch Español فارسی Français Italiano 日本語 Português Русский Türkçe Tiếng Việt Edit links Article Talk English Read Edit View history Tools Tools move to sidebar hide Actions Read Edit View history General What links here Related changes Upload file Special pages Permanent link Page information Cite this page Get shortened URL Download QR code Wikidata item Print/export Download as PDF Printable version In other projects Appearance move to sidebar hide From Wikipedia, the free encyclopedia 2018 non-fungible token online game 2018 video game Axie Infinity Developer(s) Sky Mavis Engine Unity Platform(s) Windows Android macOS iOS Release March 2018 Genre(s) NFT Online game Strategy game Mode(s) Single player , PvP Axie Infinity is a blockchain game developed by Vietnamese studio Sky Mavis, [ 1 ] known for its in-game economy [ 2 ] which uses Ethereum -based cryptocurrencies. [ 3 ] It has been called 'a pyramid scheme that relies on cheap labor from countries like the Philippines to fuel its growth.' [ 4 ] Players collect and mint non-fungible tokens (NFTs) which represent axolotl -inspired digital pets known as Axies	cryptocurrencies, players, token, nft, printable, economy
[ 5 ] These creatures can be bred and battled with each other within the game. [ 6 ] Sky Mavis charges a 4.25% fee to players when they trade Axies on its marketplace	players
[ 5 ] [ 7 ] Axie Infinity is built on the Ronin Network, an Ethereum-linked sidechain developed by Sky Mavis. The game's official cryptocurrency is "Axie Infinity Shards/Token" or AXS for short	token
[ 8 ] The game's secondary token, SLP, crashed in February 2022 amid a wider NFT and cryptocurrency crash , losing over 99% of its peak value. [ 9 ] In March 2022, hackers compromised the Ronin Network, stealing approximately US$620 million worth of cryptocurrency from the project	token, nft
[ 10 ] [ 11 ] [ 12 ] [ 13 ] The hackers were linked to Lazarus Group , funded by North Korea. [ 14 ] Gameplay [ edit ] According to the company's website, Axie Infinity is a competitive game with an " idle battle " system derived from games like Final Fantasy Tactics and Idle Heroes 	
[ 15 ] The game's setting is filled with creatures called Axies that players can collect as pets. Players aim to battle, breed, collect, raise, and build kingdoms for their Axies	players
The game has an in-game economy where players can buy, sell, and trade resources they earn in the game. [ 16 ] Sky Mavis marketed the game with a play-to-earn model (also called "pay-to-play-to-earn" model) where after participants pay the starting costs, they can earn an Ethereum -based in-game cryptocurrency by playing	players, economy
Axie Infinity allows users to cash-out their tokens every fourteen days. [ citation needed ] This model has been described as a form of gambling , [ 17 ] [ 18 ] and one with an unstable market that is overly reliant on the inflow of new players	players
[ 2 ] In February 2020, Sky Mavis estimated that a new player would need to spend around US$400 to meet this starting requirement. [ 1 ] By August 2020, the cheapest Axie cost approximately US$307, although reports as of March 2022 suggest the floor price of an Axie has dipped to around US$20	
[ 19 ] As of June 2021, some people in the Philippines had begun to treat the game as their main source of income, [ 20 ] although earning rates from playing Axie Infinity fell below the national minimum wage by September 2021. The Philippine Department of Finance also clarified that income from playing Axie Infinity is taxable, and suggested that the SEC and BSP may classify its cryptocurrency as a currency or a security 	
