Content	Keywords
Illuvium: Will Kieran Warwick’s Dream Survive the Hype? Pedestrian.TV Lifehacker Gizmodo Kotaku Vice Openair Cinemas Refinery29 JDB (JDB) $0.022 -0.61% JDB 24H : -0.61% Volume : $16,130.12 Marketcap : $2,158,357,388,758,142.00 FibSwap DEX (FIBO) $0.0085 9.90% FIBSWAP DEX 24H : 9.90% Volume : $1,413.48 Marketcap : $585,403,344,542,465.00 Bitcoin (BTC) $64,308.00 0.960% BITCOIN 24H : 0.960% Volume : $25,319,032,149.00 Marketcap : $1,270,966,239,873.00 Ethereum (ETH) $2,623.49 0.080% ETHEREUM 24H : 0.080% Volume : $14,601,682,853.00 Marketcap : $315,795,298,744.00 VNST Stablecoin (VNST) $0.000040 0.670% VNST STABLECOIN 24H : 0.670% Volume : $1,118,632,703.00 Marketcap : $293,379,003,332.00 Artificial Intelligence Future Finance Technology Artificial Intelligence Future Finance Technology About Us Get In Touch Privacy Policy Terms of Service Advertise Follow Us ⛌ Search Advertisement Future Finance Investors Are Betting Big On An Aussie Web3 Millionaire. Will His Game Survive the Hype? By Tom Mitchelhill March 3, 2023 8 min read Disclaimer This article is for general information purposes only and isn’t intended to be financial product advice	finance, game, financial
You should always obtain your own independent advice before making any financial decisions. The Chainsaw and its contributors aren’t liable for any decisions based on this content	financial
Share Follow Illuvium: Australian entrepreneur Kieran Warwick knows crypto better than most. In 2014, he took AU$80,000 — a deposit he’d saved up to buy a home — and invested it, with leverage, into the cryptocurrency Ethereum (ETH) when it was trading for just eight dollars	crypto
When the price of ETH fell to six dollars Kieran lost everything, leaving what some might call a ‘sour taste’ in his mouth. The ache was only made worse when his brother Kain, achieved stunning success in the industry, with the launch of his own crypto finance firm Synthetix	crypto, finance, success
Kain’s crypto firm Synthetix went on to be valued at a whopping US$5 billion, making him one of Australia’s richest people. After seeing Kieran watch on from the sidelines for years, Kain urged him to get back in the game and gave him AU$100,000 to trade on the crypto market	crypto, game, market
After making a number of incredibly successful investments beginning in 2018, Kieran managed to transform this sum into hundreds of millions of dollars. One of the most successful investments Kieran made was by investing in the token of the wildly popular ‘play-to-earn’ (P2E) NFT game Axie Infinity, which surged from a value of US$10 million to US$3 billion in less than two years	token, game, value
Money But making “sh*t tonnes” of money wasn’t enough for Kieran, and witnessing the rapid success of Axie Infinity — as well as its eventual and equally rapid decline — made him realise there was a major gap in the market for a game that uses NFTs as a core piece of its infrastructure. “Axie Infinity was a light bulb moment for me	game, market, success
I went ‘shit, if you could actually build a really good game then you’d be positioned really well in this market’” Kieran explained. “Because let’s be honest, Axie was never really a good game.” Advertisement In 2021 Axie Infinity was the poster child of a new breed of games that used NFTs and cryptocurrencies to pay players for playing a game, all while allowing the most premium in-game assets to be bought and sold by on secondary markets	game, market, players, games
Screenshot of Axie Infinity’s homepage. Players earned crypto by breeding and battling little critters called ‘Axies’	crypto, breeding, players
By minting them as NFTs, they could sell the best versions of these creatures to each other using the game’s native cryptocurrencies. When Axie Infinity reached its peak in mid-2021, it seemed as though P2E games had it made	game, creatures, creatures, games
Everyone was earning money and were supposedly having a lot of fun while doing so. However, like many other P2E games, Axie Infinity witnessed a drastic and sudden decline after players — who’d made small fortunes in the early days of the game — cashing out their hard-earned crypto faster than newcomers were joining up to play	crypto, game, players, fun, games
