category	details
Identity	Name is Sherlock Holmes
Identity	Birth date is 1854. He was described as a sixty-year-old man in 1914.
Identity	Profession is Consulting Detective.
Identity	Nationality is British.
Identity	His ancestors were country squires.
Identity	His grandmother was the sister of Vernet, the French artist.
Identity	His brother, named Mycroft, was 7 years his senior.
Identity	Lived on Montague Street, London, before his meeting with Watson.
Identity	Lived at 221b Baker Street, London, when practising as a consulting detective.
Identity	Lived in Sussex, while retired.
Identity	He was granted The Legion of Honour in 1894 for the arrest of Huret, the Boulevard assassin in  Paris.
Physical appearance	He measured 6 feet or over 6 feet but he was so lean that he seemed even taller.
Physical appearance	He had a tall, gaunt figure made even gaunter and taller by his long grey traveling cloak and close-fitting cloth cap.
Physical appearance	He had a tall, austere figure, a tall lean figure.
Physical appearance	He was a tall, thin man, gaunt man of sixty.
Physical appearance	He had a thin, eager face.
Physical appearance	He had a long, thin back—with thin hands
Physical appearance	He had a thin, sinewy arm—a long, thin, nervous arm
Physical appearance	He had a long, thin form.
Physical appearance	He had long, thin fingers—a long, thin fore-finger
Physical appearance	He had thin knees.
Physical appearance	He had a long, thin nose.
Physical appearance	His face was narrow.
Physical appearance	He had a dolichocephalic skull with well-marked supra-orbital development.
Physical appearance	His hair was black.
Physical appearance	He had heavy tufted brows, heavy, dark brows, and bushy eyebrows.
Physical appearance	He had a thin hawk-like nose.
Physical appearance	He had thin and firm lips.
Physical appearance	He had steady grey eyes. particularly sharp and piercing, with a far-away, introspective look when he was exerting his full powers
Physical appearance	He had a quick, high, somewhat strident voice.
His clothing	He had that cat-like love of personal cleanliness. He affected a certain quiet primness of dress.
His clothing	He usually wear a tweed suit or frock-coat, and occasionally an ulster.
His clothing	In private, he wear a mouse-coloured dressing gown, a purple one, and sometimes a blue one.
His clothing	In the country, he had a tweed suit and cloth cap, he looked like any other tourist, or a long grey traveling cloak and close-fitting cloth cap, or his ear-flapped traveling cap.
Smoking habits	Holmes smoked cigars, cigarettes, and of course, pipes. Three specific pipes are mentioned.
Smoking habits	Most often, he smoked his old black pipe, the old and oily black clay pipe when in a meditative mood.
Smoking habits	He smoked occasionally an old briar-root pipe.
Smoking habits	He smoked a cherrywood in a disputatious mood.
Smoking habits	He had a litter of pipes over the mantelpiece of his bedroom.
Smoking habits	Note that contrary to the image widespread today, Sherlock Holmes never smoked a calabash pipe during his adventures.
Physical condition	Sherlock Holmes was a man who seldom took exercise for exercise's sake. Few men were capable of greater muscular effort, and he was undoubtedly one of the finest boxers of his weight, but he looked upon aimless bodily exertion as a waste of energy, and he seldom bestirred himself save where there was some professional object to be served. Then he was absolutely untiring and indefatigable He was a fair runner.
Physical condition	He was exceptionally strong in his fingers with a grasp of iron. He possessed a strength for which one would hardly credit him.
Physical condition	He was always in training. He complained that idleness exhausted him completely. However, he could spend days in bed and was a late riser as a rule. But he could be up all night and could be up very early for a case, during which he was vigorous and untiring, going for days, or even a week without rest. His diet, spare at the best of times, was abandoned altogether when he was working, for he had conceived that starving himself increased the supply of blood to his mind. He said: "I am a brain, Watson. The rest of me is a mere appendix.
Physical condition	He had an abnormally acute set of senses.
Physical condition	He had frugal tastes, and his habits were simple to the verge of austerity.
Physical condition	The state of his health was not a matter in which he himself took the faintest interest. He had a wiry, iron constitution. But sometimes, nothing was sufficient to rouse him from his nervous prostration.
Physical condition	While retired, he was somewhat crippled by occasional attacks of rheumatism but took up swimming.
Physical condition	He knew little or nothing of amateur sport or of the turf, and he claimed to have few athletic tastes himself.
Physical condition	He practised several sports: Baritsu, Boxing & Fencing, Singlestick, Fishing, Golf, and Swimming.
His personality	Watson described him as an automaton, a calculating machine with something positively inhuman in him. Sometimes with a face of that Red Indian composure which had made so many regard him as a machine rather than a man. He loved above all things precision and concentration of thought.
