film_title	plot_or_case_details
1994 Baker Street: Sherlock Holmes Returns	Sherlock Holmes is awakened in modern times from suspended animation as a result of an earthquake. He is aided in his recovery by Dr. Amy Winslow, who lives in Baker Street in San Francisco. Holmes pits his wits against the descendants of the Moriarty family, led by James Moriarty Booth. He is also aided by a new group of Baker Street Irregulars led by Zapper.
The Adventure of Sherlock Holmes' Smarter Brother	In 1891, Foreign Secretary Lord Redcliff haphazardly receives a document from Queen Victoria; the document is stolen from his safe later that night. Sherlock Holmes and Dr. Watson discuss the case. Deciding to lie low for a while, Holmes informs Watson that he will delegate cases to his younger brother, Sigerson, who has toiled in his brother's shadow without credit for decades. At a railway station, Holmes passes the message to Scotland Yard records clerk Orville Sacker. Arriving at Sigerson's flat, Sacker finds him practicing his fencing and swordplay. Sigerson expresses bitterness and resentment over being unable to replicate Sherlock's success, mocking his big brother as "Sheer Luck" Holmes. Arriving next is a woman claiming to be Bessie Bellwood, but who is really Jenny Hill, a music hall singer who believes she is being blackmailed by opera singer Eduardo Gambetti over a lewd letter she sent him. Sigerson attends one of Hill's performances and twice saves her from attempts on her life. The next day, he seduces her in her dressing room. She reveals that she stole the document from Redcliff's safe and claims that Redcliff is her father. When Sigerson meets with Redcliff, he learns that Hill is in fact Redcliff's fiancée. The trail leads to Gambetti, who has made a deal with criminal mastermind Professor Moriarty to sell him the document, which foreign powers have offered £50,000 to acquire. Moriarty pays, but the distrustful Gambetti proposes that he hand over the document during the debut of his opera so that he has time to deposit the money. Sigerson and Sacker infiltrate the opera, which soon devolves into chaos. Sigerson and Moriarty confront each other backstage and are drawn into a sword fight that corners Sigerson on an outside ledge. Under threat of death, Sigerson agrees to hand over what Moriarty thinks is the document before the chimes of Big Ben cause Moriarty to lose balance and plunge into the water below. Moriarty opens the document to reveal a game of tic-tac-toe: Sigerson had positioned the real document for Sherlock to recover. The final scene is of Sigerson Holmes running through a park to attend Jenny and Redcliff's wedding. Sitting on a bench in the park, Jenny tells Sigerson that she has called off the wedding, as Sherlock and Watson watch in disguise. Sigerson and Jenny joyfully reconcile and dance.
Doctor Watson and the Darkwater Hall Mystery	While Sherlock Holmes is away on holiday, Watson journeys to Darkwater Hall in the Cotswolds to protect a woman's husband from harm.
Dressed to Kill (1946 film)	John Davidson, a convicted thief in Dartmoor prison, embeds code revealing the hidden location of extremely valuable stolen Bank of England currency printing plates in the melody notes of three music boxes that he crafts to be sold at auction. Each box plays a subtly different version of an Australian tune, "The Swagman". At the auction, each is purchased by a different buyer. Dr. Watson's friend, Julian Emery, a music box collector, pays him and Sherlock Holmes a visit and tells them of an attempted burglary in his house the previous night of a plain cheap box (similar to the one he bought at auction) while leaving other much more valuable ones. Holmes and Watson ask to see and are shown Emery's collection. After they leave, Emery welcomes a female acquaintance, Hilda Courtney, who tries unsuccessfully to buy the auctioned box. When Emery declines, a male friend of Courtney's who has sneaked in murders Emery. At this murder, Holmes becomes even more curious and learns to whom else the boxes were auctioned off. Holmes and Watson arrive at the house of the person who bought the second one, just as a strange maid (Courtney in disguise) is on her way "to go shopping".  They later realize it was not a maid: she locked a child in a closet in order to steal the box from the child. Holmes is able to buy the third box, and upon examination discovers that it's variant musical notes' numbers correlate to letters of the alphabet. Scotland Yard fills him in on the stolen bank plates to which the music boxes connect, but all three are needed to decipher the message. Back at home, their flat is found ransacked, and a cigarette with a distinct type of tobacco is the sole clue. Holmes tracks down the woman who bought the tobacco, Courtney. While confronting her, Holmes is ambushed by her accomplices, handcuffed, taken to a warehouse, hung by a rafter, and left with poison gas filling the room. While Holmes is narrowly escaping death, Courtney visits the flat and steals the box from Watson. Holmes manages to make it back in one piece and, while conversing with him, Watson offhandedly mentions a quote from Dr. Samuel Johnson. Thinking about this quote, Holmes makes a connection as to where the stolen plates may be hidden. Having stolen all the boxes and deciphered their message, Courtney and the gang join a tour group at Dr. Samuel Johnson's house, now a museum, where they slip away and find the plates hidden within a bookshelf. Courtney is stealing the plates when Holmes ambushes the group. Scotland Yard officers arrest them, and the plates are returned to the bank.
Enola Holmes (film)	Enola Holmes is the youngest sibling in the Holmes family. She is extremely intelligent, observant, and insightful, defying the social norms for women of the time. Her mother Eudoria has taught her everything from chess to jujitsu and encouraged her to be strong-willed and independent. On her sixteenth birthday, Enola wakes to find that her mother has disappeared, leaving behind only some gifts. A week later, she meets her brothers, Mycroft and Sherlock. Sherlock finds her intelligent, whereas Mycroft finds her troublesome and as her legal guardian, intends to send her away to a finishing school run by Miss Harrison. The flower cards left by her mother reveal secret messages and lead to hidden money, which Enola uses to escape disguised as a boy. On the train, she finds the young Viscount Tewkesbury hidden in a travel bag. She thinks he is a nincompoop, but warns him that a man in a brown bowler hat (named Linthorn) is on the train searching for him. Linthorn finds and tries to kill Tewkesbury, who escapes with Enola by jumping off the train. Tewkesbury forages for edible plants and fungi, and the two return to London and part ways. Disguised as a proper Victorian lady, Enola continues to trace Eudoria, leaving cryptic messages in the newspaper's personal advertisements. Enola discovers pamphlets and a safehouse containing explosives and learns that Eudoria is part of a radical group of suffragettes. She is attacked by Linthorn, who interrogates her about Tewkesbury. She fights back, ignites the explosives in the safehouse and escapes. Enola decides to find Tewkesbury again, to save him from Linthorn. She visits the Tewkesbury estate to learn more, meeting Tewkesbury's grandmother the Dowager. Meanwhile, Mycroft has Inspector Lestrade of Scotland Yard search for Enola. Enola finds Tewkesbury selling flowers in Covent Garden and warns him of Linthorn. Taking him to her lodgings, she is caught by Lestrade and imprisoned in Miss Harrison's finishing school by Mycroft. Sherlock visits her and admits he is impressed by her detective work. Tewkesbury sneaks into the school, and they escape together, stealing Miss Harrison's motor car. Enola decides they must go to Basilwether Hall and face Tewkesbury's uncle, who she has deduced was trying to kill him. The estate is seemingly deserted, but Linthorn ambushes them. Enola trips him using jujitsu, causing a fatal head injury. Tewkesbury's grandmother is revealed as Linthorn's contractor. As a staunch traditionalist, she did not want him to take his father's place in the House of Lords and vote for the Reform Bill. She shoots Tewkesbury, but he survives, having hidden a plate of armor under his clothes. Sherlock arrives at Scotland Yard, where Lestrade informs him of Enola's actions as they plan to have the Dowager arrested. Enola shares a tearful goodbye with Tewkesbury. She eavesdrops on a meeting between Sherlock and Mycroft, where Sherlock suggests becoming her guardian. Upon returning to her lodgings, Enola finds Eudoria waiting there. She explains why she had to leave, and why she must leave again, but she is impressed by what Enola has become. Enola has found her purpose—she is a detective and a finder of lost souls.
Enola Holmes 2	Enola opens her own detective agency but struggles to get clients, unlike her famous detective brother Sherlock Holmes. A factory girl named Bessie asks Enola to help find her missing sister Sarah Chapman. Bessie takes Enola to the match factory, which is experiencing a deadly typhus epidemic, and encounters Mae, who worked alongside the sisters. Enola follows Mae to the Paragon Theatre where Mae and Sarah work as dancers. She finds a letter written to Sarah by a secret lover. On her way home, Enola comes across a drunken Sherlock and brings him home to 221B Baker Street. He is struggling to solve his latest case involving the blackmail of government officials, but he cannot trace the owner of the accounts where the money is sent. Enola deduces that the poem is a code leading to a home in Whitechapel. There, she finds Mae dying of a stab wound. Enola discovers a piece of sheet music in Mae's dress but is interrupted by Superintendent Grail who accuses her of murder. Enola escapes to Sherlock's flat and deduces that Sarah's lover will be at a ball hosted by the Lyon family. There, she meets Cicely, a friendly noblewoman, and Mira Troy, secretary to Treasury Minister Lord Charles McIntyre. Enola meets Tewkesbury, who teaches her how to dance so she can find an opportunity to get closer to William Lyon, the son of the match factory's owner and Sarah's lover. Meanwhile, Sherlock pieces together a message in the blackmail scheme from its mastermind Moriarty. Enola is arrested by Grail before she can speak with William, but Sherlock enlists their mother Eudoria and her fellow radical suffragette Edith to break Enola out of prison. While visiting Tewkesbury, Enola realizes that Sarah is Cicely and that she, Mae, and William had discovered that white phosphorus, not typhus, was killing the workers and were planning to expose it. Tewkesbury and Enola confess their love for each other. They head to the factory, where they meet Sherlock and find William dead with a corner of the sheet music. The three deduce Lord McIntyre had struck a deal with William's father to use cheap phosphorus to increase profit. The group heads to the Paragon after realizing the full sheet music was a map of the theatre. There, Sarah confirms Enola's findings and admits she and William needed Tewkesbury's help to expose McIntyre. Grail and several policemen arrive holding Bessie hostage, but she breaks free and a fight ensues, resulting in Enola defeating Grail and causing him to fall to his death. Lord McIntyre arrives with Lestrade. He burns the evidence of the dealings and attempts to have Sarah arrested, but Sherlock and Enola deduce that Mira Troy is Moriarty and is responsible for the blackmail and murder. Mira is taken into custody. Sarah, Bessie, and Enola inform the factory's match girls of the events and convince them to strike, McIntyre is arrested with Tewkesbury's help, and Moriarty escapes police custody. Enola sets up a new office at Edith's shop. Tewkesbury has begun courting Enola in earnest and he invites Enola to a ball.[3]
The Great Mouse Detective	In 1897 London, a young mouse named Olivia Flaversham celebrates her birthday with her single father, toymaker Mr. Flaversham. However, a bat with a crippled wing and a peg leg arrives unexpectedly and kidnaps Flaversham. Olivia leaves to find Basil of Baker Street, the famous Great Mouse Detective, but gets lost. David Q. Dawson, a retired army surgeon mouse newly returned from Afghanistan, meets Olivia and escorts her to Basil's residence. Being busy already, Basil initially dismisses them. Olivia then mentions the bat that abducted her father, and Basil realizes that Olivia saw Fidget, the assistant of Professor Ratigan, the criminal mastermind whom Basil was working to catch. It is then revealed that Ratigan kidnapped Flaversham to create a clockwork robot replica of the Queen of the Mice, so that Ratigan can usurp her place as "Supreme Ruler of all Mousedom". Flaversham initially refuses to participate in the scheme but capitulates when Ratigan threatens to harm Olivia. Meanwhile, Fidget appears in Basil's window, then suddenly disappears. Basil, Dawson and Olivia take Toby, Sherlock Holmes' pet Basset Hound, to trail Fidget's scent. They trace Fidget to a human-sized toyshop; while searching the area, Dawson finds Fidget's checklist, and Basil discovers Fidget has been stealing clockwork mechanisms and toy soldiers' uniforms. Fidget ambushes and kidnaps Olivia before Basil and Dawson can stop him. Basil does some chemical tests to the checklist, discovering it came from the "Rat Trap", a tavern near the junction of the sewer and the Thames. Basil and Dawson disguise themselves as sailors and head to the tavern; they spot Fidget there, and follow him to Ratigan's headquarters, only to be ambushed by Ratigan and his henchmen. Ratigan has the pair tied to a spring-loaded mousetrap connected to a Rube Goldberg machine of various killing devices. Ratigan then sets out for Buckingham Palace, where his henchmen hijack the royal guards' roles and kidnap the Mouse Queen. Inspired by a remark Dawson made, Basil deduces the trap's weakness, freeing himself, Dawson and Olivia. At Buckingham Palace, Ratigan forces Flaversham to operate the toy Queen, while the real one is taken to be fed to Felicia, Ratigan's pet cat. The toy Queen declares Ratigan the ruler of all Mousedom, and he announces his dictatorial plans for his new "subjects". After Basil, Dawson, and Olivia save Flaversham and the real Queen, they restrain Fidget and Ratigan's other henchmen, while Toby chases Felicia until she jumps over a wall, inadvertently into a pack of Royal Guard Dogs. Basil seizes control of the mechanical queen, making it denounce Ratigan as a fraud while breaking it into pieces. Realizing Ratigan's treason, the enraged crowd attacks, but Ratigan escapes on his dirigible with Fidget, holding Olivia hostage. Basil, Dawson, and Flaversham create an airship from a matchbox, balloons, and a Union Jack, and set off in pursuit. Ratigan tosses Fidget overboard to lighten the load; however, Basil jumps onto the dirigible to confront Ratigan, causing it to crash straight into Big Ben's clock face. Inside the clocktower, Basil restrains Ratigan, rescues Olivia, and safely delivers her to Flaversham. Ratigan breaks free and attacks Basil; however, when the clock strikes 10:00, the vibrations cause Ratigan to fall to his death. He attempts to take Basil with him, but Basil grabs a part of Ratigan's dirigible and saves himself. Back at Baker Street, the group recounts their adventures. The Flavershams depart for home, and Dawson reluctantly resolves to leave as well. A new client arrives, and Basil introduces Dawson to her as his friend and investigative partner, prompting Dawson to remain and assist in Basil's future cases.
Holmes & Watson	Sherlock Holmes is viewed as a legendary detective. Both he and his partner, Dr. John Watson, are to view the trial of Professor James Moriarty, but are attacked by a swarm of bees, temporarily waylaid by a package sent by Moriarty and brought to them by their housekeeper, Mrs. Hudson. At the trial, Holmes reveals the man accused of Moriarty's crimes is an imposter named Jacob Musgrave, who is incapable of committing the murders due to tremors in his hand caused by excessive masturbation. Despite attempts by Inspector Lestrade to convince Holmes that his deduction is incorrect, Holmes is convinced that Moriarty is currently traveling to the United States while letting Musgrave take the fall for his crimes. After the trial, the duo travel to Buckingham Palace to attend a surprise birthday party for Holmes, where they discover a corpse inside of a birthday cake along with a message from Moriarty, stating that Queen Victoria will die in 4 days' time. During the autopsy, Holmes and Watson meet Dr. Grace Hart and the feral Millie. Watson and Holmes become enamored with Grace and Millie, respectively. By the end of the autopsy, Watson declares that the corpse's cause of death is indeterminable, while Holmes believes that the person was poisoned. Furthermore, he believes that the poison came from Gustav Klinger. The pair eventually locate Klinger, who is indeed in league with Moriarty. Before Klinger can reveal anything, he is murdered. Holmes decides that he must seek help from his brother Mycroft, who tells him that the murderer is someone close to him. Holmes mistakenly believes Watson to be the murderer and has him arrested. He comes to regret this decision, causing his emotions to return. Holmes goes to Watson's cell, only to find it empty save for a plate filled with red velvet cake crumbs. Deducing that his housekeeper made the cake and that Watson left the crumbs to send him a message, he tracks Watson and Mrs. Hudson, who is revealed to be Moriarty's daughter, to the Titanic, where the murder of the Queen is to take place. After apologizing to and freeing Watson, they rush to the main room where they discover a bomb, which Watson throws out of a window. The bomb lands in Mrs. Hudson's boat, killing her and her accomplices. The pair are congratulated by the Queen, only for Holmes to defer the credit to Watson. The pair reconnect with Grace and Millie, the latter of whom reveals that her feral personality was an act to manipulate men. Each pair shares a kiss before Grace and Millie head out on the Titanic. After returning home, Holmes proudly displays a plaque on their building showing that Watson is a co-detective, finally giving him the recognition he desires (though it is still smaller than Holmes' own plaque). Later, Holmes and Watson confront Moriarty in a bar in the United States.
The Hound of the Baskervilles (1921 film)	According to a local legend, Sir Henry Baskerville is slated to become the next in his family line to fall victim to a ghostly hound.
The Hound of the Baskervilles (1932 film)	According to the rumor, a beastly howl is heard in the moors of Dartmoor, and a hellhound is killing every member of the Baskerville family.[4] Sherlock Holmes and his assistant Dr. Watson go there to investigate the case, only to discover that behind this mystery there is a local farmer who is using a phosphorescent dog to kill the heirs in order to obtain the inheritance.[5]
