category	details
Knowledge and skills	Little is known of Holmes' early life or his family background, save that his grandmother was a sister of the French artist Vernet. An estimate of Holmes's age in "His Last Bow" places his year of birth at 1854; the story, set in August 1914, describes him as 60 years of age. It is also known that in his younger years, Holmes attended at least one of the country's leading universities ... though it cannot be ascertained whether he was an alumnus of Oxford, Cambridge, or both. Sherlock has an older brother, Mycroft, whom the younger Holmes considered to be more intellectually gifted than himself. Mycroft spent much of his life in Her Majesty's Secret Service. In "The Adventure of the Greek Interpreter", Sherlock refers to Mycroft as being "[s]even years [his] senior". If Sherlock date of birth of 1854 is correct, that places Mycroft's date of birth as 1847.
Knowledge and skills	At the age of 20, Holmes was to find his life's calling. For it was in that year that he began his illustrious career as the world's first consulting detective, taking his first case...which his future friend and companion Dr John Watson would come to title, in his chronicles of Holmes' endeavours, "The Adventure of the Gloria Scott". His study of science at university having informed his already keen mind and powers of observation, Holmes employed a process of deductive reasoning in his work, with great success.
Knowledge and skills	In early 1881 he is presented as an independent student of chemistry with a variety of very curious side-interests, almost all of which turn out to be single-mindedly bent towards making him superior at solving crimes. In another early story, "The Adventure of the Gloria Scott", more background on what caused Holmes to become a detective is presented: a college friend's father complimented him very highly on his deductive skills.
Knowledge and skills	In "The Adventure of the Greek Interpreter", Holmes states that his grandmother was the sister of the French painter "Vernet" (presumably Horace Vernet).
Knowledge and skills	In A Study in Scarlet, Dr Watson makes an evaluation of Sherlock's skills: (1) Knowledge of Literature – Nil; (2) Knowledge of Astronomy – Nil; (3) Knowledge of Politics – Feeble; (4) Knowledge of Botany – Variable. Well up in belladonna, opium, and poisons generally. Knows nothing of practical gardening; (5) Knowledge of Geology – Practical, but limited. Tells at a glance different soils from each other. After walks, has shown me splashes upon his trousers, and told me by their colour and consistence in what part of London he had received them; (6) Knowledge of Chemistry – Profound; (7) Knowledge of Anatomy – Accurate, but unsystematic; (8) Knowledge of Sensationalism – Immense. He appears to know every detail of every horror perpetrated in the century; (9) Plays the violin well; (10) Is an expert singlestick player, boxer, and swordsman; and (11) Has a good practical knowledge of British law.
Knowledge and skills	Later stories make clear, however, that the above list is misleading, and that Holmes, who has just met Watson, is pulling Watson's leg. Two examples: despite Holmes' supposed ignorance of politics, in "A Scandal in Bohemia" he immediately recognises the true identity of the supposed Count von Kramm as Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Feldstein and hereditary King of Bohemia. Regarding non-sensational literature, his speech is replete with references to the Bible, Shakespeare, and even Goethe. This is somewhat inconsistent with his scolding Watson for telling him about how the Earth revolved around the Sun, instead of the other way around, given that Holmes tried to avoid having his memory cluttered with information that is of no use to him in detective work.
Knowledge and skills	Holmes is also a competent cryptanalyst. He relates to Watson, "I am fairly familiar with all forms of secret writing, and am myself the author of a trifling monograph upon the subject, in which I analyse one hundred and sixty separate ciphers". One such scheme solved in "The Adventure of the Dancing Men", uses a series of stick figures.
Knowledge and skills	In A Study in Scarlet, Conan Doyle presents a comparison between his sleuth and two earlier, more established fictional detectives: Edgar Allan Poe's C. Auguste Dupin and Emile Gaboriau's Monsieur Lecoq. The former had first appeared in The Murders in the Rue Morgue, first published in 1841, and the latter in L'Affaire Lerouge (The Lerouge Affair) in 1866. The brief discussion between Watson and Holmes about the two characters begins with a comment by Watson: "You remind me of Edgar Allen Poe's Dupin. I had no idea that such individuals did exist outside of stories." Sherlock Holmes rose and lit his pipe. "No doubt you think that you are complimenting me in comparing me to Dupin," he observed. "Now, in my opinion, Dupin was a very inferior fellow. That trick of his of breaking in on his friends' thoughts with an apropos remark after a quarter of an hour's silence is really very showy and superficial. He had some analytical genius, no doubt; but he was by no means such a phenomenon as Poe appeared to imagine." "Have you read Gaboriau's works?" I asked. "Does Lecoq come up to your idea of a detective?" Sherlock Holmes sniffed sardonically. "Lecoq was a miserable bungler," he said, in an angry voice; "he had only one thing to recommend him, and that was his energy. That book made me positively ill. The question was how to identify an unknown prisoner. I could have done it in twenty-four hours. Lecoq took six months or so. It might be made a textbook for detectives to teach them what to avoid."
Knowledge and skills	Holmes seems convinced that he is superior to both of them, while Watson expresses his admiration of the two characters. It has been suggested that this was a way for Conan Doyle to pay some respect to characters by writers who had influenced him, while insisting that his is an improvement over them. However, Holmes pulls a very Dupin-esque mind reading trick on Watson in "The Adventure of the Cardboard Box" (repeated word for word in the story, "The Adventure of the Resident Patient", when "The Cardboard Box" was removed from the Memoirs), and, to a lesser extent, in "The Adventure of the Dancing Men".
Knowledge and skills	Holmes has shown himself a master of disguise, appearing as: (1) A seaman (The Sign of Four); (2) An unemployed groom and a Nonconformist clergyman (A Scandal in Bohemia); (3) An opium addict ("The Man with the Twisted Lip"); (4) A common loafer ("The Adventure of the Beryl Coronet"); (5) An old Italian priest ("The Adventure of the Final Problem"); (6) A bookseller ("The Adventure of the Empty House"); (7) A plumber ("The Adventure of Charles Augustus Milverton"); (8) A dying man ("The Adventure of the Dying Detective"); (9) An old sporting man ("The Adventure of the Mazarin Stone"); and (10) An old woman ("The Adventure of the Mazarin Stone").
Knowledge and skills	So great a master of disguise is Holmes, in fact, that in "A Scandal in Bohemia", Watson is compelled to remark of him, "The stage lost a fine actor, even as science lost an acute reasoner, when he became a specialist in crime."
Knowledge and skills	Although Holmes looks upon himself as a disembodied brain, there are times when he can become very emotional in a righteous cause, as when he disapproves of the banker Holder as to how the man treated his son, in "The Adventure of the Beryl Coronet". At the end of "The Adventure of the Six Napoleons", he is touched by Lestrade's deep gratitude for assisting Scotland Yard. Watson says, "he was more nearly moved by the softer human emotions than I had ever seen him". And, in "The Adventure of the Three Garridebs", Watson is wounded by a forger he and Holmes are pursuing. While the bullet wound proved to be "quite superficial", Watson is moved by Holmes' reaction: "It was worth a wound – it was worth many wounds – to know the depth of loyalty and love which lay behind that cold mask. The clear, hard eyes were dimmed for a moment, and the firm lips were shaking. For the one and only time I caught a glimpse of a great heart as well as of a great brain. All my years of humble but single-minded service culminated in that moment of revelation."
Knowledge and skills	Holmes' techniques could be viewed greatly by modern readers (but not so in the Victorian age because of the social order so precise and well-organized): (1) The use of footprints, shoe prints, horseshoe prints, carriage wheel tracks, and bicycle tracks to identify actions at a crime scene (A Study in Scarlet, "The Adventure of the Silver Blaze", "The Adventure of the Priory School"); (2) The use of tobacco ashes and cigarette butts to identify criminals ("The Adventure of the Resident Patient", The Hound of the Baskervilles); (3) The use of typewritten letters to expose a fraud ("A Case of Identity"); (4) The deduction of murder from two pieces of human remains ("The Adventure of the Cardboard Box"); (5) The observation of gunpowder residue on victim ("The Adventure of the Reigate Puzzle"); (6) The observation of use of bullets from murder weapon from two crime scenes ("The Adventure of the Empty House"); and (7) The use of a fingerprint to free an innocent man ("The Adventure of the Norwood Builder") (an especially subtle case, as Holmes recognises the fingerprint as a forgery).
