Content		Keywords
hello hello yes oh thank you so much for being.		
here at B Asia uh I'm so happy to have you again um and um can you kind of.		
introduce well briefly about yourself I mean just briefly but also um why you.		
decided to come to B Asia uh again yeah so I'm Victor Buon I helped.		
you staking a coin base okay hi.		staking
Victor okay yeah I mean I look awfully similar to this falic guy who you know.		
does etherum you look too you know that yeah.		
yeah okay no need for introductions um but yeah I mean like really I'm really.		
curious honestly because it's a very small compact conference and I'm just.		
you know it's Soul it's kind of far I always just surprised like that you.		
decided to come here and you know trust me and just want C like really from your.		
own words like what made you decide to come to S yeah I mean I I've always you.		
know really appreciated or you know ethereum in crypto community in Korean.		ethereum, crypto
and I think you know yeah events here have been great like every year that.		
I've come um they a lot of interesting projects a lot of I you know also just.		
the most interesting people from all all around the world managed to come every.		
time um so no just uh just it's it's always been you know.		
uniformally just a very nice place to be you know so I'm happy to be back yeah I.		
think you're very Asia friendly as well and uh you you know you speak Chinese.		
you you've had a very like good attachment to the Asian community and.		
you know um and honestly they think the events in Asia have been a little bit.		
commercial like in general um there's increasingly more builder focused events.		
and Technical events but still I think there's a lot of improvement to be made.		
um just wondering like what would because you've been to so many events.		
Now by now um just really curious from my perspective like what do you picture.		
as like a very ideal event meaning like in terms of like purum of like education.		
of web 3 of ethereum just like what would be an ideal event for you.		ethereum
experience as well well I mean an ideal event for for.		
me me personally is not the same thing as like an ideal events that I think.		
every type of event should be right because the the places where I have you.		
know the most fun are definitely the places where you get to like actually go.		
deep and like you know really gets to properly understand what some of the.		
latest ZK Protocols are and you know it's not just people showing projects.		
but you get to go deeper and like actually learn things like uh my.		
favorite sessions are sessions that have a relatively smaller audience where the.		
default Norm is that interrupting is good like I think what you need that in.		
order to learn right because uh if you're just watching something.		
especially if it's deep math or whatever and then there's like some con concept.		
that you don't understand then if it just keeps going then like you know.		
you're basically I know like off the real Road Track for the rest of the um.		
lecture but if you can just like stop and ask then you know chances are.		
there's like 10 people who are just as confused as you are so yeah know I think.		
things like that are good and think it would be interesting to experiment more.		
with like that kind of educational style um yeah I think so things like that for.		
techn technology are always good um then things that help like bring together.		
different parts of the ecosystem and especially when you know there's just.		
important things that we needs to coordinate on um I find that's always.		
been super valuable um that also actually like actually using the.		
technology is one thing I I think is cool like uh I mean over last year like.		
we one of the many things that happened was I know zass was basically born there.		
right and then which is basically this zero knowledge identity system right and.		
then at death connect we actually used Zupas for ticketing and a bunch of.		
events are doing that in uh 2024 right so you know I think you know your ticket.		
should be a pope I you know you should use z pass to prove it you know payments.		
should always be possible on chain just like really try to oh and then um you.		
know the sliding should be on farter like that is true yeah really like.		
really try to like go deep and like try to create that kind of like mini village.		
where you know the crypto is actually happening yeah.		crypto
so what other aside from that I think it's just.		
you know giving some like really interesting and cool projects a chance.		
to show themselves mhm no awesome I mean I really Tred to integrate the paint and.		
everything but like as you probably know the general public is very you know.		
unfamiliar with it and like how to get millions of questions right so there's.		
that hurdle as as an organizer as well but thank you for the feedback and I.		
think you need both right yeah yeah maybe even both options exactly you know.		
maybe some future you even like organize you know like both are all three in.		
parallel that's a good idea I'll definitely um take that into account I'm.		
speak speaking of zalu um you have were in that experiment for some time and you.		
know you kind of like support did that um throughout the way um wondering like.		
where that initiative come comes from and also like what you kind of learn.		
from the experiment yeah yeah yeah I me I think where it came.		
from is that there's been a lot of this excitement around creating you know not.		
even just in the crypto space like broadly right creating new cities.		crypto
creating new countries creating new societies and what we in like on online.		
or offline and a lot of people look going keep talking about this and I.		
wanted to like help push the conversation into um you know from just.		
Theory to practice and like basically make a real life demonstration.		
of like what happens if you try to actually do this thing and you know give.		
people a reference point of like this is what one actually executed in reality.		
would look like yeah and so you know it was intentionally know brought together.		
people from some different communities a bunch from ethereum a bunch of longevity.		ethereum
some from just general decentralized governance research and some other.		decentralized
spaces and uh stayed together for two months um and uh like basically tried to.		
like actually be a pop-up City and so now this year there's a bunch of.		
independent groups that have been uh doing that and a quadratic funding round.		
recently finished um so yeah there's a bunch happening there's likely going to.		
be a bunch in Thailand later this year one in Taiwan as well City too right I.		
yes city as well yeah um think one one in Georgia too Georgia that's great yeah.		
yeah the country not the state oh yes no I would love to hope that it's a country.		
yes yeah so you know looking forward to.		
these because I think well one of the things that I want to see out of crypto.		crypto
is that I want to see us like be an ecosystem and like be a tech stack more.		
right like instead of everyone building like these separate small incremental.		
moves away from the you know a centralized world that still keep us.		
mostly in a centralized world like basically imagine you're creating an.		
independent text stack that is independent from you know Google and.		
Twitter and Facebook and credit cards to at least the same extent that like say.		
the Chinese Tex stack is right and uh like make make like full stack.		
replacement for that but but decentralized right yeah and I think for.		decentralized
things like that to work like having both users and developers across a whole.		
bunch of different spaces come together is uh going to be really valuable.		
because you get to actually see how things interact with each other um also.		
like people working on one piece are not going to be experts in the other piece.		
and so you actually get some uh like feedback from people who are um you know.		
in informed enough to be able to give the high quality feedback but still like.		
Noob enough that they don't just like brush past things that that are actually.		
super hard for most people and then you know make some progress and go from.		
there so I I would love to see know ethereum doing community doing more of.		ethereum
those things yeah amazing I mean I really like the longterm experiments.		
where like I realistically could not like implement it but I would love to do.		
it someday yeah know I think the long aspect is importance right it's like a.		
week is a break from your life two months is your life and it's a just a.		
very different mindset that you r out of it yes and you can really it becomes a.		
routine and the novelty wears off and the things that are only bearable.		
because you know you're going away in four days.		
time you know start to become unbearable you have to actually fix them and like.		
you know you actually start to get to see like is this a thing that people.		
actually would be willing to be part of for a long term that's a really good.		
refreshing I really would love to try it uh in Thailand perhaps um this upcoming.		
Thailand death con right yeah um speaking of foraster right I mean you.		
made this switch uh well you were definitely um more on foraster these.		
days um and what made your kind of transition from ex.		
foraster yeah I think uh I mean I've been enthusiastic about decentralized.		decentralized
social media for a long time like remember back in Paris about two years.		
ago I made a big you know presentation of crypto Beyond finance and that was.		crypto
the big one of the big categories I was highlighting y um and uh and I've since.		
then actually I've tried like all of the different Al twitters right so I've also.		
I've done lens I definitely still I'm post on lens regularly as well I've done.		
you know the non-crypto ones especially blue sky and Mastadon right remember.		crypto
that yeah the thing that I've.		
uh noticed is that forecaster does a good job of being both crypto and like.		crypto
actually easy enough to use um like there's basic hurdles that I think.		
far gets P it like even lens it doesn't get ped like for example with lens like.		
when every time I you know re access the page like I have to reign in right and.		
with braster you stay signed in yeah that's what I realized too very yeah.		
yeah like it feels I you know very web to like right and I mean for people who.		
have never used crypto before you know they can they also you know offer the.		crypto
thing where know you can provide a phone number and then sign in and then they.		
like set up the FID for you right and so at the beginning it feels web to and.		
then over time it uh like you know if he wants to start becoming more of a web.		
three user you can right like uh what one of my big pain points for Central.		
wise stuff right is that okay so the argument that people sometimes say right.		
is that well decentralized stuff is only really useful for criminals and if.		decentralized
you're not a criminal then like if you have a problem you can talk to Google.		
and Google solves all your problems so centralized stuff is better right exact.		
so here's the problem it's not actually true um so for example um I let's say I.		
have a Gmail account literally right now know and I used this Gmail account for a.		
long time but then I switched to another one and so I stopped using it did not.		
access it for years recently I decided to go like try to access it again I yet.		
still perfectly remembered my password I remembered my email but Google has.		
started requiring a phone number confirmation to sign in and uh on that.		
account I had an old phone number registered that I no longer have I I got.		
the same process yes and then I went on the internet and um I checked you know.		
like is there some like support recovery procedure there isn't no and so I am.		
screwed right basically now let's see what.		
happens with my warcast account so with my warcast account you know I can.		
actually set the recovery to like actually be myosis safe right and that's.		
a four of six multisig and you know yeah like I know who the key holders are and.		
like it's it's it's a distributed thing and I trust it right and like there's no.		
single Corporation that's going to be able to rug me but at the same time like.		
actually you know if I do lose my devices like that is the multi is still.		
a thing that I can recover right and so that's like one of the examples where I.		
think the crypto integration actually really helps and another place where the.		crypto
crypto integration helps is that forecaster does actually have like.		crypto
functional alternate clients right um so the big pitch of this all the whole time.		
right has basically been that you know it's like content view separation right.		
like you have one place where all the content is stored and the content is.		
like a thing that's not owned by anyone and then instead of different people.		
creating different social media universes different people are basically.		
selling different glasses to the same content right and so if you're not.		
satisfied with know warp guest you can go start your own um and you don't have.		
to start your network effect from scratch right like you can already I you.		
know if you're integrated with the forecaster chain see all the existing.		
posts and you can post your own post to the same chain and I mean there are.		
already alternate clients like Flink is the big one right that already do this I.		
mean Flink is fun right because it makes the same content that warcast makes look.		
like a Twitter look like a Reddit right so you know you have the same you know.		
the chain which is just like a data dump and there's lots of stuff there and you.		
know you can wear like the purple glasses and it looks like a Twitter and.		
then you wear you know the green glasses or forget whatever the color Flink has.		
and it looks like a Reddit right so like it's actually functional right and uh so.		
I think it's a good example of something that like actually uses the chain in and.		
actually really gets benefits from being the chain but at the same time it has uh.		
these uh you know this pretty high standard of convenience and user.		
experience and the thing that you notice is that people are on it for a long time.		
for reasons that don't have to do with money Mak right like before this um you.		
know people would you know you know the influencers they'd often not even.		
instead of saying decentralize Social they'd say social F right because the.		
only thing they can imagine is that the only way to improve crypto with or the.		crypto
only way to improve social with crypto is by making it into a Ponzi exactly.		crypto
point and everything yes and but and so you know we we got to see how right.		
there all these platforms it's like oh you can invest in people and everyone.		
has their own meme coin the friend Tech right yes well there's one actually it's.		
like not even the F the first one there were like five of them before right and.		
that's true that's uh yeah it's like yeah you know it's like in theory.		
you get the pitch but then in practice it's um like there the number of uh like.		
I think the people that are attracted to the gambling and the people that are.		
attracted to interesting content are like almost disjoint yes and on forecast.		
like people are there including people that don't even care a single bit about.		
making money and that's uh you I think that's beautiful right so I think it's.		
uh you know to me it you know far like before this I would always say ens as.		
like my the single biggest non-financial crypto app that's actually gotten.		crypto
somewhere and I think farcaster is the second biggest MH and well now I think.		
ens itself it needs to like more properly layer to a itself to not like.		
overcharge on fees but you know that's another discussion yeah yeah that's.		
making progress yeah no absolutely I thank you for that I think a lot of.		
people Elon was was asking on X remember see that why X and stuff like that yeah.		
yeah I hav't left right like I still yeah I read it regular I read it like.		
every day I you know still actually I think I made a a post today and.		
yesterday um so it's um yeah but forecaster is definitely still a very.		
know high quality thing and I think you know as as an ecosystem you know we.		
should we should be kind of supporting our own so we can actually start making.		
those know cross links no I really applaud that you're supporting these.		
projects that are really trying to you know make a good use case right um yeah.		
I mean speaking of which so like we just saw the article uh that just popped out.		
out of her Q&A session and your keynote um I think people were curious about.		
your thoughts on metaverse right um they wanted kind of you to elaborate.		
more um and it would be nice to kind of like kind of clarify a little bit more.		
on that because it was a very short answer right um I guess what you.		
envision as like ideal metaverse or so called and why previous attempts have.		
failed in the past for example yeah I think the metaverse is one of those.		
things where the the vision and the vibe are like 10 steps ahead of the concrete.		
use case right I like maybe to some extent it has that in common with Krypto.		
um but uh it's I mean it it has that in common.		
with a with a lot of these modern things right but I mean I guess these days you.		
know AI is like powering ahead with the direct utility but you know I think this.		
this decade crypto is definitely catching up more but the thing that.		crypto
people clearly want right is like people like the idea of a virtual world uh.		
people you know like the idea of this you like thing where everyone in the.		
world can be connected um and you know where you put put on your glasses and.		
kind of thing yeah and like even if you know you're a you know like $170 a month.		
worker in northeastern Nepal like if you just yet gifted this like onetime thing.		
then you know you're basically right up there with the big boys in San Francisco.		
right and you know like you know you get the same Aesthetics I you know you get.		
like the same experience and uh like that's also a beautiful Vision um you.		
know people want uh yeah people want Global connectedness uh people wants to.		
create shared spaces uh people you know want to be able to like bounce between.		
the different communities and be part of all of them and these things are all.		
great um but then there's like the beautiful vision and then there's like.		
well what are the specific technologies that implement it and I think for a long.		
time there's been the uh impression of uh you know you're uh.		
that this is just going to happen when we have good enough V right and like it.		
feels like we're getting closer and closer to it um I and I I tried the um.		
the Vision Pro yeah okay so I tried the Vision Pro it was like interesting right.		
because you know you put it on and uh you know it does just like look like you.		
know you know you're in a room and like the Pasto cameras work great and I tried.		
the onscreen keyboard I did a typing test and I got 15 words per minute which.		
15 um yes.		
five yes normally I get like on real keyboards I get 80 plus right so yeah.		
that's uh takes some practice Yeah takes but but even still right it's and like.		
it feels like it's at the point where it's powerful enough to like Dazzle.		
people on the first day but then if you want the Practical like benefit like a.		
lot of people after a month they basically end up putting it on the Shelf.		
um so but like it but it feels like it's no longer in the category of things that.		
you can laugh at right yeah and I mean Apple Vision Pro is definitely crazy.		
expensive and no17 workers in Nepal are getting yet right but like the you know.		
the quest is reasonable I mean I tried a couple of the others and there there's.		
definitely things that much more recable price points so.		
like you can see how it's getting there right and the other aspect of this is.		
you know the crypto aspect and there's like the virtual economy aspect and then.		crypto
I think one other aspect that excited people is like what people want is.		
global connectedness what people don't want is um global global connectedness.		
where everything um ends up being owned by like one billionaire and 5 VCS out of.		
Silicon Valley right and there's I think this hope that like maybe crypto could.		crypto
come in and we could actually have the thing be owned by a dow somehow right or.		
it could be a dow that's One Vision or the other vision is like lots of.		
different people could own their own rooms but there would be some kind of.		
like minimal interprotocol like the hallways would run on a blockchain.		blockchain
basically and like something like that could be figured out and it would.		
actually make sense and like I think this stuff is nice and like the.		
technology is getting there to satisfy it all theoretically right like.		
theoretically I know the the VR site is getting there now we have I know.		
ethereum has blobs we have scalability um and with scalability we can uh get to.		ethereum
the points where you know we're actually processing these know non-financial.		
metaverse related operations on chain and that's all know beautiful but like.		
it still feels Vibe level and uh yeah the question of like why would I you.		
