Content		Keywords
just give a kind of big rapid fire introduction into some of the basics of how ethereum Works some of the basics of what ethereum tries to accomplish and		
I'm gonna just try to get it done within um I guess right now it's uh 1.8 kiloseconds or 150 slots um so what is ethereum right ethereum is		
a general purpose blockchain so people have seen a general purpose assess the platforms before and people have seen blockchains before and I think at this		Crypto Blockchain
point we can all kind of intuitively understand what the value of both of those categories is right so blockchains can facilitate a large-scale consensus		
they can protect against censorship they can enable censorship resistance applications blockchains are always available if you build on a blockchain		Crypto Blockchain
and then the thing that you build on that blockchain is going to be available it's not going to just get pulled under you because you know some particular		Crypto Blockchain
company decides it would be 12 more profitable if they just change the API on you without notice it is uh you know independent of any one particular nation		
state it's not dependent on any particular centralized Corporation avoid dependence on centralized parties um it's the you know one neutral ground at		
a time when almost every other grounds that we see is uh you know picking picking sides of some kind or other and you know often for very good reasons but		
no blockchains are this a kind of base layer between parties that do not trust each other that you know still allows them to have positive sum interactions		
blockchains can allow applications that are open that are transparent where people who participate on them or can be sure that the application is		
going to follow the rules that they sign up for right so blockchains are great for you know things that really need stability		
um so there is a good reason why money is the first app um but there's other apps as well and I'm sure a lot of people behind those		
apps are going to be talking a lot about them at this conference general purpose platforms are powerful too right general purpose platforms are interesting		
because they open the door to Independence Innovation so if you have a general purpose platform then it just makes it much easier to build something		General Innovation
on top of it because if he wants to build some specific thing instead of having to like rebuild all the infrastructure yourself you know you		
just add a tiny little piece right they can create powerful Network effects between different types of applications so you know you got your uniswap and		General Network
then you got your like Dow that plugs into the unit Swap and then that you and then that unit swap itself gets used to trade between you know usdc tokens and		General Trade
maker tokens and you can create these kind of complicated chains of seven different applications that all talk to each other and sometimes they talk to		
each other in insanely crazy ways within one single transaction that uh you know really fun people from Paradigm go and write amazing blog posts about		
um but so uh general purpose platforms lower the barriers to entry they make it simpler to build they enable a lot of innovation and often general purpose		General Innovation
platforms end up being far more useful that even the creators originally imagined so ethereum is a general purpose blockchain right and so ethereum		Crypto Blockchain
tries to be both so this is like one of the sort of three-minute pitches of you know what ethereum could could allow you to do so		
