Content		Keywords
okay so back back when bitcoin was originally created in 2009 Satoshi zu was really testing two things at once so the first part is there's this idea of		Crypto Bitcoin
Bitcoin the decentralized currency it's a form of money that exists purely online and you could transfer it from anyone to anyone in the around the world		Crypto Bitcoin Crypto Decentralized
instantly with pretty much no fees you can transfer money from Kyrgyzstan to Guatemala just as easily just as quickly and just as cheaply as you can to your		
own neighbor and there as we have seen there are a lot of people interested in that in that innovation Bitcoin form of money has attracted a pool of a ten		Crypto Bitcoin General Innovation
billion dollars of wealth over the past five years it is being accepted by over 50 thousand merchants worldwide and there we have companies like Bitcoin		Crypto Bitcoin
coinbase that are injured that are trying very hard and I would say succeeding at getting Bitcoin adopted by increasingly large segments of the		Crypto Bitcoin
population and as a rymus said I think we're only getting started but at the same time there's also the other side of Bitcoin which is Bitcoin the blockchain		Crypto Bitcoin Crypto Blockchain
so big Bitcoin the technology is this a global trust free peer decentralized database it's this database that anyone can add things to but no one could but		Crypto Bitcoin Crypto Decentralized General Technology
you can't remove anything from and it just so own now it just so happens that currency is this is the first app now these two technologies by necessity have		
to be married together because in order to have the decentralized database you need to have security in order to have security you need to have incentives and		Crypto Decentralized General Security
you need to have a currency so so really Satoshi had to take these two concepts which are really quite different and test them both at the same time now this		
the second side of Bitcoin the Bitcoin blockchain is something that I think has been seeing a bit less attention maybe in the first few years but interest is		Crypto Bitcoin Crypto Blockchain
also picking up so here are some of the first applications of Bitcoin not as a form of money but Bitcoin as a form of distributed consensus so first one is		Crypto Bitcoin
same coin name coin is essentially a distributed DNS system for those who do not know what a DNS system is when you go to google.com how how does your		
computer know which server to talk to so the answer is is that there exists this the system which Maps Google the name google.com to the server's IP address so		
your computer actually first queries this domain name system and it asks hey what server is google.com and the sir and the server answers and that's and		
that's how your you're able to talk to talk to Google server without having to memorize everyone's IP address second second part escort transactions so we a		
lot of people here I'm sure I've heard of the concept of multi set of multi-sig so the idea here is that you send money to say three three people at once in		
such a way that you need two of those people to unlock the funds so what are some practical applications of that one practical application might be say		
consumer protection so for example if you want if I'm a merchant and I'm selling some product to you the consumer the simplest way to do that for it would		
be for you to just pay me and for me to send the product but what if you don't know me and I'm not necessarily trustworthy so then what you would do is		
we would both agree on an arbitrator and we would and you would send the money to our two of three multi-sig between yourself myself and the arbitrator I		
would send the product and then at some point normally you would confirm confirm that you receive the product and and the two of us together would release the		
funds now if one of us disappears or one of us turns out to be dishonest then the arbitrator can step can step in and work with the other person to recover the		
funds so this is essentially bitcoins also alternative to PayPal chargeback system now then we have this concept of colored coins colored coin the idea		
behind colored coins I would say saw its first beginnings in 2012 so the idea there is okay you have a blockchain and you have a currency on it but what if		Crypto Blockchain
you can put other currencies on the blockchain as well so the idea there is this is to say I let's suppose that I am a goal		Crypto Blockchain
sure I might be countable ammaji metals or some some larger company and I and I wants to issue gold on the blockchain so what would I do I would take say ten		Crypto Blockchain
bitcoins and I would and I would say each each one of these these bitcoins is also worth 10 ounces of gold and and I would say it's each one and that's each		
one of these specific bitcoins and then you could actually track those specific bitcoins through the blockchain and you can treat them as sort of their own		Crypto Blockchain
currency living and living inside the Bitcoin system and then if someone at some future point in time returns one of these colored gold coins to me then I		Crypto Bitcoin
will return to them in ten ounces of gold now then so now you have the system where you have lots of different currencies on the		
Bitcoin blockchain what's the next step well let's have a decentralized exchange between the currencies so as it turns out that this is this is actually		Crypto Bitcoin Crypto Blockchain Crypto Decentralized Crypto Exchange
somewhat hard to implement so it has to so the research behind it has actually taken some time to develop and we are actually seeing a lot of interesting		
protocols around that over the last six months now after that there's also some other interesting ideas there's this concept of smart property so the idea		
there might be what it what if you had or say a museum pass and in the idea there is that you would issue a currency was just where that currency has one		
unit and if you own that unit then you can use you can use your phone and you can and you can sign a message with the private with the private key that owns		
that that would old currency token and then that sort of works that works as a museum pass you can use it to get into a museum if you want to if you want to		Crypto Token
sell the museum pass then you just transfer the coin to someone else and now and now they can sign it with their phone they can get and they can gain		
access another idea is smart contracts so the idea there is that instead of having contracts that are in four that are enforced by the legal system you		Ethereum Smart Contracts
have contracts that in section we enforce themselves so one idea here might be a financial contract so suppose that I might want to put one a thousand		
dollars worth of Bitcoin into this financial contract and then someone some other counterparty would put $1,000 into the financial		Crypto Bitcoin
contract and then what one month later I would get $1,000 worth of Bitcoin back and the idea is what if you can have this contract in force itself so in that		Crypto Bitcoin
in that way I can essentially have a thousand dollars worth of value without without volatility risk on the on the blockchain without having to rely on it		Crypto Blockchain
on any kind of centralized issuer finally there's this idea of decentralized autonomous organizations so the idea of a Dao or as other terms		Crypto Decentralized
you might have heard include decentralized autonomous corporations or decentralized autonomous companies decentralized autonomous communities		Crypto Decentralized
India there is to have either a company an organization perhaps could be a company it could be something like WikiLeaks it could be something like		
ICANN the Internet Corporation for Assigned Names and numbers that sort of which is the organization that actually manages the game IP address allocation		
and DNS registration and so forth what if you could have these organizations live entirely on the cloud so these organizations would still control		
resources but those resources would be controlled by us by a smart contract that never expires it just keeps on updating itself so unformed so these are		Crypto Smart Contract
essentially some of the applications and there are thousands more than we haven't even thought of now here's just a some detail about how colored coins works so		
you would have some issuers acquires that that's some subset of bitcoins have have a certain color and then if you send if you send a transaction where the		
inputs have have a certain color then the outputs have the same color now if the inputs have mixed colors then you might have some special rules applying		
and then you would just trace the transactions back through the Bitcoin blockchain to determine what color they are so you can see there a simple		Crypto Bitcoin Crypto Blockchain
diagram is that you might have color you might have green coins blue coins and red coins perhaps representing US Dollars gold stocks in a company		
whatever else and you could simply trace them through the transaction graph and figure and figure out exactly who owns the coins of each color at any given		
time now another more advanced idea is this concept of a metal coin so the idea behind a metal coin is this is this idea		
that we should treat metic owns as view which would treat Bitcoin as this low-level protocol like a sort of tcp/ip on the internet and then we should build		Crypto Bitcoin General Protocol
other protocols on top so this other protocol would use Bitcoin just as a data layer it would put data into the Bitcoin ran into Bitcoin transactions		Crypto Bitcoin General Protocol
and then you could see there would be a completely separate matter coin protocol that would scan through the transaction to determine what the balances are so		General Protocol
what are the advantages pretty theoretically pretty much no limits you could have decentralized exchange you could have savings accounts you		Crypto Decentralized Crypto Exchange
could have advanced smart contracts you could have peer to peer Satoshi dice theoretically there's pretty much no limits to what can be done with this		Ethereum Smart Contracts
kind of paradigm however the problem problem is is that there have been there are a lot of we a lot of people think that you can that you can just implement		
all this stuff on top of Bitcoin but in reality there are actually serious we serious scalability issues to doing so and as I'll explain these scalability		Crypto Bitcoin General Scalability
issues are actually the reason why people have been so people have been so frustrated trying to implement this stuff a colored coins project has been		
worked working hard for the pet for the last 18 months and they've been trying to come up with extremely clever color transfer rules and to try and make		
