Content	Keywords
Vitalik Buterin reveals five ways he’d rebuild Ethereum from scratch – DL News Search results All News DeFi More Search results This article is more than three months old DeFi People & culture Vitalik Buterin reveals five ways he’d rebuild Ethereum from scratch DeFi People & culture Vitalik Buterin told developers at an Ethereum conference in Berlin that he has some technical regrets about Ethereum. Credit: Darren Joseph Home DeFi Vitalik Buterin reveals five ways he’d rebuild Ethereum from scratch By Liam  Kelly Share Copy link Ethereum's architect shares thoughts on smart contracts, EVM, and other features	ethereum, defi
Buterin says Ethereum developers should have shipped Proof of Stake sooner. Ethereum is going mainstream with advent of ETFs	ethereum
When 620 weary developers emerged after three days of nonstop coding at this year’s ETHBerlin event last week, few expected Vitalik Buterin to be speaking on stage. The co-founder and prime architect of Ethereum was a surprise guest	ethereum
What was even more surprising were some of his reflections on building the industry’s second-largest blockchain. Buterin described some of the regrets he had about the initial design of Ethereum in detail	blockchain, ethereum
For many in the audience, his discourse not only evoked the halcyon days of the network’s birth in 2014, but it also helped fill in the road map for what comes next for a cryptocurrency now worth $448 billion. The US has just approved a spot Ethereum exchange-traded fund, and BlackRock, the world’s largest asset manager, has launched its own tokenised fund on the blockchain	blockchain, ethereum, cryptocurrency
The Ethereum network has spawned a sprawling ecosystem of developers and financial applications worth more than $63 billion , and it has become a byword for decentralised finance. List of things Still, Buterin, a 30-year-old Canadian-Russian programmer, said he has a list of things he would have done differently	ethereum
They range from the development of Ethereum’s Virtual Machine to smart contracts to the Proof of Stake consensus mechanism. And he remarked that even as Ethereum goes more mainstream, it’s still misunderstood	ethereum
Join the community to get our latest stories and updates “Bitcoin has a simple narrative which is digital gold,” Buterin said. “But like with Ethereum, it’s like ‘Whoa, what the heck is Ethereum?’” ETHBerlin04 in numbers 🧮 - 802 super humans in total - 627 hackers - 83 project submissions - 56 volunteers - 40 experience hosts - 33 judges - 18 mentors - 15 core team - 13 speakers - 20ish dogs — ETHBerlin04 (@ETHBerlin) May 26, 2024 ETHBerlin04 in numbers 🧮 - 802 super humans in total - 627 hackers - 83 project submissions - 56 volunteers - 40 experience hosts - 33 judges - 18 mentors - 15 core team - 13 speakers - 20ish dogs — ETHBerlin04 (@ETHBerlin) May 26, 2024 Seated on comfy couches on stage with ETHBerlin organisers Afri Schoedon and Franziska Heintel, Buterin opened his chat by sharing his fondest memories of the German capital over the years — hacking in the old office with Ethereum co-founders Gavin Wood and Jeffrey Wilcke, launching Devcon Zero, and celebrating the Merge upgrade in 2022	ethereum, bitcoin
Then Schoedon popped the question. “With everything you know and everything you learned over the last 10 years, how would you build Ethereum differently today if you could start from scratch?” Schoeden asked	ethereum
Vitalik Buterin (centre) discussed Ethereum's vision, then and now, in a discussion at ETHBerlin. Photocredit: Liam Kelly/DL News	ethereum
