Content	 Topic
Vitalik Buterin - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contact us Donate Contribute Help Learn to edit Community portal Recent changes Upload file Search Search Appearance Create account Log in Personal tools Create account Log in Pages for logged out editors learn more Contributions Talk Contents move to sidebar hide (Top) 1 Early life and education 2 Career Toggle Career subsection 2.1 Bitcoin Magazine 2.2 Ethereum 2.3 Open-source software 2.4 Ethereum Russia 2.5 Work with Glen Weyl 3 Awards and recognition 4 Philanthropy Toggle Philanthropy subsection 4.1 Philanthropic efforts against the 2022 Russian invasion of Ukraine 5 Books 6 See also 7 References Toggle References subsection 7.1 Citations 7.2 Works cited 8 External links Toggle the table of contents Vitalik Buterin 30 languages Afrikaans العربية Azərbaycanca বাংলা Беларуская Български Català Deutsch Español فارسی Français 한국어 Bahasa Indonesia Italiano עברית Magyar मराठी Bahasa Melayu ꯃꯤꯇꯩ ꯂꯣꯟ Nederlands 日本語 Norsk bokmål Português Русский Suomi Тоҷикӣ Türkçe Українська Tiếng Việt 中文 Edit links Article Talk English Read Edit View history Tools Tools move to sidebar hide Actions Read Edit View history General What links here Related changes Upload file Special pages Permanent link Page information Cite this page Get shortened URL Download QR code Wikidata item Print/export Download as PDF Printable version In other projects Wikimedia Commons Appearance move to sidebar hide From Wikipedia, the free encyclopedia Canadian programmer (born 1994) In this name that follows Eastern Slavic naming customs , the patronymic is Dmitrievich and the family name is Buterin . Vitalik Buterin Виталик Бутерин Buterin in 2015 Born Vitaly Dmitrievich Buterin ( 1994-01-31 ) 31 January 1994 (age 30) Kolomna , Russia Education University of Waterloo Known for Ethereum , Bitcoin Magazine Awards Thiel Fellowship Scientific career Fields Digital contracts , digital currencies , game theory Website Personal website Vitaly Dmitrievich Buterin ( Russian : Вита́лий Дми́триевич Буте́рин ), better known as Vitalik Buterin (Russian: Вита́лик Буте́рин ; born 31 January [ 1 ] 1994), is a Canadian computer programmer and co-founder of Ethereum 	ethereum, bitcoin
Buterin became involved with cryptocurrency early in its inception, co-founding Bitcoin Magazine in 2011 [ 2 ] [ 3 ] and Dark Wallet in 2013 together with Amir Taaki and Cody Wilson [ 4 ] In 2015, Buterin deployed the Ethereum blockchain with Gavin Wood , Charles Hoskinson , Anthony Di Iorio , and Joseph Lubin . [ 5 ] [ 6 ] [ 7 ] Early life and education [ edit ] Buterin was born in Kolomna , Russia, to a Russian family	blockchain, ethereum, bitcoin, cryptocurrency, wallet
[ 8 ] [ 9 ] His father, Dmitry, was a computer scientist . [ 8 ] He and his parents lived in the area until the age of six, when his parents emigrated to Canada in search of better employment opportunities	
[ 10 ] While in grade three of elementary school in Canada, Buterin was placed into a class for gifted children and was drawn to mathematics, programming, and economics. [ 11 ] Buterin then attended The Abelard School , a private high school in Toronto	
[ 12 ] Buterin learned about Bitcoin from his father at the age of 17. [ 10 ] After high school, Buterin attended the University of Waterloo 	bitcoin
There, he took advanced courses and was a research assistant for cryptographer Ian Goldberg , who co-created Off-the-Record Messaging and was the former board of directors' chairman of the Tor Project . [ 13 ] [ 14 ] In 2012, Buterin won a bronze medal in the International Olympiad in Informatics in Italy 	
[ 15 ] In 2013, he visited developers in other countries who shared his enthusiasm for code. He returned to Toronto later that year and published a white paper proposing Ethereum	ethereum
[ 16 ] [ 17 ] He dropped out of university in 2014 when he was awarded with a grant of US$100,000 (equivalent to $128,704 in 2023) [ 18 ] from the Thiel Fellowship , a scholarship created by venture capitalist Peter Thiel and went to work on Ethereum full-time. [ 19 ] On 30 November 2018, Buterin received an honorary doctorate from the Faculty of Business and Economics of the University of Basel 	ethereum
[ 20 ] Career [ edit ] Bitcoin Magazine [ edit ] Main article: Bitcoin Magazine In 2011, Buterin began writing for a publication called Bitcoin Weekly after meeting a person on a bitcoin forum with the aim of earning bitcoin. [ 21 ] The owner offered five bitcoin (about $3.50 at the time) to anyone who would write an article for him	bitcoin
[ 22 ] Buterin wrote for the site until it shut down soon thereafter due to insufficient revenue. [ 23 ] In September 2011, Mihai Alisie reached out to Buterin about starting a new print publication called Bitcoin Magazine , a position which Buterin would accept as the first co-founder and contribute to as a leading writer	bitcoin
