Content,Tags
" In a bid to turn around its lagging momentum, UAE-based team shooter Farcana has introduced a new FAR token staking program. Offering 60% APR on staked FAR, the program is one of the highest incentives among current web3 games. But as with a large majority of tokens launched in 2024, FAR has not performed well, down 96% since its February 2024 launch","Web3, Staking"
"“The decline (of FAR) reflects early listing decisions that, while initially driving momentum, highlighted the need for more robust utility within the ecosystem,” commented Farcana founder and CEO Ilman Shazhaev in a post on X. “Until the game goes live, our token has been predominantly driven by speculation – a model that, while effective in the short term, does not build sustainable growth,” he continued. “That’s why FAR has also underperformed in the current market.” As a result of releasing its new staking system, FAR has jumped by 24%",Staking
"It’s also reached number two as the most traded asset on crypto exchange Bybit. Although good news for the project short-term, there’s a larger trend plaguing altcoins more generally, and web3 gaming tokens in particular. As the following graph shows only six of the top 20 gaming tokens haven’t declined in price during 2024","Web3, Web3 Gaming"
"This issue was also recently addressed by Animoca Brands chairman Yat Siu, who’s plainly stated that these tokens have failed to gain traction. Despite of – or rather because of – an increasing market cap for altcoins, the sheer number of new tokens in 2024 has “greatly diluted overall attention” for individual altcoins, causing weak price performance. Siu goes on to suggest that institutional participation, such as in the case of Bitcoin, is imperative for the longevity of these diluted tokens, as it could both increase trust and bring in substantial long-term capital","Yat Siu, Animoca Brands, Bitcoin"
"A far cry from the speculation-driven trading that’s overshadowed most of crypto gaming tokens so far. Meanwhile, Shazhaev added, “Staking is just the first step in creating long-term stability and utility for the token.” “We want our holders to put their tokens to work while we continue to build out the Farcana ecosystem, slowly but surely.” Users wanting to stake their FAR tokens need to connect their wallet to Polygon, which is also one of Farcana’s seed investors. Among others participating in the $10 million seed round announced at the end of 2023 were Animoca Brands, Fenbushi Capital, and Merit Circle","Animoca Brands, Staking"
"Jenny started editing the Big Blockchain Game List in 2021; something that quickly sparked a passion for good blockchain projects and future possibilities for the whole industry. Apart from editing BlockchainGamer.biz, she keeps busy cold-plunging, writing, deadlifting, drinking too much coffee and playing too few quirky onchain games. PREV POST Dated: Ragnarok: Monster World launches, 1st October NEXT POST Blockchain gaming weekly roundup: 27th September Jobs news: Ex-Tapjoy CEO Drobick joins Earn Alliance Nexus raises $2 million for Everdawn Champions and NXI token launch Revolving Games taps Animoca ahead of node sale Animoca Brands and LayerZero Labs deepen ties Comments are closed","Animoca Brands, Blockchain"
"FEATURED ICOs Hoard Trending Stories Lamborghini and Animoca launch hub and interoperable game assets How Proof of Play is taking fully onchain games like Pirate Nation to “internet-scale” Sky Mavis removing free Ronin gas, suggests devs now cover the costs Blockchaingamer.biz dedicated to illuminating and explaining the world of blockchain technology as applied in the games space. Contact us: editor@BlockChainGamer.biz Profiles How Pixels grows beyond 1 million DAUWs How Stardust is helping blockchain devs onboard one… How Guild of Guardians moves from launch into… Tokens SPORT Token will power Lympo’s GameFi system… Blockchain giant Wemade enters the stablecoin market… Animoca Brands’ PRIMATE Token is listed on Huobi… Welcome, Login to your account. Recover your password","Animoca Brands, Blockchain, Blockchain Technology"
"This website uses cookies We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. Paris, France, September 26th, 2024, Chainwire  Paris Blockchain Week, Europe’s flagship web3 event “where business happens”, with over 85 countries in attendance, has unveiled its first headline speakers for 2025","Web3, Blockchain"
"Delegates will be treated to talks from Binance CEO Richard Teng, Crypto.com’s Eric Anziani, Tim Draper, Founder and Managing Partner at Draper Associates, DFJ and Draper Venture Network, Chairman of Animoca Brands, Yat Siu, Christian Louboutin’s Elise Yoshida and many more. This event brings together all of the leaders who are shaping the blockchain industry. Hosted at the Carrousel du Louvre, PBW will gather web3 leaders, developers, and investors for three days of talks, workshops, and networking","Yat Siu, Animoca Brands, Web3, Blockchain"
"Topics will range from ETFs, AI, and DeFi to the future of tokenization and web3 gaming, with events tailored for blockchain communities like Bitcoin Ordinals. PBW co-founder Michael Amar said: “We are proud to announce the 6th edition of Paris Blockchain Week in 2025, where we will bring together the foremost leaders and innovators in the blockchain industry. This event has established itself as the premier meeting point for industry leaders, facilitating meaningful business interactions and shaping the future of blockchain","Web3, Blockchain, Bitcoin, DeFi, Tokenization, Web3 Gaming, AI"
"As we prepare for this next edition, our focus remains on creating an environment that unites the brightest minds and most influential voices to drive growth, foster innovation, and advance the blockchain ecosystem.” PBW 2025 will feature a Startup Competition, Investor Day and Hackathon. The hackathon will feature both online and in-person challenges, giving developers, entrepreneurs, and blockchain enthusiasts a chance to showcase their skills, innovate, and create solutions that advance the industry. Additionally, an unparalleled VIP dinner beneath the breathtaking Pyramide du Louvre with an exclusive private viewing of the masterpiece wing",Blockchain
"“Start in Block,” the premier startup competition for web3 projects, entrepreneurs, and investors. With a prize fund of 10 million euros in 2024, the competition spotlights innovative projects with real-world impact. As a key part of Investor Day, Start in Block offers valuable opportunities to connect with investors, explore trends, and discuss potential deals through panel discussions on fundraising, equity, tokens, and community building",Web3
"Karina Fernandez, General Manager of Emerging Technologies of Shell said: “Paris Blockchain week is a real gravitational force, a magnet that helps to bring the right people together to accelerate the use of the tech and the changes we need to make.” Tim Draper, Founder and Managing Partner of Draper Associates, DFJ and Draper Venture Network said: “It’s an amazing conference, everyone across the world should be here so that they understand what this world is going to look like. This is the future of currency, governance, art, literature, and the economy. Paris Blockchain week is extraordinary.” With hundreds of crypto companies and VIP speakers from both blockchain and traditional finance, PBW 2025 is set to be the largest yet, bringing together key figures for insightful discussions, networking, and vibrant side events in Paris",Blockchain
"The first batch of lowest-priced tickets for Paris Blockchain Week have been released. With full 3-day tickets at just €999, including food and drink. Developer tickets start at €299 and €150 for students (plus VAT)",Blockchain
