Content,Tags
"Two major financial crowns meet before the Christmas festivities: Dubai and the Global Blockchain Show happening on the 12th and 13th of December. Dubai is living up to the UAE’s vision of being the leading crypto hub. What’s better? The blockchain enigma, Yat Siu, will make attendance Crypto has had quite a year, with the launch of spot Bitcoin and Ethereum ETFs, the sentencing of Binance’s CZ and FTX’s SBF, and Caroline Ellison","Yat Siu, Blockchain, Bitcoin, Ethereum"
"The year comes with a decentralized finale at the Grand Hyatt Exhibition Centre, Dubai. The Global Blockchain Show will run from December 12th to 14th. It has circled in on the best Web3 trailblazers","Web3, Blockchain"
"Some keynote speakers include Yat Siu, the Co-Founder and Chairman of Animoca Brands. Advertisement Also, H.E. Justin Sun, Founder of TRON and a member of the HTX Global Advisory Board, Binance’s CMO Rachel Conlan, Dr","Yat Siu, Animoca Brands"
"Marwan Alzarouni, the CEO of Dubai Blockchain Center and  Dubai Economy & Tourism, and Jason Allegrante, the Chief Legal & Compliance Officer at Fireblocks, will make attendance as guest speakers. In addition, leading influential financial entities in the world will make the stop in Dubai. Yat has been passionate about tech and finance from the get-go",Blockchain
"He began his career at Atari Germany, then established Hong Kong Cybercity/Freenation. This is the first free web page and email provider in Asia. He strongly believes that the future of the internet lies in decentralization",Decentralization
"In an interview with the Talking Tokens podcast, Siu discussed the transition from centralized digital platforms to decentralized networks. Yat Siu’s stance on the shift toward decentralization is shaped by Animoca’s involvement in Web3 and his belief that pursuing this aim will fundamentally change digital property rights. He says, “We saw that we could now truly have true digital property rights as an ownership in our sort of gaming goods.” With Animoca, he has been behind games, including The Sandbox, Crazy Kings, and Crazy Defense Heroes","Yat Siu, Web3, Decentralization"
"In an interview in September, Yat hinted at Animoca Brands’ plan to go public, and soon. However, he said the timeline’s final decision depends on a key component, the “market’s status, amongst other” aspects. Advertisement Also Read: Dan Gallagher Poised to Replace Gensler as SEC Chair if Trump Wins Advertisement ",Animoca Brands
"The Cryptonomist interviewed Yat Siu, Co-Founder and Executive Chairman of Animoca Brands, to talk about the future of NFTs and metaverse thanks to gaming and education. Here below you will find our interview with him. Summary Generally speaking the trends that we think will drive this cycle is basically culture, very heavily driven towards gaming and of course distribution narratives","Yat Siu, Animoca Brands, Metaverse, NFTs"
"So that means that on the culture side whether it’s like GAMI or like Mocoverse, or digital identity, the gaming narratives are going to be big things because they’re going to onboard users. And in terms of distribution narratives, things like TON, for instance. Telegram helps solve a really big problem when it comes to Web3 user adoption and onboarding","Web3, Digital Identity"
"GAMI now has 3 million daily active users because of Telegram and the TON blockchain. So to me, those are some of the things that I think become really important drivers in all of this. I believe that over the next 12 to 18 months, we’re going to see over 100 million users join Web3 because of gaming that’s happening to distribution outlets like Telegram","Web3, Blockchain"
