Content	Keywords
Oh, the stories Yat Siu tells about meme coins, ApeCoin DAO, Mocaverse, The Sandbox and NFT ownership - BlockchainGamerBiz PART OF THE STEEL MEDIA BUSINESS NETWORK PocketGamer.biz PCGamesInsider.biz BeyondGames.biz BlockChainGamer - Where the games business meets blockchain - Where the games business meets blockchain News Features Events Profiles Top 50 in Blockchain Top 50 People in Blockchain 2024 » NOMINATE NOW! Top 50 Blockchain Game Companies 2024 About Us Oh, the stories Yat Siu tells about meme coins, ApeCoin DAO, Mocaverse, The Sandbox and NFT ownership Interviews By Jon Jordan Last updated Mar 11, 2024 Share In the latest episode of his Blockchain Gaming World podcast , editor-in-chief Jon Jordan talks to Animoca Brands’ chairman Yat Siu , in a wide-ranging conversation covering everything from John Locke and meme coins, to how Mocaverse helped the growth of Pixels , Animoca’s investment thesis, why web3 won’t become monopolistic, is ApeDAO a success or a failure plus updates on The Sandbox, Mocaverse , the REVV ecosystem and TOWER. This interview has been edited for length and clarity	web3, coins, nft, game, gaming, mocaverse, blockchain, sandbox, ecosystem, ownership, meme, apecoin, failure
You can also listen to the podcast via the Fountain app and earn Bitcoin . BlockchainGamer.biz: You wrote a great piece applying John Locke to the underlying philosophy of blockchain, so how do meme coins fit into this structure? Yat Siu : I would disagree with the notion that meme coins are not the work of our minds, because I think they very much are the work of our minds in the sense that they are our stories and our culture	coins, blockchain, culture, meme, not
We may think of them as ridiculous, but if an alien came to planet Earth, they would look at a Gucci bag or a Louis Vuitton and they would say, ‘Why is this bag worth so much more than your backpack?’ And they would be puzzled. It comes from the fact they don’t understand the culture because context matters	culture
So in the same way that we ascribe ridiculous value to things that mean something to us – we’re both fans of Locke and the general philosophical construct of ownership and what it all means and the liberties attached to it – so we are free to create our own stories. And therefore, we are free to create our own narratives	value, ownership, value
Holding the share or token or whatever it is, is our story, is our community, is our collective. Now we can argue that many of the meme coins may not necessarily have a strong culture, right? I think of it as a little bit like America	coins, token, community, culture, meme, america, not
There’s America, the democratic institution, and there’s the meaning behind what it all is and it resists all sorts of change. There are many, many countries in the world, including European ones that have said, we’re gonna copy what America has done	democratic, america
We’re gonna take that culture and move it into our countries. And they tried it in Africa and they tried it in Asia	culture
And you know what? In some places it worked and in many places it didn’t work. This kind of disruptive chaotic energy only seems to work in the American democratic institution	democratic, disruptive
They seem to be able to survive these heavily disruptive crazy changes and are still the most powerful economy and country in the world. Whereas others who have emulated that have failed	disruptive, survive
And so I think meme tokens are the same. So Pepe, Shiba and Doge, maybe those are the ones that stand the test of time because they’ve got the broader story alignment. Then all the other pretenders	meme, tokens
Who knows where they’re going to be, but people are playing around them with the same mindset. Whether they succeed or not is anyone’s guess, right? So I do think they are the work of our minds very much so, and they’re owned by the community itself	community, not
If you really go down at the root of it all, what is money itself? Money is a story that we tell ourselves. It’s a fiction that we told ourselves, that we agree as a consensus, as a community to say, I give you $10, and for that I receive some good or service	community, money
There’s some underlying promise that’s attached to it. But the problem is that promise is pretty flimsy	flimsy
If everyone starts to have a run at the bank, that’s it for money. Money itself is a social construct and it is the work of our minds as well	money
