Content	Keywords
Yat Siu, Animoca: The Metaverse is awful today… but we can make it great - Raptor Group About Sectors Portfolio News Careers Contact Client Login RW3 Ventures Menu About Sectors Portfolio News Careers Contact Client Login RW3 Ventures Yat Siu, Animoca: The Metaverse is awful today… but we can make it great December 23, 2022 Coin Telegraph We spend half our lives on the Internet, so we’re already in an early version of the Metaverse. But Animoca co-founder Yat Siu tells Coin Telegraph’s Magazine there’s a much better way forward	Metaverse
Owning assets in a video game seems like a pretty natural concept, so why have so many gamers in the U.S. rejected NFTs outright? Yat Siu, co-founder of Animoca : I think the reason why so many in the West, particularly in the U.S., are rejecting NFTs is not because of the fact that NFTs give you ownership	
I think the rejection is partly due to shifting sentiments about capitalism. For the first time in my life, I’m witnessing a very strong anti-capitalist sentiment in America	
The consumer in Asia, however, looks at capitalism as a net good. Things like democracy and property rights are fairly new concepts	
Only four decades ago, South Korea’s economy was the same size as North Korea’s. Now it’s among the top 12 to 15 countries in the world	 Economy
Consumers in Asia have seen capitalism work for them. In the U.S., capitalism, especially in the past few decades, hasn’t worked in the same way	
It has exacerbated inequity. In this context, crypto, which NFTs are part of, risks becoming viewed as a rich man’s toy that spreads the same kind of inequity in the virtual world	
The news headlines focus on things like a $300,000 Bored Ape NFT and skew perceptions about the entire NFT industry. An average gamer sees this and doesn’t appreciate that the average NFT is actually a $5 or $10 in-game item	
It’s like thinking that the entire car industry consists of only Lamborghinis. What is your conception of the Metaverse? A lot of people talk about it without clearly defining what it is	Metaverse
I think that we’re already in a kind of pre-Metaverse. Among the top 20 countries in the world, we spend, on average, nine to 10 hours a day online	Metaverse
That’s more time than we spend at work. But it’s not a Metaverse that we as consumers have ownership of	Metaverse
So, that’s why I describe it as “pre.” The open, true Metaverse has to be one in which you have ownership. Without ownership, it’s meaningless	Metaverse
Is the Metaverse a virtual reality space? Is it screen-based? Is it augmented reality, with the Metaverse overlaid over the real world? I think everything you just mentioned is a vehicle to experience the Metaverse, but it’s not the Metaverse in and of itself. I go back to this principle of we’re already kind of in the Metaverse	Metaverse
When you’re in front of a big screen or even a mobile phone, the way you’re engaged in your game, it’s already immersive, and the connections you’re making with other people are also real. So, I don’t think the specific interface method matters	
