Content	Keywords
Yat Siu is the co-founder and executive chairman of Animoca Brands, a global leader in blockchain and gaming with the goal to provide property rights for virtual assets	Yat Siu, Animoca Brands, Blockchain
Yat began his career at Atari Germany, then established Hong Kong Cybercity/Freenation, the first free web page and email provider in Asia. In 1998 he set up Outblaze, an award-winning pioneer of multilingual white label web services	
After selling one of its business units to IBM, he pivoted Outblaze to incubate digital entertainment projects. One of those projects is Animoca Brands	Animoca Brands
Yat has numerous accolades, including Global Leader of Tomorrow at the World Economic Forum, Young Entrepreneur of the Year at the DHL/SCMP Awards, and recognition as one of Cointelegraph's top 100 notable people in blockchain. A classically trained musician, Yat is a member of the advisory board of BAFTA (British Academy of Film and Television Arts) and a director of the Asian Youth Orchestra	Blockchain
In 1998 he moved on to set up Outblaze, a web-based multilingual white label communication and collaboration service. Yat Sius steady leadership and vision steered Outblaze through the Dotcom Bubble and it emerged as an award-winning world leader in tech innovation	Yat Siu
In 2009, Yat sold Outblazes messaging unit to IBM and its assets helped open the first cloud computing laboratory in Hong Kong. This move pivoted Outblaze to become an incubator of projects and companies that develops digital entertainment services and products	
One of those incubated companies is Animoca Brands, which Yat Siu created in 2014. As an early advocate for the use of blockchain and non-fungible tokens (NFTs) in the gaming industry, Yat steered Animoca Brands in 2008 to focus on blockchain technology and NFTs	Yat Siu, Animoca Brands, Blockchain, NFTs, Gaming Industry
Seeing the potential of decentralised apps and assets, Yat Siu wants gamers to enjoy true ownership of their own game assets, data, and, consequently, equity. Today, Animoca Brands delivers digital property rights to the worlds gamers and Internet users, thereby creating a new asset class, play-to-earn economies, and a more equitable digital framework contributing to the building of the open metaverse	Yat Siu, Animoca Brands, Digital Property Rights, Open Metaverse, Play-to-Earn
Animoca Brands was recently valued at $5.9 billion. It operates a series of NFT-centric subsidiaries and products, with investments in over 170 blockchain-related companies, making it one of the largest blockchain portfolios in the world	Animoca Brands, Blockchain
A father of three and a frequent speaker at parenting, education and tech conferences, Yat observed a gap between what children are taught in Hong Kong schools and the pressing needs of our technology-dominant future. Collaborating with the Dalton School founders, Yat Siu set up the Dalton Learning Lab in 2017	Yat Siu
An afterschool digital lab that focuses on fostering divergent thinking and developing useful, future-ready skills applicable to the real world. Yat is also the founder of ThinkBlaze, the research arm of Outblaze investigating socially meaningful issues in technology	
Yat Siu was named World Economic Forum Global Leader of Tomorrow and a Young Global Leader of Tomorrow. He has also earned numerous accolades for his contributions in business and society	Yat Siu
This includes the Young Entrepreneur of the Year at the DHL/SCMP Awards, and recognition as Coindesks Most Influential 2022 and one of Cointelegraphs Top 100 Notable People in Blockchain. A classically trained musician, Yat is a member of the advisory board of the British Academy of Film and Television Arts (BAFTA) and a director of the Asian Youth Orchestra	Blockchain
