content	keywords
In 2022, Animoca Brands was valued at $6 billion. Yat Sius Net Worth Year Net Worth 2023 $100 million Early Life Yat Siu was born in Vienna, Austria in 1973. His mother is from Taiwan and was born in Lisbon, Portugal	Animoca Brands, Yat Siu
However, his father was born in Hong Kong. Initially, Siu senior was an instrumentalist before he ventured into business	Yat Siu
However, Yat Siu studied at the Music and Arts University of the City of Vienna. While at the University, he learned to play cello, flute, and piano. Despite his parents wish for him to venture into music, Yat Siu chose a different path	Animoca Brands, Yat Siu
He had his job at Atari in Germany. Later on, Siu relocated to Hong Kong and became a director and head of East Coast Operations for Lexicor	Yat Siu, Atari
In 1996, he founded Cybercity in Hong Kong. The firm focused on providing internet and email services	Yat Siu
According to our findings, people usually refer to Cybercity as Asias first free web page and e-mail provider. In 1997, Yat Siu joined AT&T Solutions System Integration. However, he left the firm around 1998 to establish Outblaze	Animoca Brands, Yat Siu
The firm focuses on the development of innovative web-based multilingual white-label communication and collaboration services. Although Outblaze was heavily affected by the dotcom bubble, it managed to survive owing to the steady leadership of Siu. Under Yat Sius guidance, Outblaze enjoyed the support of over 75 million end-users	Animoca Brands, Yat Siu
In April 2009, Yat Siu sold Outblaze messaging assets to IBM. Later, IBM used the assets to establish its first cloud computing laboratory in Hong Kong. Animoca Brands The development of Animoca Brands can be traced back to 2011	Animoca Brands, Yat Siu
Then, Animoca, a mobile games developer, raised funds through a Series A round led by Intel Capital and IDG-Accel. In 2014, Yat Siu and David Kim collaborated to establish Animoca Brands	Animoca Brands, Yat Siu
Initially, Animoca Brands focused on game software and venture capital with its base in Hong Kong. Yat Siu became the executive chairman of the firm	Animoca Brands, Yat Siu
Meanwhile, during the early years of Animoca Brands, it developed various mobile games. In 2018, the firm took a different dimension and ventured into blockchain gaming and NFTs. Due to that, Yat Siu attained a high level of prominence in the industry	Web3, Animoca Brands, Yat Siu, Atari
Meanwhile, the firms change of business direction was due to the growing attention on blockchain innovations. Siu conceived the idea of integrating the firms experience as a mobile game developer into the blockchain arena	Web3, Atari
Notably, the firm was able to cement its presence in the new industry. It released projects like Crazy Kings, Crazy Defense Heroes worldwide	Yat Siu
Also, the firm recorded $2.8 million in revenue in the first three months. The firm was encouraged by the manner of acceptance of the two projects and consequently launched another in 2018. The project, OliveX exists as a fitness metaverse company commissioned to design mobile games to gamify the fitness industry	Animoca Brands
However, Animoca Brands spun off from the company in August 2020. In the same year, Animoca Brands raised $1 million from Sun Hung and $500,000 from a partner identified as Lympo. The firm utilized the funds to further enhance its presence in the blockchain industry	Web3, Animoca Brands, Yat Siu
