Folder,Line Count,37691
ansem,615
thor_odinson,1803
Kieran Warwick Submission 4.txt,80
arthur_hayes,223
lady_tsunade,1842
aang,845
batman,181
captain_america,176
Tim Sweeney_Intermediate_Pasiliao.txt,90
cristiano,305
yellow panther,345
MichaelSaylor3_content_with_keywords.txt,15
sherlock_holmes,587
saitama,3017
seraphina,31
dingaling,29
Kieran Warwick_Intermediate_Pasiliao.txt,18
CL207,2419
CZ,32
harley_quinn,3855
anthony pompliano,35
Heyi,1357
joe_biden,823
MichaelSaylor_submission_3_content.txt,72
konan,348
kieran_warwick,596
yat_sui,1012
yat-sui,111
vitalik,4562
black_panther,230
hinata,4537
MichaelSaylor4_content_with_keywords.txt,14
iona,180
doctor_strange,608
jiho,1144
MichaelSaylor2_content.txt,20
MichaelSaylor1_submission_3_content.txt,55
severius_snape,99
anthony_pompliano,3611
paul_zhou,11
irene_zhao,697
kieranwarwick_content_with_keywords.txt,44
suzhu,856
MichaelSaylor2_content_with_keywords.txt,37
Alex Becker,124
