Content	Keywords
The Rise and Fall of Bitcoin Billionaire Arthur Hayes | Vanity Fair Skip to main content Open Navigation Menu Menu Story Saved To revisit this article, visit My Profile, then View saved stories . Close Alert Search Search Politics Business Hollywood Style Culture Royals Celebrity Video Podcasts Archive VF Shop What Is Cinema? Archive VF Shop Magazine From the Magazine April 2021 Issue The Rise and Fall of Bitcoin Billionaire Arthur Hayes The BitMEX cofounder created a cryptocurrency exchange that has traded trillions	bitcoin, cryptocurrency
Now he’s wanted by U.S. authorities, and insiders wonder whether he and his partners are villains—or victims of a two-tiered justice system that favors big banks over brash outsiders	
By Adam Ciralsky February 4, 2021 Arthur Hayes, 2018. Photograph by Adam Ferguson	
Save this story Save Save this story Save CRAZY RICH Arthur Hayes lives large. Like Bobby Axelrod-in- Billions large	
Just replace New York with Hong Kong and infuse it with a dose of Silicon Valley—where unicorns spring from the minds of irrepressible company founders—and, well, you get the picture. One minute Hayes is hitting the powder in Hokkaido, the next he’s crushing it on a subterranean squash court in Central—Hong Kong’s Wall Street	
And all the while he keeps one eye trained on an obscure-sounding currency exchange that he built out of thin air and through which more than $3 trillion has flowed. Screen-star handsome and fabulously wealthy, the African American banker turned maverick personifies the contemporary fintech pioneer	
But the feds describe Arthur Hayes differently: a wanted man who “flouted” the law by operating in the “shadows of the financial markets.” Hayes’s indictment was unsealed in October, and he remains at large in Asia as prosecutors in New York hope to arrest him and try him on two felony counts, which carry a possible penalty of 10 years in prison. This is a tale of new money versus old, financial whiz kids upstaging banking’s old guard, and American authorities attempting to apply 20th-century laws to 21st-century innovation	
Prosecutors allege that Hayes and his business partners violated the Bank Secrecy Act by failing to implement and maintain an adequate anti-money-laundering program—to weed out bad actors and dirty money. Meanwhile, Hayes’s colleagues in the cryptocurrency world believe he is being punished for building an ingenious product that has baffled lawmakers, bedeviled regulators, and—once it became wildly popular—posed a threat to some of the markets’ biggest players	cryptocurrency
Adding to the chorus of voices are some high-powered legal experts who consider the case United States of America v. Arthur Hayes to be largely unprecedented	
At a time when the SEC is seemingly doing the bidding of Wall Street titans—eager to punish the unwashed masses of day traders for scuttling banks’ and hedge funds’ trading positions on GameStop and other stocks—Hayes might just be patient zero when it comes to exposing the hypocrisy in high finance that is now coming into sharp relief. THE CRYPTO GOLD RUSH—AND A BACKPACK FULL OF CASH Hayes, 35, went radio silent in October	crypto
But the crypto condor has not always been so elusive. Born to middle-class parents who worked for General Motors and were beholden to the ever-changing fortunes of the auto giant, he split his formative years between Detroit and Buffalo, where his mother, Barbara, moved mountains to get her gifted son into Nichols School, a leafy private institution founded in 1892	crypto
“He succeeded at everything, from his studies [to] the sports field, to making lasting friendships,” reads a testimony, featuring Barbara, on one of the fundraising pages of the school’s website. “Nichols gave him the setting, the stimulation, and at one point, the scholarship to thrive.” Hayes, in return, has given back: underwriting a scholarship that ensures “a deserving student will be able to experience the excellence of a Nichols education and the lifelong benefits it brings.” After attending the Wharton School of business, he headed off to Hong Kong, where he worked at Deutsche Bank and Citibank as a market maker for exchange-traded funds, or ETFs—hybrid securities that, not unlike mutual funds, diversify an investor’s risk but can be traded like stocks	
Hayes was just hitting his stride when a pink slip arrived in May 2013. “Bankers tell you everybody has a bullet with their name on it,” he explained one afternoon over tea at the Marina Bay Sands in Singapore—the iconic hotel featured in the finale of Crazy Rich Asians	
He was wearing his standard attire: skintight T-shirt, jeans, and a pricey timepiece (a Hublot Big Bang). “I wasn’t married, had no kids, no obligations	
I had been an investment banker, so I wasn’t sleeping on the streets. I wanted to build something.” (I interviewed Hayes and some of his cohorts in Hong Kong, Singapore, and New York in 2018 and 2019	
Since the October indictment, I have spoken at length with insiders who know and are in communication with Hayes and his two indicted business partners, Ben Delo and Sam Reed. A number of these sources requested anonymity so as not to prejudice pending legal proceedings; on the advice of counsel, Hayes, Delo, and Reed opted not to comment for this story.) But back to that pink slip	
Eight years ago Hayes, out of a job, decided to go solo, combining his knack for designing novel financial instruments with a newfound passion: cryptocurrency. Specifically, Bitcoin	bitcoin, cryptocurrency
