url	movie	type	text	source
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Captain America: The Winter Soldier	Spoken about Stephen Strange	"""Bruce Banner, Stephen Strange, anyone who's a threat to HYDRA! Now, or in the future."""	Jasper Sitwell to Captain America
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Spoken by Stephen Strange	"""This--this doesn't make any sense. All of this mysticism and crap! I mean, you're asking me to open my mind to the possible? What possibilities?! You want me to believe in the impossible. A-about fairy tales, about chakras and energy, the power of belief? I came here because I believed you could help me, not turn me into a magician!"""	Doctor Strange to Ancient One
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Spoken by Stephen Strange	"""Don't shut me out. I haven't got anywhere else to go...Thank you."""	Stephen Strange
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Spoken by Stephen Strange	"""Wong. Just Wong? Like Adele? Or Aristotle. Drake. Bono... Eminem."""	Doctor Strange to Wong
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Spoken by Stephen Strange	"""Teach me!"""	Doctor Strange to the Ancient One
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Spoken by Stephen Strange	"""Dormammu, I've come to bargain."""	Doctor Strange to Dormammu
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Spoken about Stephen Strange	"""You think I'm wrong to cast him out?""""Five hours later, he's still on your doorstep. There's a strength to him.""""Stubbornness, arrogance, ambition... I've seen it all before.""""He reminds you of Kaecilius?""""I can not lead another gifted student to power, only to lose him to the darkness.""""You didn't lose me. I wanted the power to defeat my enemies. You gave me the power to defeat my demons. And to live within the natural law.""""We never lose our demons, Mordo. We only learn to live above them.""""Kaecilius still has the stolen pages. If he deciphers them, he could bring ruin upon us all. There may be dark days ahead. Perhaps Kamar-Taj could use a man like Strange."""	Ancient One and Karl Mordo
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Dialogue	"""Stephen, you always spent money as fast as you can make it, but now you're spending money you don't even have. Maybe it's time to consider stopping.""""No, now is exactly not the time to stop, because, you see, I'M NOT GETTING ANY BETTER!""""But this isn't medicine anymore, this is mania. Somethings just can't be fixed.""""A life without my work...""""Is still a life. This isn't the end, there are other things that can give your life meaning.""""Like what? Like you?""""...and this is the part where you apologise.""""This is the part where you leave."""	Christine Palmer and Doctor Strange
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Dialogue	"""You're showing me an MRI scan? I can not believe this.""""Each of those maps was drawn up by someone who could see in part, but not the whole.""""I spent my last dollar getting here on a one-way ticket, and you're talking to me about healing through belief?""""You're a man who's looking at the world through a keyhole, and you spent your whole life trying to widen that keyhole. To see more, know more. And now, on hearing that it can be widened in ways you can't imagine, you reject the possibility?""""No, I reject it because I do not believe in fairy tales about chakras, or energy, or the power of belief. There is no such thing as spirit! We are made of matter, and nothing more. We're just another tiny, momentary speck within an indifferent universe.""""You think too little of yourself.""""Oh, you think you see through me? Well you don't. But I SEE THROUGH YOU!"""	Stephen Strange and the Ancient One
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Dialogue	"""What did you just do to me?""""I pushed your astral form out of your physical form.""""What's in that tea? Psilocybin? LSD?""""It's just tea... with a little honey.""""What just happened?""""For a moment, you entered the Astral Dimension.""""The what?""""A place where the soul exists apart from the body.""""Why are you doing this to me?""""To show you just how much you don't know. Open your eye."""	Ancient One and Doctor Strange
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Dialogue	"""What's this? My mantra?""""It's the wi-fi password. We're not savages."""	Doctor Strange and Karl Mordo
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Dialogue	"""How's your Sanskrit?""""I'm fluent in Google Translate."""	Wong and Doctor Strange
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Dialogue	"""Arrogance and fear still keep you from learning the simplest and most significant lesson of all.""""Which is?""""It's not about you."""	Ancient One and Stephen Strange
https://marvelcinematicuniverse.fandom.com/wiki/Doctor_Strange/Quote	Doctor Strange	Dialogue	"""I'm not ready.""""No one ever is. We don't get to choose our time.""""Death is what gives life meaning. To know your days are numbered. Your time is short. You'd think after all this time, I'd be ready. But look at me. Stretching one moment out into a thousand... just so that I can watch the snow."""	Stephen Strange and the Ancient One
