Quote	URL
Team Kurenai	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata as a child.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata training with her father	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata almost strikes her father	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata looks at her uncle screaming in pain	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata trains with Neji	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata while she is sleeping	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata looking at Naruto for the first time.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata with her family.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata looking at the Ninja Academy for the first time.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata resolves to be strong like her father, and kind like her mother.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata begins her training	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is sad about her progress	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata after being call Byakugan Monster	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata thanks Naruto for saving her	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata holding Naruto's hand	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata shows her home to Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata meets Iruka for the first time.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata doesn't want to see Naruto get scolded.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto sit across from each other.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata looking at Naruto as he is happy about his prank.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata watches Naruto run down stairs	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata watches Sasuke perform the Kage Bunshin no technique	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata doesn't laugh at Naruto's fail attempt to make shadow clones	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata doesn't like Shino speaking rudely of Naruto being the opposite of Sasuke.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata doesn't know why she is supposed to not be around Naruto.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata spies on Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata watches Naruto make Kage Bunshin no clones	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata watches Naruto get defeated by Choji in a sparing match.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata spying on Naruto again.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata being protected in class from bullies by Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata see Iruka scold Naruto for making a paper plane	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata now at the age of 12 silently wishes Naruto good luck.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata with her teammates.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is depress after hearing her father's hatred for her lack of confidence	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata in Part II.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata confesses her love to Naruto right in front of him, before she fights Pain.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata tells Pain that Naruto's Way of the Ninja is her Way of the Ninja as well.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is alive, but is knock unconscious from her battle with Pain.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata regain consciousness as she sees Sakura, Tenten, Neji and Rock Lee looking at her.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is happy to see Sakura, and Team Maito Gai .	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata tells the others that Naruto try his hardest not kill her after she was knock unconscious by Pain.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is relieved that Naruto is alive, and alright.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata celebrates Naruto's victory against Pain.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata reassures Ko that she is alright with healing his injuries	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata explaining to Neji that she knows it's Naruto; beause she can see it clearly by looking into his eyes.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata admits that she had always been Inspire by Naruto.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata with the ally shinobi force.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Neji tell Naruto that they will protect him.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Naruto and Hinata seeing Neji getting injurie while he protected them from the Ten Tails attack.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata mourns Neji's death	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata helping Naruto get his confidence back after Neji's death.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Naruto gives Hinata some of Kurama's chakra.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is amaze on how much chakra Naruto can hold.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata unleashes Twin Lion Fist	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata meets up with Sakura	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata smiles after taking Sakura's advice	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata making Naruto a new scarf	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata gets embrass by her sister	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata practices her speech in front of Naruto's apartment	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata smiles after telling Naruto that his scarf is pretty.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata gets capture by Toneri	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto see a meteor.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto see the meteor crush in the forest.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata with Naruto as they search for Hanabi	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto in the air	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata finds a kunai	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata puts Hanabi's kunai in her bag	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata sees that Naruto is alright	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata tells Toneri he is so cruel	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata prepares to battle Toneri	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata found out that Toneri sent a puppet to talk to her	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
The team see a floating land	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata laughs around Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata drinks water from Naruto's hands	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto stare at a sunset	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto eating lunch	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata treats Naruto's injury	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata thinks she is a bad older sister	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata asks Naruto what he just said to her	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is shock that Naruto loves her	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata goes with Toneri	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata asks Toneri why did he attack Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is knock out to sleep	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata falls unconscious after Naruto gets hurt	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata dreams about Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
A brain wash Hinata about to marry Toneri	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
A brain wash Hinata with Toneri	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
A brain wash Hinata about to kiss Toneri	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
A brain wash Hinata about to fight Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Himata is no longer brain washed	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata apologizes to Naruto for not telling him the truth	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata's updated Twin Lion technique	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto about to destroy the Energy vessel	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is shock that Naruto wants to keep the ruin scarf	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto see that the battle with Toneri isn't over yet	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata gets her hair pull by Toneri	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata in pain because of Toneri	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata tells Naruto she is ok	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is protected by Naruto from the heavy winds	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata about to give Naruto her chakra	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata gives Naruto a helping hand	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto see Toneri about to absorb by the sun	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto heads back to Toneri's castle	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto back in the bubble dimension	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata learns who gave Naruto his scarf	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata apologizes to Naruto for the misunderstanding about his scarf	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto looking at Hanabi as she calls out to them	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto see their friends leaving without them	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata holds Naruto's hand	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto leaving the bubble dimension	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is brought to tears by Naruto's speech	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto as a couple	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto in their Part II form	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata in her Part II form	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata in her Part I form	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto in their Part I form	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Young Hinata smiling at Young Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Young Hinata and Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata asks Naruto what's wrong	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata grabs on to Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata holds on to Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata says she will never let go	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto staring at each other	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata smiling at Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata about to kiss Naruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto's first kiss	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto in front of the moon	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto's wedding	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto celebrate their wedding with Naruto's friends and Hinata's family.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and her friends take a picture	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata gets flowers from Mirai	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata shakes hands with Gaara	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto walking down the idol	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
The Hyuga and Uzumaki Family	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata (right) and Naruto (left) in silhouette form.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto's second kiss.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Naruto's New Family.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata knitting a new scarf.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata sees her children about embrace Naruto without having shoes on.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata folds her scarf	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata walks to her family	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata scolds her children	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata stops Boruto from going to Naruto's office	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata tells Boruto that the Hokage is important to their village since it is pass down to generations.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata hears Boruto say that Naruto is lucky to be orphan.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is shock about her son's cruel words	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata tells her son he should be grateful to have a father	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata hugs her daughter	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata during Momoshiki's attack	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata confronts Boruto	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata sees that Boruto is like Naruto now when he was young.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata is shock by the similarities of her husband and son	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata wonders if she should let her son go on a dangerous mission	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata allows Boruto to go save Naruto from Momoshiki	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata with her family a few months after Momoshiki's defeat.	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
Hinata and Sakura fight over Menma	https://japaneseanime.fandom.com/wiki/Hyuga_Hinata
